episode,total_done,total_col,step
1,1,1,65
2,2,2,61
3,3,1,37
4,4,12,152
5,5,1,65
6,6,4,149
7,7,0,66
8,8,4,73
9,9,3,195
10,10,4,137
11,11,3,112
12,12,4,83
13,13,0,177
14,14,4,82
15,15,3,91
16,16,1,42
17,17,2,81
18,18,1,94
19,19,9,143
20,20,2,179
21,21,1,72
22,22,4,111
23,23,3,45
24,24,3,43
25,25,8,271
26,26,3,59
27,27,8,119
28,28,0,36
29,29,2,76
30,30,1,133
31,31,4,137
32,32,1,46
33,33,1,43
34,34,6,135
35,35,5,86
36,36,0,79
37,37,1,34
38,38,0,18
39,39,6,168
40,40,1,9
41,41,3,146
42,42,5,236
43,43,3,62
44,44,14,169
45,45,2,43
46,46,8,182
47,47,0,20
48,48,2,108
49,49,12,85
50,50,1,27
51,51,0,113
52,52,4,41
53,53,1,18
54,54,0,16
55,55,2,58
56,56,1,63
57,57,5,56
58,58,0,28
59,59,4,109
60,60,4,45
61,61,3,36
62,62,1,34
63,63,1,19
64,64,1,40
65,65,2,12
66,66,0,48
67,67,3,60
68,68,1,58
69,69,5,32
70,70,0,23
71,71,3,74
72,72,1,51
73,73,1,18
74,74,2,123
75,75,0,33
76,76,1,38
77,77,0,94
78,78,0,19
79,79,0,26
80,80,0,12
81,81,0,26
82,82,0,20
83,83,0,39
84,84,3,152
85,85,0,9
86,86,0,66
87,87,0,17
88,88,0,63
89,89,2,48
90,90,1,33
91,91,1,53
92,92,1,41
93,93,1,41
94,94,0,18
95,95,0,8
96,96,0,47
97,97,2,20
98,98,5,165
99,99,1,26
100,100,1,22
101,101,0,23
102,102,2,18
103,103,0,22
104,104,8,18
105,105,2,8
106,106,1,13
107,107,1,14
108,108,0,34
109,109,0,37
110,110,0,43
111,111,0,28
112,112,1,11
113,113,0,18
114,114,1,50
115,115,0,28
116,116,2,15
117,117,1,34
118,118,1,18
119,119,0,13
120,120,4,53
121,121,1,30
122,122,2,18
123,123,2,35
124,124,1,26
125,125,0,39
126,126,0,13
127,127,0,11
128,128,0,17
129,129,1,18
130,130,0,31
131,131,0,10
132,132,4,45
133,133,0,12
134,134,0,18
135,135,1,31
136,136,0,13
137,137,0,66
138,138,0,44
139,139,0,12
140,140,0,21
141,141,0,31
142,142,0,55
143,143,1,38
144,144,0,22
145,145,0,28
146,146,1,107
147,147,1,23
148,148,1,15
149,149,3,15
150,150,0,58
151,151,0,23
152,152,1,33
153,153,1,24
154,154,1,51
155,155,0,24
156,156,0,12
157,157,0,18
158,158,0,17
159,159,0,13
160,160,0,39
161,161,0,26
162,162,0,18
163,163,0,21
164,164,1,10
165,165,1,62
166,166,1,57
167,167,0,32
168,168,0,9
169,169,0,13
170,170,2,41
171,171,0,17
172,172,0,7
173,173,0,7
174,174,6,47
175,175,1,17
176,176,1,52
177,177,0,42
178,178,5,38
179,179,0,35
180,180,1,20
181,181,0,79
182,182,1,16
183,183,1,10
184,184,4,49
185,185,1,33
186,186,0,30
187,187,0,11
188,188,0,7
189,189,0,43
190,190,0,9
191,191,0,8
192,192,1,17
193,193,0,44
194,194,0,47
195,195,0,13
196,196,0,9
197,197,0,39
198,198,1,31
199,199,0,35
200,200,0,42
201,201,0,27
202,202,0,19
203,203,0,71
204,204,0,20
205,205,1,8
206,206,0,14
207,207,0,12
208,208,2,77
209,209,4,50
210,210,0,19
211,211,0,12
212,212,0,20
213,213,0,32
214,214,2,50
215,215,1,8
216,216,0,33
217,217,0,22
218,218,1,53
219,219,0,10
220,220,1,49
221,221,0,16
222,222,0,18
223,223,0,16
224,224,0,10
225,225,0,85
226,226,0,28
227,227,0,41
228,228,0,129
229,229,0,12
230,230,0,28
231,231,0,10
232,232,0,43
233,233,0,29
234,234,1,25
235,235,2,32
236,236,0,15
237,237,0,45
238,238,0,36
239,239,0,11
240,240,2,21
241,241,0,6
242,242,0,36
243,243,0,49
244,244,0,13
245,245,1,25
246,246,0,6
247,247,0,24
248,248,0,5
249,249,1,40
250,250,0,106
251,251,0,52
252,252,0,21
253,253,0,73
254,254,1,23
255,255,0,12
256,256,0,16
257,257,0,144
258,258,0,75
259,259,0,10
260,260,0,34
261,261,0,5
262,262,0,38
263,263,0,33
264,264,0,19
265,265,0,10
266,266,0,63
267,267,0,33
268,268,0,108
269,269,1,9
270,270,0,55
271,271,1,13
272,272,0,10
273,273,0,69
274,274,0,15
275,275,0,10
276,276,0,7
277,276,0,500
278,277,0,37
279,278,0,21
280,279,0,8
281,280,0,65
282,281,0,108
283,282,0,168
284,283,0,37
285,283,0,500
286,283,0,500
287,284,1,90
288,285,0,6
289,286,0,26
290,287,0,39
291,288,0,39
292,289,0,30
293,290,0,48
294,291,0,25
295,292,0,102
296,293,0,10
297,294,0,53
298,295,0,14
299,296,0,19
