episode,tot_done,reward
0,0,16
1,0,0
2,0,22
3,0,1
4,0,11
5,0,10
6,0,25
7,0,10
8,0,5
9,0,25
10,0,9
11,0,0
12,0,0
13,0,16
14,0,9
15,0,14
16,0,23
17,0,7
18,0,21
19,0,1
20,0,14
21,0,16
22,0,25
23,0,0
24,0,17
25,0,21
26,0,5
27,0,12
28,0,31
29,0,24
30,0,18
31,0,38
32,0,35
33,0,20
34,0,7
35,0,2
36,0,13
37,0,24
38,0,11
39,0,7
40,0,13
41,0,33
42,0,25
43,0,15
44,0,20
45,0,40
46,0,6
47,0,0
48,0,15
49,0,18
50,0,8
51,0,2
52,0,26
53,0,18
54,0,31
55,0,15
56,0,17
57,0,36
58,0,3
59,1,22
60,1,5
61,1,8
62,1,22
63,1,26
64,1,9
65,1,31
66,1,38
67,1,22
68,1,10
69,1,26
70,1,14
71,1,19
72,1,9
73,1,28
74,1,5
75,1,0
76,1,0
77,1,8
78,1,26
79,1,29
80,1,17
81,1,5
82,1,10
83,1,9
84,1,10
85,1,26
86,1,40
87,1,0
88,1,18
89,1,21
90,1,15
91,1,34
92,1,39
93,1,22
94,1,1
95,1,36
96,1,9
97,1,42
98,1,12
99,1,29
100,1,41
101,1,13
102,1,11
103,1,14
104,1,10
105,1,2
106,1,5
107,1,51
108,1,5
109,1,30
110,1,19
111,1,10
112,1,38
113,1,7
114,1,7
115,1,6
116,1,29
117,1,37
118,1,39
119,1,38
120,1,36
121,1,28
122,1,6
123,1,16
124,1,16
125,1,29
126,1,46
127,1,31
128,1,39
129,1,8
130,1,9
131,1,29
132,1,18
133,1,19
134,1,34
135,1,41
136,1,15
137,1,31
138,1,44
139,1,27
140,1,36
141,1,3
142,1,21
143,1,16
144,1,36
145,1,33
146,1,36
147,1,18
148,1,18
149,1,23
150,1,41
151,1,32
152,1,4
153,1,34
154,1,4
155,1,15
156,1,37
157,1,24
158,1,18
159,1,28
160,1,19
161,1,33
162,1,29
163,1,32
164,1,10
165,1,33
166,1,35
167,1,12
168,1,34
169,1,52
170,1,32
171,1,37
172,1,56
173,1,14
174,1,17
175,1,28
176,1,24
177,1,34
178,1,38
179,1,18
180,1,15
181,1,34
182,1,35
183,1,14
184,1,28
185,1,28
186,1,30
187,1,59
188,1,19
189,1,37
190,1,38
191,1,50
192,1,17
193,1,22
194,1,38
195,1,29
196,1,68
197,1,38
198,1,34
199,1,34
200,1,22
201,1,36
202,1,19
203,1,38
204,1,23
205,1,36
206,1,18
207,1,38
208,1,30
209,1,60
210,1,32
211,1,37
212,1,6
213,1,45
214,1,44
215,1,14
216,1,45
217,1,21
218,1,38
219,1,44
220,1,45
221,1,7
222,1,36
223,1,44
224,1,24
225,1,36
226,1,20
227,1,24
228,1,47
229,1,43
230,1,41
231,1,44
232,1,32
