episode,tot_done,reward
0,0,-394
1,0,-380
2,0,-251
3,0,-466
4,0,-386
5,0,-349
6,0,-188
7,0,-208
8,0,-417
9,0,-241
10,0,-271
11,0,-316
12,0,-274
13,0,-316
14,0,-367
15,0,-295
16,0,-260
17,0,-360
18,0,-350
19,0,-265
20,0,-357
21,0,-300
22,0,-246
23,0,-417
24,0,-268
25,0,-325
26,0,-229
27,0,-232
28,0,-398
29,0,-392
30,0,-148
31,0,-347
32,0,-352
33,0,-342
34,0,-290
35,0,-278
36,0,-229
37,0,-247
38,0,-236
39,0,-313
40,0,-233
41,0,-268
42,0,-414
43,0,-299
44,0,-157
45,0,-353
46,0,-175
47,0,-328
48,0,-301
49,0,-332
50,0,-389
51,0,-231
52,0,-274
53,0,-290
54,0,-364
55,0,-354
56,0,-337
57,0,-372
58,0,-232
59,0,-254
60,0,-283
61,0,-309
62,0,-265
63,0,-288
64,0,-333
65,0,-343
66,0,-402
67,0,-257
68,0,-373
69,0,-344
70,0,-350
71,0,-432
72,0,-266
73,0,-301
74,0,-250
75,0,-411
76,0,-285
77,0,-408
78,0,-142
79,0,-441
80,0,-321
81,0,-289
82,0,-465
83,0,-294
84,0,-310
85,0,-328
86,0,-408
87,0,-149
88,0,-342
89,0,-304
90,0,-250
91,0,-86
92,0,-224
93,0,-262
94,0,-350
95,0,-377
96,0,-321
97,0,-286
98,0,-383
99,0,-350
100,0,-188
101,0,-315
102,0,-247
103,0,-228
104,0,-273
105,0,-289
106,0,-340
107,0,-249
108,0,-292
109,0,-309
110,0,-336
111,0,-236
112,0,-308
113,0,-189
114,0,-300
115,0,-406
116,0,-346
117,0,-390
118,0,-345
119,0,-225
120,0,-326
121,0,-291
122,0,-239
123,0,-258
124,0,-257
125,0,-318
126,0,-335
127,0,-219
128,0,-388
129,0,-274
130,0,-400
131,0,-336
132,0,-302
133,0,-214
134,0,-365
135,0,-241
136,0,-117
137,0,-420
138,0,-193
139,0,-169
140,0,-389
141,0,-314
142,0,-316
143,0,-345
144,0,-309
145,0,-259
146,0,-287
147,0,-290
148,0,-312
149,0,-123
150,0,-230
151,0,-302
152,0,-259
153,0,-281
154,0,-298
155,0,-294
156,0,-264
157,0,-216
158,0,-312
159,0,-418
160,0,-353
161,0,-382
162,0,-292
163,0,-272
164,0,-327
165,0,-322
166,0,-295
167,0,-240
168,0,-235
169,0,-288
170,0,-298
171,0,-278
172,0,-210
173,0,-228
174,0,-294
175,0,-358
176,0,-425
177,0,-232
178,0,-240
179,0,-261
180,0,-259
181,0,-334
182,0,-306
183,0,-364
184,0,-361
