episode,tot_done,reward
0,0,6
1,0,6
2,0,1
3,0,9
4,0,15
5,0,0
6,0,14
7,0,8
8,0,24
9,0,7
10,0,27
11,0,0
12,0,2
13,0,8
14,0,5
15,0,0
16,0,0
17,0,30
18,0,18
19,0,8
20,0,16
21,0,37
22,0,21
23,0,16
24,0,17
25,0,21
26,0,38
27,0,13
28,0,24
29,0,8
30,0,9
31,0,10
32,0,7
33,0,7
34,0,10
35,0,0
36,0,0
37,0,56
38,0,12
39,0,37
40,0,14
41,0,7
42,0,22
43,0,17
44,0,17
45,0,16
46,0,19
47,0,10
48,0,0
49,0,0
50,0,0
51,0,27
52,0,29
53,0,16
54,0,14
55,0,5
56,0,8
57,0,28
58,0,43
59,0,10
60,0,10
61,0,8
62,0,58
63,0,16
64,0,16
65,0,6
66,0,5
67,0,5
68,0,5
69,0,0
70,0,13
71,0,12
72,0,22
73,0,9
74,0,0
75,0,13
76,0,9
77,0,0
78,0,10
79,0,21
80,0,0
81,0,26
82,0,10
83,0,10
84,0,11
85,0,34
86,0,29
87,0,14
88,0,45
89,0,27
90,0,10
91,0,14
92,0,10
93,0,1
94,0,8
95,0,32
96,0,0
97,0,9
98,0,18
99,0,21
100,0,23
101,0,32
102,0,9
103,0,23
104,0,0
105,0,20
106,0,22
107,0,17
108,0,10
109,0,19
110,0,25
111,0,29
112,0,35
113,0,10
114,0,55
115,0,27
116,0,36
117,0,12
118,0,0
119,0,27
120,0,7
121,0,28
122,0,35
123,0,17
124,0,32
125,0,21
126,0,7
127,0,20
128,0,36
129,0,24
130,0,13
131,0,1
132,0,0
133,0,28
134,0,14
135,0,4
136,0,0
137,0,29
138,0,13
139,0,21
140,0,53
141,0,0
142,0,38
143,0,35
144,0,31
145,0,15
146,0,31
147,0,9
148,0,19
149,0,32
150,0,5
151,0,0
152,0,34
153,0,51
154,0,0
155,0,37
156,0,20
157,0,31
158,0,38
159,0,12
160,0,28
161,0,41
162,0,20
163,0,32
164,0,10
165,0,11
166,0,14
167,0,24
168,0,15
169,0,27
170,0,24
171,0,36
172,0,33
173,0,45
174,0,27
175,0,68
176,0,15
177,0,49
178,0,46
179,0,19
180,0,5
181,0,42
182,0,43
183,0,45
184,0,28
185,0,4
186,0,35
187,0,38
188,0,44
189,0,75
190,0,20
191,0,15
192,0,33
193,0,0
194,0,51
195,0,23
196,0,36
197,0,36
198,0,43
199,0,36
200,0,33
201,0,36
202,0,55
203,0,10
204,0,36
205,0,23
206,0,41
207,0,9
208,0,33
209,0,28
210,0,43
211,0,36
212,0,36
213,0,15
214,0,41
215,0,27
216,0,33
217,0,17
218,0,11
219,0,0
220,0,42
221,0,8
222,0,50
223,0,45
224,0,48
225,0,47
226,0,65
227,0,6
228,0,15
229,0,48
230,0,9
231,0,8
232,0,45
233,0,24
234,0,36
235,0,27
236,0,12
237,0,16
238,0,40
239,0,48
240,0,28
241,0,40
242,0,33
243,0,38
244,0,44
245,0,39
246,0,49
247,0,62
248,0,35
249,0,52
250,0,36
251,0,36
252,0,26
253,0,10
254,0,43
255,0,50
256,0,28
257,0,0
258,0,49
259,0,9
260,0,6
261,0,17
262,0,48
263,0,49
264,0,49
265,0,0
266,0,48
267,0,49
268,0,50
269,0,57
270,0,57
271,0,34
272,0,10
273,0,43
274,0,25
275,0,52
276,0,61
277,0,54
278,0,49
279,0,52
280,0,41
281,0,47
282,0,48
283,0,52
284,0,36
285,0,52
286,0,54
287,0,63
288,0,5
289,0,59
290,0,31
291,0,30
292,0,52
293,0,43
294,0,14
295,0,24
296,0,44
297,0,47
298,0,48
299,0,44
300,0,3
301,0,49
302,0,51
303,0,55
304,0,52
305,0,55
306,0,17
307,0,52
308,0,63
309,0,51
310,0,48
311,0,51
312,0,17
313,0,19
314,0,46
315,0,37
316,0,52
317,0,45
318,0,3
319,0,11
320,0,20
321,0,63
322,0,63
323,0,43
324,0,51
325,0,57
326,0,63
327,0,62
328,0,36
329,0,36
330,0,62
331,0,46
332,0,28
333,0,35
334,0,58
335,0,62
336,0,51
337,0,43
338,0,69
339,0,50
340,0,59
341,0,27
342,0,45
343,0,43
344,0,33
345,0,19
346,0,45
347,0,15
348,0,62
349,0,52
350,0,52
351,0,19
352,0,44
353,0,52
354,0,44
355,0,48
356,0,52
357,0,33
358,0,2
359,0,49
360,0,37
361,0,2
362,0,29
363,0,27
364,0,49
365,0,34
366,0,48
367,0,50
368,0,57
369,0,48
370,0,45
371,0,34
372,0,34
373,0,11
374,0,23
375,0,50
376,0,16
377,0,2
378,0,48
379,0,51
380,0,4
381,0,50
382,0,53
383,0,47
384,0,52
385,0,49
386,0,28
387,0,16
388,0,29
389,0,21
390,0,11
391,0,48
392,0,52
393,0,52
394,0,34
395,0,52
396,0,42
397,0,45
398,0,52
399,0,51
400,0,52
401,0,53
402,0,51
403,0,28
404,0,61
405,0,15
406,0,52
407,0,61
408,0,52
409,0,60
410,0,63
411,0,61
412,0,60
413,0,17
414,0,20
415,0,6
416,0,49
417,0,61
418,0,53
419,0,22
420,0,49
421,0,40
422,0,63
423,0,35
424,0,18
425,0,64
426,0,62
427,0,63
428,0,53
429,0,9
430,0,53
431,0,49
432,0,64
433,0,61
434,0,60
435,0,57
436,0,61
437,0,63
438,0,43
439,0,30
440,0,49
441,0,64
442,0,49
443,0,65
444,0,61
445,0,42
446,0,53
447,0,10
448,0,64
449,0,31
450,0,63
451,0,63
452,0,63
453,0,53
454,0,64
455,0,56
456,0,63
457,0,56
458,0,17
459,0,60
460,0,64
461,0,62
462,0,55
463,0,38
464,0,53
465,0,57
466,0,17
467,0,57
468,0,61
469,0,61
470,0,58
471,0,68
472,0,61
473,0,18
474,0,58
475,0,64
476,0,61
477,0,61
478,0,64
479,0,64
480,0,34
481,0,51
482,0,64
483,0,64
484,0,34
485,0,25
486,0,64
487,0,64
488,0,58
489,0,64
490,0,58
491,0,64
492,0,58
493,0,58
494,0,63
495,0,65
496,0,64
497,0,60
498,0,64
499,0,61
500,0,64
501,0,55
502,0,53
503,0,55
504,0,25
505,0,53
506,0,53
507,0,64
508,0,45
509,0,64
510,0,68
511,0,53
512,0,53
513,0,47
514,0,64
515,0,64
516,0,56
517,0,40
518,0,58
519,0,34
520,0,64
521,0,64
522,0,55
523,0,64
524,0,63
525,0,64
526,0,64
527,0,64
528,0,64
529,0,53
530,0,64
531,0,64
532,0,64
533,0,64
534,0,64
535,0,39
536,0,38
537,0,34
538,0,59
539,0,55
540,0,58
541,0,39
542,0,53
543,0,58
544,0,64
545,0,64
546,0,45
547,0,63
548,0,43
549,0,64
550,0,72
551,0,61
552,0,64
553,0,61
554,0,61
555,0,54
556,0,61
557,0,64
558,0,27
559,0,61
560,0,44
561,0,64
562,0,58
563,0,64
564,0,64
565,0,37
566,0,64
567,0,64
568,0,64
569,0,64
570,0,64
571,0,58
572,0,64
573,0,64
574,0,64
575,0,64
576,0,53
577,0,64
578,0,64
579,0,64
580,0,64
581,0,64
582,0,63
583,0,61
584,0,64
585,0,64
586,0,62
587,0,64
588,0,63
589,0,63
590,0,65
591,0,64
592,0,19
593,0,64
594,0,62
595,0,64
596,0,36
597,0,64
598,0,64
599,0,64
600,0,64
601,0,64
602,0,55
603,0,18
604,0,64
605,0,51
606,0,64
607,0,64
608,0,64
609,0,61
610,0,64
611,0,63
612,0,64
613,0,64
614,0,64
615,0,56
616,0,64
617,0,64
618,0,64
619,0,64
620,0,64
621,0,64
622,0,64
623,0,64
624,0,64
625,0,64
626,0,64
627,0,64
628,0,64
629,0,62
630,0,35
631,0,61
632,0,64
633,0,63
634,0,64
635,0,64
636,0,64
637,0,64
638,0,64
639,0,47
640,0,64
641,0,64
642,0,64
643,0,64
644,0,9
645,0,64
646,0,64
647,0,64
648,0,64
649,0,64
650,0,64
651,0,64
652,0,63
653,0,54
654,0,58
655,0,52
656,0,61
657,0,61
658,0,64
659,0,63
660,0,64
661,0,64
662,0,33
663,0,64
664,0,16
665,0,63
666,0,64
667,0,63
668,0,64
669,0,64
670,0,64
671,0,64
672,0,37
673,0,64
674,0,27
675,0,66
676,0,22
677,0,63
678,0,64
679,0,64
680,0,64
681,0,64
682,0,44
683,0,26
684,0,75
685,0,64
686,0,34
687,0,64
688,0,60
689,0,64
690,0,64
691,0,40
692,0,64
693,0,58
694,0,64
695,0,64
696,0,64
697,0,59
698,0,64
699,0,64
700,0,64
701,0,64
702,0,53
703,0,22
704,0,61
705,0,63
706,0,64
707,0,64
708,0,64
709,0,59
710,0,64
711,0,64
712,0,64
713,0,64
714,0,7
715,0,64
716,0,64
717,0,35
718,0,64
719,0,64
720,0,64
721,0,64
722,0,64
723,0,64
724,0,64
725,0,64
726,0,63
727,0,64
728,0,64
729,0,64
730,0,64
731,0,64
732,0,64
733,0,64
734,0,64
735,0,61
736,0,64
737,0,64
738,0,64
739,0,64
740,0,64
741,0,64
742,0,64
743,0,64
744,0,64
745,0,34
746,0,61
747,0,64
748,0,64
749,0,64
750,0,62
751,0,61
752,0,55
753,0,61
754,0,65
755,0,66
756,0,61
757,0,73
758,0,66
759,0,64
760,0,56
761,0,64
762,0,64
763,0,64
764,0,64
765,0,64
766,0,64
767,0,34
768,0,61
769,0,64
770,0,64
771,0,64
772,0,64
773,0,64
774,0,53
775,0,61
776,0,64
777,0,64
778,0,53
779,0,64
780,0,64
781,0,64
782,0,64
783,0,63
784,0,64
785,0,64
786,0,64
787,0,60
788,0,16
789,0,64
790,0,64
791,0,64
792,0,64
793,0,61
794,0,61
795,0,64
796,0,61
797,0,64
798,0,64
799,0,61
800,0,64
801,0,75
802,0,66
803,0,66
804,0,61
805,0,66
806,0,61
807,0,66
808,0,66
809,0,61
810,0,66
811,0,61
812,0,61
813,0,61
814,0,58
815,0,59
816,0,73
817,0,61
818,0,63
819,0,57
820,0,61
821,0,64
822,0,61
823,0,66
824,0,61
825,0,66
826,0,66
827,0,66
828,0,61
829,0,61
830,0,60
831,0,61
832,0,61
833,0,61
834,0,61
835,0,61
836,0,61
837,0,66
838,0,66
839,0,66
840,0,66
841,0,34
842,0,61
843,0,66
844,0,61
845,0,61
846,0,61
847,0,61
848,0,61
849,0,66
850,0,73
851,0,66
852,0,54
853,0,66
854,0,58
855,0,60
856,0,66
857,0,63
858,0,60
859,0,66
860,0,61
861,0,66
862,0,66
863,0,66
864,0,66
865,0,66
866,0,66
867,0,66
868,0,66
869,0,66
870,0,66
871,0,66
872,0,66
873,0,66
874,0,66
875,0,66
876,0,66
877,0,64
878,0,66
879,0,66
880,0,66
881,0,66
882,0,66
883,0,66
884,0,66
885,0,66
886,0,64
887,0,66
888,0,66
889,0,66
890,0,66
891,0,73
892,0,66
893,0,66
894,0,66
895,0,66
896,0,66
897,0,66
898,0,66
899,0,66
900,0,65
901,0,66
902,0,66
903,0,60
904,0,58
905,0,66
906,0,66
907,0,57
908,0,66
909,0,60
910,0,66
911,0,66
912,0,66
913,0,66
914,0,66
915,0,66
916,0,66
917,0,65
918,0,65
919,0,66
920,0,66
921,0,66
922,0,66
923,0,66
924,0,66
925,0,68
926,0,66
927,0,65
928,0,61
929,0,66
930,0,66
931,0,66
932,0,66
933,0,66
934,0,65
935,0,66
936,0,66
937,0,66
938,0,66
939,0,66
940,0,66
941,0,66
942,0,66
943,0,66
944,0,66
945,0,66
946,0,66
947,0,66
948,0,66
949,0,66
950,0,21
951,0,60
952,0,73
953,0,65
954,0,65
955,0,66
956,0,66
957,0,66
958,0,66
959,0,66
960,0,58
961,0,58
962,0,58
963,0,58
964,0,57
965,0,61
966,0,66
967,0,58
968,0,61
969,0,58
970,0,66
971,0,66
972,0,66
973,0,66
974,0,57
975,0,65
976,0,66
977,0,23
978,0,66
979,0,66
980,0,65
981,0,66
982,0,66
983,0,66
984,0,66
985,0,73
986,0,73
987,0,66
988,0,58
989,0,66
990,0,66
991,0,60
992,0,61
993,0,66
994,0,58
995,0,66
996,0,58
997,0,57
998,0,57
999,0,58
