episode,tot_done,reward
0,0,-33
1,0,-47
2,0,-22
3,0,-57
4,0,-59
5,0,-67
6,0,-34
7,0,-49
8,0,-62
9,0,-75
10,0,-70
11,0,-46
12,0,-23
13,0,-37
14,0,-57
15,0,-51
16,0,-40
17,0,-74
18,0,-50
19,0,-56
20,0,-35
21,0,-49
22,0,-42
23,0,-48
24,0,-59
25,0,-34
26,0,-70
27,0,-26
28,0,-63
29,0,-48
30,0,-50
31,0,-56
32,0,-46
33,0,-60
34,0,-25
35,0,-61
36,0,-77
37,0,-24
38,0,-40
39,0,-61
40,0,-39
41,0,-54
42,0,-43
43,0,-40
44,0,-44
45,0,-19
46,0,-42
47,0,-62
48,0,-52
49,0,-48
50,0,-63
51,0,-44
52,0,-32
53,0,-41
54,0,-27
55,0,-60
56,0,-58
57,0,-60
58,0,-37
59,0,-57
60,0,-67
61,0,-42
62,0,-53
63,0,-43
64,0,-63
65,0,-38
66,0,-42
67,0,-32
68,0,-45
69,0,-58
70,0,-56
71,0,-43
72,0,-58
73,0,-57
74,0,-11
75,0,-48
76,0,-71
77,0,-32
78,0,-32
79,0,-28
80,0,-61
81,0,-42
82,0,-43
83,0,-32
84,0,-62
85,0,-38
86,0,-46
87,0,-26
88,0,-71
89,0,-42
90,0,-24
91,0,-49
92,0,-63
93,0,-65
94,0,-50
95,0,-47
96,0,-6
97,0,-41
98,0,-59
99,0,-44
100,0,-29
101,0,-28
102,0,-44
103,0,-33
104,0,-62
105,0,-56
106,0,-52
107,0,-22
108,0,-25
109,0,-36
110,0,-40
111,0,-51
112,0,-37
113,0,-31
114,0,-48
115,0,-22
116,0,-32
117,0,-35
118,0,-42
119,0,-40
120,0,-71
121,0,-48
122,0,-67
123,0,-24
124,0,-25
125,0,-55
126,0,-45
127,0,-27
128,0,-23
129,0,-59
130,0,-53
131,0,-47
132,0,-63
133,0,-23
134,0,-32
135,0,-49
136,0,-21
137,0,-38
138,0,-33
139,0,-42
140,0,-48
141,0,-43
142,0,-22
143,0,-34
144,0,-39
145,0,-49
146,0,-25
147,0,-51
148,0,-17
149,0,-62
150,0,-46
151,0,-39
152,0,-33
153,0,-32
154,0,-29
155,0,-39
156,0,-31
157,0,-43
158,0,-45
159,0,-19
160,0,-32
161,0,-38
162,0,-46
163,0,-26
164,0,-53
165,0,-65
166,0,-38
167,0,-32
168,0,-40
169,0,-53
170,0,-32
171,0,-28
172,0,-19
173,0,-57
174,0,-53
175,0,-49
176,0,-51
177,0,-52
178,0,-36
179,0,-25
180,0,-36
181,0,-43
182,0,-50
183,0,-24
184,0,-32
185,0,-32
186,0,-36
187,0,-33
188,0,-20
189,0,-62
190,0,-24
191,0,-32
192,0,-35
193,0,-56
194,0,-43
195,0,-46
196,0,-21
197,0,-27
198,0,-37
199,0,-24
200,0,-34
201,0,-36
202,0,-34
203,0,-37
204,0,-44
205,0,-28
206,0,-21
207,0,-33
208,0,-48
209,0,-34
210,0,-21
211,0,-28
212,0,-27
213,0,-27
214,0,-41
215,0,-28
216,0,-66
217,0,-46
218,0,-31
219,0,-43
220,0,-33
221,0,-29
222,0,-39
223,0,-20
224,0,-30
225,0,-32
226,0,-25
227,1,5
228,1,-18
229,1,-13
230,1,-41
231,1,-28
232,1,-26
233,1,-47
234,1,-39
235,1,-24
236,1,-53
237,1,-33
238,1,-21
239,1,-35
240,1,-39
241,1,-29
242,1,-7
243,1,-29
244,1,-27
245,1,-24
246,1,-20
247,1,-59
248,1,-30
249,1,-19
250,1,-39
251,1,-31
252,1,-21
253,1,-23
254,1,-29
255,1,-29
256,1,-39
257,1,-33
258,1,-47
259,1,-26
260,1,-42
261,1,-19
262,1,-31
263,1,-35
264,1,-48
265,1,-39
266,1,-26
267,1,-44
268,1,-26
269,1,-30
270,1,-26
271,1,-28
272,1,-22
273,1,-33
274,1,-28
275,1,-30
276,1,-53
277,1,-16
278,1,-21
279,1,-17
280,1,-19
281,1,-49
282,1,-57
283,1,-26
284,1,-39
285,1,-22
286,1,-38
287,1,-21
288,1,-68
289,1,-21
290,1,-34
291,1,-54
292,1,-37
293,1,-24
294,1,-21
295,1,-40
296,1,-34
297,1,-40
298,1,-16
299,1,-27
300,1,-32
301,1,-27
302,1,-53
303,1,-23
304,1,-18
305,1,-21
306,1,-11
307,1,-39
308,1,-47
309,1,-29
310,1,-10
311,1,-34
312,1,-37
313,1,-15
314,1,-16
315,1,-38
316,1,-9
317,1,-11
318,1,-17
319,1,-18
320,1,-12
321,1,-11
322,1,-25
323,1,-34
324,1,-11
325,1,-35
326,1,-45
327,1,-19
328,1,-12
329,1,-24
330,1,-11
331,1,-11
332,1,-11
333,1,-20
334,1,-22
335,1,-48
336,1,-17
337,1,-33
338,1,-29
339,1,-26
340,1,-29
341,1,-27
342,1,-35
343,2,5
344,2,-27
345,2,-37
346,2,-14
347,2,-19
348,2,-29
349,2,-20
350,2,-18
351,2,-11
352,2,-28
353,2,-39
354,2,-15
355,2,-21
356,2,-19
357,2,-24
358,2,-19
359,2,-15
360,2,-53
361,2,-17
362,2,-27
363,2,-34
364,2,-21
365,2,-26
366,2,-21
367,2,-15
368,2,-21
369,2,-21
370,2,-37
371,2,-28
372,2,-17
373,2,-47
374,2,-21
375,2,-42
376,2,-27
377,2,-36
378,2,-40
379,2,-19
380,2,-32
381,2,-24
382,2,-29
383,2,-17
384,2,-50
385,2,-36
386,2,-19
387,2,-31
388,2,-15
389,2,-19
390,2,-15
391,2,-19
392,2,-45
393,2,-30
394,2,-19
395,2,-32
396,2,-21
397,2,-19
398,2,-19
399,2,-40
400,2,-19
401,2,-15
402,2,-49
403,2,-18
404,2,-46
405,2,-15
406,2,-15
407,2,-17
408,2,-23
409,2,-15
410,2,-15
411,2,-19
412,2,-32
413,2,-24
414,2,-16
415,2,-30
416,2,-22
417,2,-39
418,2,-15
419,2,-27
420,2,-26
421,2,-19
422,2,-15
423,2,-15
424,2,-33
425,2,-27
426,2,-62
427,2,-15
428,2,-13
429,2,-17
430,2,-18
431,2,-45
432,2,-15
433,2,-42
434,2,-17
435,2,-15
436,2,-15
437,2,-15
438,2,-15
439,2,-31
440,2,-19
441,2,-19
442,2,-15
443,2,-35
444,2,-15
445,2,-21
446,2,-15
447,2,-29
448,2,-17
449,2,-32
450,2,-18
451,2,-15
452,2,-15
453,2,-57
454,2,-15
455,2,-15
456,2,-15
457,2,-19
458,2,-15
459,2,-33
460,2,-15
461,2,-15
462,2,-46
463,2,-34
464,2,-33
465,2,-15
466,2,-15
467,2,-15
468,2,-15
469,2,-17
470,2,-22
471,2,-34
472,2,-19
473,2,-15
474,2,-19
475,2,-19
476,2,-45
477,2,-19
478,2,-20
479,2,-15
480,2,-15
481,2,-15
482,2,-38
483,2,-15
484,2,-19
485,2,-19
486,2,-26
487,2,-15
488,2,-15
489,2,-32
490,2,-15
491,2,-15
492,2,-15
493,2,-15
494,2,-15
495,2,-33
496,2,-15
497,2,-15
498,2,-15
499,2,-26
500,2,-15
501,2,-21
502,2,-15
503,2,-15
504,2,-17
505,2,-15
506,2,-17
507,2,-19
508,2,-17
509,2,-15
510,2,-32
511,2,-16
512,2,-33
513,2,-20
514,2,-15
515,2,-46
516,2,-22
517,2,-15
518,2,-15
519,2,-15
520,2,-15
521,2,-15
522,2,-23
523,2,-15
524,2,-15
525,2,-15
526,2,-18
527,2,-15
528,2,-27
529,2,-15
530,2,-15
531,2,-53
532,2,-15
533,2,-15
534,2,-34
535,2,-15
536,2,-15
537,2,-15
538,2,-36
539,2,-16
540,2,-27
541,2,-15
542,2,-19
543,2,-15
544,2,-15
545,2,-30
546,2,-15
547,2,-19
548,2,-15
549,2,-17
550,2,-15
551,2,-15
552,2,-32
553,2,-25
554,2,-15
555,2,-15
556,2,-15
557,2,-15
558,2,-15
559,2,-15
560,2,-23
561,2,-15
562,2,-11
563,2,-15
564,2,-16
565,2,-35
566,2,-15
567,2,-15
568,2,-15
569,2,-26
570,2,-15
571,2,-15
572,2,-15
573,2,-15
574,2,-22
575,2,-15
576,2,-15
577,2,-15
578,2,-15
579,2,-24
580,2,-15
581,2,-28
582,2,-16
583,2,-15
584,2,-15
585,2,-17
586,2,-15
587,2,-15
588,2,-46
589,2,-15
590,2,-15
591,2,-19
592,2,-15
593,2,-15
594,2,-15
595,2,-29
596,2,-15
597,2,-15
598,2,-39
599,2,-15
600,2,-15
601,2,-15
602,2,-15
603,2,-15
604,2,-26
605,2,-26
606,2,-26
607,2,-15
608,2,-19
609,2,-19
610,2,-15
611,2,-15
612,2,-22
613,2,-15
614,2,-17
615,2,-15
616,2,-15
617,2,-18
618,2,-30
619,2,-15
620,2,-15
621,2,-15
622,2,-24
623,2,-15
624,2,-15
625,2,-33
626,2,-17
627,2,-15
628,2,-15
629,2,-15
630,2,-30
631,2,-15
632,2,-15
633,2,-15
634,2,-16
635,2,-15
636,2,-15
637,2,-15
638,2,-15
639,2,-15
640,2,-15
