episode,tot_done,reward
0,0,-46
1,0,-71
2,0,-60
3,0,-59
4,0,-67
5,0,-80
6,0,-53
7,0,-53
8,0,-36
9,0,-57
10,0,-89
11,0,-10
12,0,-93
13,0,-91
14,0,-32
15,0,-48
16,0,-63
17,0,-77
18,0,-56
19,0,-49
20,0,-61
21,0,-62
22,0,-52
23,0,-54
24,0,-75
25,0,-31
26,0,-62
27,0,-52
28,0,-69
29,0,-60
30,0,-62
31,0,-80
32,0,-49
33,0,-55
34,0,-67
35,0,-45
36,0,-66
37,0,-65
38,0,-53
39,0,-51
40,0,-68
41,0,-60
42,0,-62
43,0,-74
44,0,-51
45,0,-69
46,0,-50
47,0,-51
48,0,-58
49,0,-43
50,0,-60
51,0,-49
52,0,-66
53,0,-60
54,0,-47
55,0,-26
56,0,-49
57,0,-40
58,0,-46
59,0,-64
60,0,-61
61,0,-31
62,0,-57
63,0,-44
64,0,-49
65,0,-63
66,0,-49
67,0,-48
68,0,-71
69,0,-52
70,0,-61
71,0,-70
72,0,-65
73,0,-49
74,0,-54
75,0,-65
76,0,-27
77,0,-50
78,0,-28
79,0,-65
80,0,-30
81,0,-44
82,0,-32
83,0,-37
84,0,-86
85,0,-50
86,0,-34
87,0,-37
88,0,-48
89,0,-56
90,0,-44
91,0,-38
92,0,-58
93,0,-29
94,0,-56
95,0,-17
96,0,-50
97,0,-31
98,0,-38
99,0,-20
100,0,-20
101,0,-61
102,0,-70
103,0,-41
104,0,-40
105,0,-69
106,0,-67
107,0,-51
108,0,-44
109,0,-48
110,0,-79
111,0,-27
112,0,-59
113,0,-64
114,0,-61
115,0,-35
116,0,-36
117,0,-34
118,0,-27
119,0,-38
120,0,-75
121,0,-40
122,0,-21
123,0,-28
124,0,-50
125,0,-44
126,0,-55
127,0,-61
128,0,-25
129,0,-28
130,0,-50
131,0,-53
132,0,-82
133,0,-50
134,0,-60
135,0,-57
136,0,-53
137,0,-15
138,0,-65
139,0,-36
140,0,-8
141,0,-58
142,0,-52
143,0,-28
144,0,-26
145,0,-31
146,0,-10
147,0,-68
148,0,-38
149,0,-31
150,0,-15
151,0,-6
152,0,-39
153,0,-47
154,0,-42
155,0,-41
156,0,-59
157,0,-28
158,0,-46
159,0,-83
160,0,-50
161,0,-44
162,0,-17
163,0,-38
164,0,-31
165,0,-58
166,0,-45
167,0,-62
168,0,-47
169,0,-57
170,0,-42
171,0,-27
172,0,-62
173,0,-52
174,0,-68
175,0,-43
176,0,-46
177,0,-40
178,0,-47
179,0,-27
180,0,-35
181,0,-30
182,0,-33
183,0,-48
184,0,-51
185,0,-19
186,0,-45
187,0,-25
188,0,-35
189,0,-39
190,0,-24
191,0,-18
192,0,-20
193,0,-34
194,0,-56
195,0,-10
196,0,-18
197,0,-23
198,0,-23
199,0,-53
200,0,-40
201,0,-29
202,0,-45
203,0,-23
204,0,-49
205,0,-30
206,0,-34
207,0,-51
208,0,-6
209,0,-37
210,0,-28
211,0,-23
212,0,-62
213,0,-27
214,0,-76
215,0,-31
216,0,-42
217,0,-39
218,0,-39
219,0,-41
220,0,-41
221,0,-3
222,0,-26
223,0,-36
224,0,-20
225,0,-48
226,0,-59
227,0,-12
228,0,-50
229,0,-40
230,0,-18
231,0,-22
232,0,-38
233,0,-29
234,0,-66
235,0,-12
236,0,-29
237,0,-34
238,0,-7
239,0,-40
240,0,-35
241,0,-58
242,0,-11
243,0,-38
244,0,-40
245,0,-50
246,0,-11
247,0,-45
248,0,-38
249,0,-56
250,0,-44
251,0,-42
252,0,-6
253,0,-25
254,0,-11
255,0,-39
256,0,-6
257,0,-24
258,0,-42
259,0,-54
260,0,-12
261,0,-12
262,0,-17
263,0,-48
264,0,-22
265,0,-34
266,0,-18
267,0,-6
268,0,-29
269,0,-49
270,0,-29
271,0,-25
272,0,-43
273,0,-11
274,0,-11
275,0,-23
276,0,-53
277,0,-26
278,0,-18
279,0,-23
280,0,-44
