Agent 0,Agent 1
35,20
60,39
42,45
228,199
376,368
31,24
208,181
453,448
452,449
495,250
0,0
0,0
27,0
81,1
103,40
46,261
266,277
388,263
452,449
451,450
450,451
450,451
451,450
451,450
451,450
450,451
450,451
450,451
450,451
453,448
451,450
451,450
451,450
450,451
450,451
450,451
462,439
450,451
450,451
451,450
451,450
451,450
452,449
451,450
451,450
451,450
451,450
451,450
450,451
450,451
450,451
450,451
451,450
451,450
451,450
451,450
451,450
450,451
451,450
452,449
451,450
451,450
197,500
451,450
451,450
450,451
382,382
405,404
450,451
451,450
451,450
450,451
450,451
451,450
451,450
451,450
451,450
450,451
451,450
450,451
451,450
451,450
453,448
451,450
451,450
451,450
451,450
452,449
0,0
418,430
450,451
451,450
451,450
450,451
451,450
451,450
451,450
450,451
451,450
451,450
451,450
451,450
451,450
450,451
451,450
451,450
451,450
451,450
452,449
451,450
450,451
451,450
451,450
451,450
450,451
451,450
451,450
450,451
451,450
451,450
451,450
451,450
451,450
451,450
451,450
452,449
451,450
451,450
451,450
451,450
451,450
451,450
451,450
451,450
450,451
451,450
349,349
451,450
451,450
450,451
451,450
0,248
0,249
432,405
104,105
450,451
451,450
451,450
452,449
450,451
449,452
451,450
448,453
451,450
451,450
451,450
451,450
451,450
449,452
451,450
450,451
451,450
451,450
451,450
451,450
450,451
451,450
450,451
449,452
451,450
447,454
451,450
444,457
451,450
450,451
436,465
450,451
450,451
451,450
452,449
447,454
451,450
0,344
417,472
451,450
367,468
451,450
451,450
451,450
438,460
450,451
451,450
451,450
450,451
451,450
446,455
451,450
451,450
451,450
449,452
451,450
451,450
451,450
450,451
451,450
451,450
451,450
450,451
450,451
451,450
450,451
450,451
450,451
450,451
450,451
450,451
451,450
451,450
451,450
451,450
451,450
451,450
451,450
451,450
452,449
450,451
450,451
451,450
451,450
450,451
450,451
451,450
449,452
450,451
450,451
450,451
451,450
450,451
451,450
451,450
449,452
450,451
451,450
451,450
451,450
451,450
451,450
450,451
450,451
450,451
451,450
450,451
451,450
451,450
451,450
451,450
450,451
451,450
450,451
450,451
450,451
451,450
451,450
451,450
450,451
451,450
450,451
451,450
450,451
451,450
451,450
451,450
451,450
450,451
451,450
451,450
0,0
77,54
451,450
451,450
450,451
450,451
450,451
451,450
451,450
451,450
412,410
450,451
451,450
451,450
468,433
450,451
451,450
450,451
432,432
451,450
450,451
451,450
455,446
452,449
0,0
451,450
450,451
451,450
450,451
450,451
451,450
451,450
451,450
450,451
451,450
450,451
451,450
451,450
450,451
451,450
450,451
450,451
451,450
450,451
450,451
451,450
0,0
450,451
450,451
450,451
0,0
456,445
450,451
426,405
455,446
450,451
450,451
450,451
451,450
450,451
451,450
451,450
451,450
451,450
451,450
451,450
458,443
450,451
496,163
451,450
452,449
0,0
450,451
450,451
470,431
5,9
369,342
453,448
449,452
451,450
451,450
450,451
450,451
355,354
451,450
451,450
451,450
451,450
450,451
451,450
451,450
451,450
448,453
451,450
451,450
451,450
450,451
451,450
451,450
365,365
298,298
451,450
451,450
0,0
451,450
450,451
450,451
451,450
451,450
450,451
457,444
0,0
434,467
450,451
450,451
451,450
451,450
437,464
452,449
451,450
451,450
0,0
223,0
451,450
451,450
484,440
498,340
451,450
450,451
450,451
0,0
446,455
451,450
451,450
3,495
280,499
451,450
451,450
0,0
459,442
499,0
451,450
0,500
450,451
448,453
0,0
254,264
451,450
450,451
450,451
451,450
450,451
451,450
451,450
451,450
449,452
