Agent 0,Agent 1
14,16
41,33
32,27
143,141
14,1
104,53
220,217
109,110
226,225
220,231
226,225
232,219
112,196
226,225
236,204
227,224
225,226
188,188
7,1
3,4
226,225
226,225
0,0
226,225
226,225
196,196
0,0
3,2
1,1
1,1
3,2
1,0
0,0
0,1
2,1
4,0
2,1
1,1
1,0
202,0
243,0
166,1
61,0
2,1
0,0
0,4
246,0
74,5
127,3
14,0
5,0
50,0
11,52
12,59
82,95
205,28
182,7
211,40
10,46
11,233
18,225
12,233
5,241
2,244
3,242
3,246
7,246
195,231
234,201
225,226
226,225
225,226
7,0
2,47
0,92
1,94
1,113
8,195
93,166
198,188
245,188
212,222
226,225
226,225
226,225
225,226
226,225
225,226
226,225
226,225
226,225
226,225
135,248
226,225
225,226
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
225,226
226,225
226,225
226,225
225,226
225,226
226,225
225,226
226,225
226,225
225,226
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
1,0
24,15
232,219
225,226
225,226
227,224
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
212,220
227,224
227,224
227,224
226,225
226,225
225,226
224,227
226,225
226,225
0,249
0,2
0,61
225,226
8,0
0,249
0,7
0,9
0,76
19,43
91,15
105,32
193,71
223,228
227,224
0,7
33,48
58,19
225,226
183,116
188,198
3,40
193,163
162,15
110,11
133,12
194,171
231,220
235,216
232,219
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
226,225
