episode,total_done,total_col,step,steps
1.0,1.0,3.4,67.8,1
2.0,2.0,2.2,81.4,2
3.0,3.0,3.2,75.4,3
4.0,4.0,6.0,146.6,4
5.0,5.0,3.4,110.0,5
6.0,6.0,4.6,128.0,6
7.0,7.0,1.2,61.4,7
8.0,8.0,2.2,87.8,8
9.0,9.0,3.2,114.6,9
10.0,10.0,6.2,140.0,10
11.0,11.0,3.2,91.4,11
12.0,12.0,5.4,87.8,12
13.0,13.0,2.8,135.4,13
14.0,14.0,5.0,107.6,14
15.0,15.0,4.6,86.6,15
16.0,16.0,5.0,129.8,16
17.0,17.0,3.2,81.2,17
18.0,18.0,1.2,86.0,18
19.0,19.0,6.0,123.0,19
20.0,20.0,4.6,150.0,20
21.0,21.0,5.4,129.6,21
22.0,22.0,3.6,110.2,22
23.0,23.0,2.6,50.8,23
24.0,24.0,5.6,119.8,24
25.0,25.0,3.0,111.2,25
26.0,26.0,1.4,66.4,26
27.0,27.0,4.0,108.2,27
28.0,28.0,2.0,92.6,28
29.0,29.0,3.2,85.8,29
30.0,30.0,2.2,79.0,30
31.0,31.0,5.6,105.4,31
32.0,32.0,1.0,51.8,32
33.0,33.0,3.4,108.2,33
34.0,34.0,3.0,85.8,34
35.0,35.0,5.2,92.8,35
36.0,36.0,1.6,96.4,36
37.0,37.0,7.0,120.4,37
38.0,38.0,0.4,48.8,38
39.0,39.0,1.8,96.6,39
40.0,40.0,1.2,41.6,40
41.0,41.0,2.0,87.6,41
42.0,42.0,3.2,110.6,42
43.0,43.0,3.6,85.8,43
44.0,44.0,4.2,117.8,44
45.0,45.0,9.8,127.6,45
46.0,46.0,4.2,114.0,46
47.0,47.0,2.2,99.4,47
48.0,48.0,4.2,90.2,48
49.0,49.0,4.2,51.2,49
50.0,50.0,2.4,58.0,50
51.0,51.0,1.8,87.8,51
52.0,52.0,1.8,46.0,52
53.0,53.0,2.0,44.4,53
54.0,54.0,1.0,45.2,54
55.0,55.0,2.0,47.0,55
56.0,56.0,4.2,91.4,56
57.0,57.0,2.0,35.8,57
58.0,58.0,1.0,77.0,58
59.0,59.0,2.6,64.2,59
60.0,60.0,3.4,72.2,60
61.0,61.0,2.2,63.0,61
62.0,62.0,2.2,48.6,62
63.0,63.0,0.6,32.8,63
64.0,64.0,3.2,114.2,64
65.0,65.0,1.4,30.6,65
66.0,66.0,2.6,81.4,66
67.0,67.0,3.0,54.6,67
68.0,68.0,2.4,40.2,68
69.0,69.0,3.8,75.6,69
70.0,70.0,1.6,59.6,70
71.0,71.0,5.6,96.2,71
72.0,72.0,1.6,122.6,72
73.0,73.0,2.4,48.6,73
74.0,74.0,2.4,60.0,74
75.0,75.0,2.6,128.4,75
76.0,76.0,1.0,33.2,76
77.0,77.0,0.8,83.6,77
78.0,78.0,0.6,52.6,78
79.0,79.0,1.4,40.6,79
80.0,80.0,2.0,94.0,80
81.0,81.0,1.0,39.8,81
82.0,82.0,2.6,34.0,82
83.0,83.0,1.6,48.2,83
84.0,84.0,0.8,68.0,84
85.0,85.0,1.2,68.0,85
86.0,86.0,4.8,59.0,86
87.0,87.0,1.6,53.6,87
88.0,88.0,1.0,44.8,88
89.0,89.0,3.8,69.0,89
90.0,90.0,1.6,52.2,90
91.0,91.0,1.0,96.6,91
92.0,92.0,0.8,52.2,92
93.0,93.0,1.0,26.2,93
94.0,94.0,1.2,88.4,94
95.0,95.0,0.4,28.8,95
96.0,96.0,1.6,57.6,96
97.0,97.0,1.0,52.6,97
98.0,98.0,2.4,49.8,98
99.0,99.0,0.6,53.6,99
100.0,100.0,1.8,81.0,100
101.0,101.0,1.8,19.2,101
102.0,102.0,3.6,51.4,102
103.0,103.0,0.4,39.8,103
104.0,104.0,2.8,59.2,104
105.0,105.0,1.8,20.4,105
106.0,106.0,1.2,26.8,106
107.0,107.0,3.4,29.6,107
108.0,108.0,1.2,62.2,108
109.0,109.0,0.4,30.6,109
110.0,110.0,0.4,40.4,110
111.0,111.0,1.8,38.2,111
112.0,112.0,2.6,35.6,112
113.0,113.0,0.8,26.6,113
114.0,114.0,1.2,33.0,114
115.0,115.0,0.8,44.8,115
116.0,116.0,2.2,26.6,116
117.0,117.0,11.8,58.0,117
118.0,118.0,3.4,33.4,118
119.0,119.0,0.6,28.6,119
120.0,120.0,1.6,37.0,120
121.0,121.0,0.2,16.4,121
122.0,122.0,0.8,46.4,122
123.0,123.0,1.2,29.6,123
124.0,124.0,1.4,33.8,124
125.0,125.0,0.8,48.0,125
126.0,126.0,0.2,21.0,126
127.0,127.0,0.0,13.8,127
128.0,128.0,1.0,40.8,128
129.0,129.0,0.6,32.8,129
130.0,130.0,1.6,31.2,130
131.0,131.0,1.0,21.8,131
132.0,132.0,2.6,24.8,132
133.0,133.0,2.0,22.6,133
134.0,134.0,0.4,18.8,134
135.0,135.0,1.6,32.4,135
136.0,136.0,0.0,20.2,136
137.0,137.0,0.2,29.8,137
138.0,138.0,1.2,24.0,138
139.0,139.0,1.0,21.6,139
140.0,140.0,3.8,55.0,140
141.0,141.0,1.4,27.0,141
142.0,142.0,0.2,34.8,142
143.0,143.0,0.4,40.0,143
144.0,144.0,1.0,69.8,144
145.0,145.0,1.2,30.8,145
146.0,146.0,0.4,39.0,146
147.0,147.0,0.4,22.0,147
148.0,148.0,0.6,52.4,148
149.0,149.0,3.6,58.0,149
150.0,150.0,0.0,44.0,150
151.0,151.0,0.4,25.6,151
152.0,152.0,1.4,28.6,152
153.0,153.0,1.2,21.4,153
154.0,154.0,2.2,30.2,154
155.0,155.0,1.0,17.2,155
156.0,156.0,0.6,29.6,156
157.0,157.0,1.4,36.2,157
158.0,158.0,0.4,27.8,158
159.0,159.0,0.6,17.0,159
160.0,160.0,0.6,31.6,160
161.0,161.0,0.8,18.8,161
162.0,162.0,0.6,21.2,162
163.0,163.0,0.0,37.2,163
164.0,164.0,0.8,22.4,164
165.0,165.0,1.0,39.8,165
166.0,166.0,0.2,27.8,166
167.0,167.0,1.2,35.2,167
168.0,168.0,1.0,26.6,168
169.0,169.0,0.2,31.8,169
170.0,170.0,1.2,33.8,170
171.0,171.0,0.0,17.0,171
172.0,172.0,0.0,33.2,172
173.0,173.0,1.0,22.4,173
174.0,174.0,1.2,26.4,174
175.0,175.0,0.4,14.2,175
176.0,176.0,1.4,38.8,176
177.0,177.0,0.0,30.2,177
178.0,178.0,1.2,19.8,178
179.0,179.0,0.6,46.8,179
180.0,180.0,0.6,23.0,180
181.0,181.0,0.2,44.2,181
182.0,182.0,0.4,17.2,182
183.0,183.0,0.4,21.4,183
184.0,184.0,1.0,50.0,184
185.0,185.0,0.6,40.0,185
186.0,186.0,0.0,20.0,186
187.0,187.0,0.2,37.8,187
188.0,188.0,0.6,23.8,188
189.0,189.0,0.4,41.8,189
190.0,190.0,0.2,22.4,190
191.0,191.0,0.6,35.2,191
192.0,192.0,1.6,19.4,192
193.0,193.0,0.2,24.0,193
194.0,194.0,0.2,30.4,194
195.0,195.0,0.0,46.8,195
196.0,196.0,1.8,41.4,196
197.0,197.0,0.0,14.0,197
198.0,198.0,0.8,29.2,198
199.0,199.0,0.2,33.2,199
200.0,200.0,0.0,30.8,200
201.0,201.0,0.2,24.6,201
202.0,202.0,0.2,22.8,202
203.0,203.0,0.2,34.8,203
204.0,204.0,0.2,22.6,204
205.0,205.0,0.6,29.8,205
206.0,206.0,0.0,20.2,206
207.0,207.0,0.0,26.8,207
208.0,208.0,0.8,48.8,208
209.0,209.0,1.8,33.2,209
210.0,210.0,1.2,21.2,210
211.0,211.0,0.2,15.6,211
212.0,212.0,0.2,21.0,212
213.0,213.0,0.0,37.6,213
214.0,214.0,1.0,41.0,214
215.0,215.0,0.4,21.4,215
216.0,216.0,1.0,39.4,216
217.0,217.0,1.4,24.8,217
218.0,218.0,0.8,56.0,218
219.0,219.0,0.0,13.6,219
220.0,220.0,0.8,26.0,220
221.0,221.0,0.0,51.4,221
222.0,222.0,1.2,45.6,222
223.0,223.0,0.2,38.2,223
224.0,224.0,0.2,22.6,224
225.0,225.0,0.2,45.4,225
226.0,226.0,0.4,31.6,226
227.0,227.0,0.2,38.0,227
228.0,228.0,0.0,69.8,228
229.0,229.0,0.6,21.6,229
230.0,230.0,0.0,52.2,230
231.0,231.0,0.2,25.8,231
232.0,232.0,0.0,33.0,232
233.0,233.0,0.0,28.4,233
234.0,234.0,2.2,31.2,234
235.0,235.0,1.0,28.4,235
236.0,236.0,0.2,16.2,236
237.0,237.0,0.0,26.6,237
238.0,238.0,1.4,30.4,238
239.0,239.0,0.6,16.6,239
240.0,240.0,0.8,23.0,240
241.0,241.0,0.2,25.6,241
242.0,242.0,1.4,32.0,242
243.0,243.0,0.2,32.4,243
