episode,tot_done,reward,steps
0.0,0.0,-60.0,1
1.0,0.0,-68.25,2
2.0,0.0,-56.875,3
3.0,0.0,-61.375,4
4.0,0.0,-54.75,5
5.0,0.0,-70.5,6
6.0,0.0,-62.5,7
7.0,0.0,-63.0,8
8.0,0.0,-62.25,9
9.0,0.0,-64.0,10
10.0,0.0,-65.5,11
11.0,0.0,-48.875,12
12.0,0.0,-63.25,13
13.0,0.0,-67.0,14
14.0,0.0,-58.0,15
15.0,0.0,-57.25,16
16.0,0.0,-57.625,17
17.0,0.0,-60.0,18
18.0,0.0,-58.625,19
19.0,0.0,-58.25,20
20.0,0.0,-59.25,21
21.0,0.0,-59.5,22
22.0,0.0,-57.875,23
23.0,0.0,-63.625,24
24.0,0.0,-67.875,25
25.0,0.0,-55.625,26
26.0,0.0,-52.375,27
27.0,0.0,-58.375,28
28.0,0.0,-58.0,29
29.0,0.0,-56.25,30
30.0,0.0,-61.5,31
31.0,0.0,-60.375,32
32.0,0.0,-58.5,33
33.0,0.0,-58.0,34
34.0,0.0,-57.125,35
35.0,0.0,-49.25,36
36.0,0.0,-65.625,37
37.0,0.0,-61.25,38
38.0,0.0,-57.875,39
39.0,0.0,-63.375,40
40.0,0.0,-57.75,41
41.0,0.0,-54.625,42
42.0,0.0,-68.625,43
43.0,0.0,-60.875,44
44.0,0.0,-62.875,45
45.0,0.0,-56.5,46
46.0,0.0,-55.125,47
47.0,0.0,-55.125,48
48.0,0.0,-54.25,49
49.0,0.0,-56.75,50
50.0,0.0,-56.5,51
51.0,0.0,-52.875,52
52.0,0.0,-58.625,53
53.0,0.0,-51.125,54
54.0,0.0,-58.125,55
55.0,0.0,-55.125,56
56.0,0.0,-56.375,57
57.0,0.0,-52.25,58
58.0,0.0,-42.875,59
59.0,0.0,-61.5,60
60.0,0.0,-61.5,61
61.0,0.0,-46.25,62
62.0,0.0,-52.75,63
63.0,0.0,-47.75,64
64.0,0.0,-51.5,65
65.0,0.0,-57.75,66
66.0,0.0,-59.875,67
67.0,0.0,-64.125,68
68.0,0.0,-50.5,69
69.0,0.0,-55.375,70
70.0,0.0,-46.375,71
71.0,0.0,-47.375,72
72.0,0.0,-52.0,73
73.0,0.0,-57.5,74
74.0,0.0,-60.875,75
75.0,0.0,-49.875,76
76.0,0.0,-49.875,77
77.0,0.0,-50.125,78
78.0,0.0,-46.625,79
79.0,0.0,-51.125,80
80.0,0.0,-52.0,81
81.0,0.0,-48.625,82
82.0,0.0,-41.125,83
83.0,0.0,-58.125,84
84.0,0.0,-58.875,85
85.0,0.0,-47.875,86
86.0,0.0,-42.75,87
87.0,0.0,-43.5,88
88.0,0.0,-46.125,89
89.0,0.0,-49.25,90
90.0,0.0,-45.625,91
91.0,0.0,-42.625,92
92.0,0.0,-52.875,93
93.0,0.0,-50.75,94
94.0,0.0,-46.875,95
95.0,0.0,-31.25,96
96.0,0.0,-46.25,97
97.0,0.0,-47.625,98
98.0,0.0,-49.875,99
99.0,0.0,-48.875,100
100.0,0.0,-46.125,101
101.0,0.0,-53.125,102
102.0,0.0,-50.375,103
103.0,0.0,-51.0,104
104.0,0.0,-50.5,105
105.0,0.0,-56.375,106
106.0,0.0,-48.25,107
107.0,0.0,-46.25,108
108.0,0.0,-55.375,109
109.0,0.0,-51.0,110
110.0,0.0,-50.5,111
111.0,0.0,-46.0,112
112.0,0.0,-50.75,113
113.0,0.0,-38.125,114
114.0,0.0,-38.375,115
115.0,0.0,-41.625,116
116.0,0.0,-46.125,117
117.0,0.0,-45.25,118
118.0,0.0,-53.125,119
119.0,0.0,-42.375,120
120.0,0.0,-48.75,121
121.0,0.0,-51.0,122
122.0,0.0,-43.5,123
123.0,0.0,-34.0,124
124.0,0.0,-48.5,125
125.0,0.0,-51.375,126
126.0,0.0,-44.5,127
127.0,0.0,-44.625,128
128.0,0.0,-36.25,129
129.0,0.0,-45.0,130
130.0,0.0,-42.25,131
131.0,0.0,-46.375,132
132.0,0.0,-48.125,133
133.0,0.0,-46.625,134
134.0,0.0,-46.875,135
135.0,0.0,-42.25,136
136.0,0.0,-46.375,137
137.0,0.0,-42.875,138
138.0,0.0,-39.875,139
139.0,0.0,-47.25,140
140.0,0.0,-32.875,141
141.0,0.0,-40.875,142
142.0,0.0,-39.25,143
143.0,0.0,-37.875,144
144.0,0.0,-44.625,145
145.0,0.0,-38.0,146
146.0,0.0,-35.75,147
147.0,0.0,-46.625,148
148.0,0.0,-45.25,149
149.0,0.0,-36.5,150
150.0,0.0,-40.75,151
151.0,0.0,-39.75,152
152.0,0.0,-43.375,153
153.0,0.0,-34.5,154
154.0,0.0,-35.375,155
155.0,0.0,-48.0,156
156.0,0.0,-41.0,157
157.0,0.0,-34.125,158
158.0,0.0,-43.25,159
159.0,0.0,-34.625,160
160.0,0.0,-47.0,161
161.0,0.0,-34.875,162
162.0,0.0,-34.0,163
163.0,0.0,-42.75,164
164.0,0.0,-42.375,165
165.0,0.0,-39.625,166
166.0,0.0,-38.75,167
167.0,0.0,-36.5,168
168.0,0.0,-34.25,169
169.0,0.0,-43.75,170
170.0,0.0,-33.0,171
171.0,0.0,-42.5,172
172.0,0.0,-40.75,173
173.0,0.0,-36.875,174
174.0,0.0,-46.5,175
175.0,0.0,-35.875,176
176.0,0.0,-39.0,177
177.0,0.0,-39.5,178
178.0,0.0,-35.875,179
179.0,0.0,-40.125,180
180.0,0.0,-44.875,181
181.0,0.0,-38.125,182
182.0,0.0,-34.0,183
183.0,0.0,-39.5,184
184.0,0.0,-43.875,185
185.0,0.0,-32.875,186
186.0,0.0,-34.375,187
187.0,0.0,-26.75,188
188.0,0.0,-25.75,189
189.0,0.0,-43.25,190
190.0,0.0,-27.375,191
191.0,0.0,-34.25,192
192.0,0.0,-39.5,193
193.0,0.0,-32.375,194
194.0,0.0,-32.625,195
195.0,0.0,-31.25,196
196.0,0.0,-38.5,197
197.0,0.0,-32.5,198
198.0,0.0,-36.375,199
199.0,0.0,-34.375,200
200.0,0.0,-35.875,201
201.0,0.0,-38.0,202
202.0,0.0,-32.75,203
203.0,0.0,-30.625,204
204.0,0.0,-36.625,205
205.0,0.0,-38.125,206
206.0,0.0,-25.5,207
207.0,0.0,-27.5,208
208.0,0.0,-34.5,209
209.0,0.0,-34.625,210
210.0,0.0,-34.75,211
211.0,0.0,-33.875,212
212.0,0.0,-44.875,213
213.0,0.0,-31.375,214
214.0,0.0,-35.25,215
215.0,0.0,-31.875,216
216.0,0.0,-27.75,217
217.0,0.0,-32.5,218
218.0,0.0,-25.375,219
219.0,0.0,-33.0,220
220.0,0.0,-28.75,221
221.0,0.0,-15.5,222
222.0,0.0,-31.625,223
223.0,0.0,-28.75,224
224.0,0.0,-21.25,225
225.0,0.0,-35.25,226
226.0,0.0,-38.5,227
227.0,0.0,-32.0,228
228.0,0.0,-30.0,229
229.0,0.0,-25.125,230
230.0,0.0,-25.25,231
231.0,0.0,-28.5,232
232.0,0.0,-31.625,233
233.0,0.0,-28.75,234
234.0,0.0,-31.25,235
235.0,0.0,-31.625,236
236.0,0.0,-40.25,237
237.0,0.0,-28.375,238
238.0,0.0,-27.625,239
239.0,0.0,-32.5,240
240.0,0.0,-34.625,241
241.0,0.0,-33.625,242
242.0,0.0,-28.5,243
243.0,0.0,-33.0,244
244.0,0.0,-44.625,245
245.0,0.0,-33.25,246
246.0,0.0,-25.75,247
247.0,0.0,-19.875,248
248.0,0.0,-40.0,249
249.0,0.0,-33.0,250
250.0,0.0,-33.375,251
251.0,0.0,-32.5,252
252.0,0.0,-24.5,253
253.0,0.0,-27.75,254
254.0,0.0,-26.0,255
255.0,0.0,-28.75,256
256.0,0.0,-22.75,257
257.0,0.0,-22.75,258
258.0,0.0,-33.5,259
259.0,0.0,-32.375,260
260.0,0.0,-21.625,261
261.0,0.0,-16.5,262
262.0,0.0,-30.0,263
263.0,0.0,-31.25,264
264.0,0.0,-29.375,265
265.0,0.0,-21.5,266
266.0,0.0,-19.0,267
267.0,0.125,-19.75,268
268.0,0.125,-19.0,269
269.0,0.125,-23.375,270
270.0,0.125,-31.375,271
271.0,0.125,-21.25,272
272.0,0.125,-24.0,273
273.0,0.125,-14.625,274
274.0,0.125,-24.25,275
275.0,0.125,-25.125,276
276.0,0.125,-26.125,277
277.0,0.125,-26.625,278
278.0,0.125,-22.0,279
279.0,0.125,-21.375,280
280.0,0.125,-31.375,281
281.0,0.125,-19.0,282
282.0,0.125,-25.375,283
283.0,0.125,-16.0,284
284.0,0.125,-20.375,285
285.0,0.125,-25.125,286
286.0,0.125,-26.625,287
287.0,0.125,-18.875,288
288.0,0.125,-29.375,289
289.0,0.125,-22.625,290
290.0,0.125,-26.625,291
291.0,0.125,-20.875,292
292.0,0.125,-19.5,293
293.0,0.125,-27.0,294
294.0,0.125,-28.75,295
295.0,0.125,-25.75,296
296.0,0.125,-29.375,297
297.0,0.125,-15.75,298
298.0,0.125,-32.125,299
299.0,0.125,-22.75,300
300.0,0.125,-19.25,301
301.0,0.125,-23.875,302
302.0,0.125,-27.625,303
303.0,0.125,-22.625,304
304.0,0.125,-27.5,305
305.0,0.125,-26.5,306
306.0,0.125,-30.625,307
307.0,0.125,-24.375,308
308.0,0.125,-23.625,309
309.0,0.125,-17.25,310
310.0,0.125,-19.125,311
311.0,0.125,-22.0,312
312.0,0.125,-32.625,313
313.0,0.125,-28.875,314
314.0,0.125,-16.875,315
315.0,0.125,-20.625,316
316.0,0.125,-23.25,317
317.0,0.125,-20.375,318
318.0,0.125,-18.0,319
319.0,0.125,-23.125,320
