Agent 0,Agent 1,min,max,avg,steps,trend
30.7,3.3,2.6,31.4,17.0,1,20.66425801120468
29.8,12.1,3.4,38.5,20.95,2,20.650100990266267
28.4,11.8,2.8,37.4,20.099999999999998,3,20.637108910308807
30.7,10.7,2.6,38.8,20.7,4,20.625268548953418
31.5,22.2,5.0,48.7,26.85,5,20.61456674024147
28.6,17.6,4.0,42.2,23.1,6,20.604990374634603
28.1,7.6,3.1,32.6,17.85,7,20.5965263990147
30.3,7.1,0.9,36.5,18.7,8,20.589161816683923
32.0,7.7,2.5,37.2,19.85,9,20.582883687364674
30.3,7.8,3.5,34.6,19.05,10,20.57767912719963
43.2,8.3,1.7,49.8,25.75,11,20.573535308751712
38.0,22.7,6.0,54.7,30.35,12,20.57043946100412
34.0,4.7,2.2,36.5,19.35,13,20.568378869360295
31.3,8.2,2.2,37.3,19.75,14,20.56734087564395
31.1,14.5,5.1,40.5,22.8,15,20.56731287809905
30.0,17.3,1.9,45.4,23.65,16,20.56828233138982
31.4,8.6,2.5,37.5,20.0,17,20.57023674660075
30.9,23.2,3.6,50.5,27.05,18,20.57316369123658
30.6,22.5,5.0,48.1,26.55,19,20.57705078922232
30.7,4.3,2.3,32.7,17.5,20,20.58188572090323
28.5,1.6,0.2,29.9,15.049999999999999,21,20.587656223044835
34.2,2.2,0.9,35.5,18.2,22,20.594350088832915
29.0,9.0,3.4,34.6,19.0,23,20.60195516787352
31.8,9.7,3.6,37.9,20.75,24,20.61045936619294
35.6,5.1,3.6,37.1,20.35,25,20.619850646237744
30.4,15.1,6.3,39.2,22.75,26,20.63011702687475
22.9,1.2,1.1,23.0,12.05,27,20.641246583391037
22.5,17.7,3.3,36.9,20.099999999999998,28,20.653227447493943
30.8,14.8,4.9,40.7,22.8,29,20.66604780731107
24.2,17.1,6.9,34.4,20.65,30,20.67969590739027
33.3,9.5,5.8,37.0,21.4,31,20.69416004869966
24.9,10.6,7.7,27.8,17.75,32,20.709428588627624
24.9,9.7,3.8,30.8,17.3,33,20.725489940982786
25.2,8.2,4.0,29.4,16.7,34,20.742332575994052
23.6,22.0,7.4,38.2,22.8,35,20.759945020310568
25.1,11.0,3.4,32.7,18.05,36,20.778315857001747
29.2,8.4,2.4,35.2,18.8,37,20.79743372555727
26.8,10.6,3.8,33.6,18.7,38,20.817287321887065
23.7,15.4,6.6,32.5,19.55,39,20.837865398321323
24.5,14.9,5.0,34.4,19.7,40,20.859156763610493
24.7,11.0,3.9,31.8,17.85,41,20.88115028292529
24.7,10.9,3.9,31.7,17.8,42,20.903834877856678
23.9,12.8,4.1,32.6,18.35,43,20.927199526415894
24.1,13.8,5.9,32.0,18.95,44,20.951233263034418
24.8,10.5,3.1,32.2,17.650000000000002,45,20.975925178564
29.5,13.5,5.9,37.1,21.5,46,21.00126442027665
25.7,18.5,5.4,38.8,22.099999999999998,47,21.02724019186463
25.7,16.5,3.1,39.1,21.1,48,21.053841753440473
35.1,8.0,3.2,39.9,21.55,49,21.081058421536955
24.6,19.2,6.2,37.6,21.900000000000002,50,21.108879569107128
