episode,total_done,total_col,step
1,0.25,4.625,457.125
2,0.5,4.125,407.125
3,1.5,3.375,165.125
4,1.875,3.375,427.375
5,2.5,4.375,290.625
6,3.0,2.5,383.5
7,3.375,6.625,402.625
8,4.0,2.625,303.75
9,4.375,3.125,377.625
10,4.75,1.25,408.25
11,5.0,5.75,450.625
12,5.5,4.375,336.5
13,5.875,4.875,376.0
14,6.5,1.75,290.625
15,7.25,3.875,337.25
16,8.0,5.125,303.75
17,8.875,2.375,327.0
18,9.125,2.25,413.0
19,9.5,1.625,393.25
20,10.0,5.625,390.5
21,10.625,6.0,327.75
22,11.125,2.625,385.125
23,11.625,4.0,372.375
24,12.25,3.375,330.625
25,12.75,3.25,358.125
26,13.25,3.125,340.0
27,13.875,4.875,286.875
28,14.5,7.25,353.5
29,14.875,2.75,398.125
30,15.375,4.625,330.375
31,15.625,0.625,423.125
32,16.25,3.625,341.25
33,16.5,3.375,407.0
34,17.375,5.625,203.625
35,18.125,3.375,303.625
36,18.75,2.5,332.625
37,19.625,2.875,191.625
38,20.25,4.125,306.75
39,20.625,0.875,430.625
40,21.0,4.75,423.25
41,21.375,1.875,350.125
42,22.0,3.25,336.375
43,22.625,3.125,337.25
44,23.25,1.75,310.75
45,23.5,3.625,408.25
46,24.25,4.75,264.25
47,24.5,4.375,395.625
48,25.125,4.125,308.875
49,25.5,2.625,413.75
50,26.125,3.25,274.375
51,26.25,3.125,461.125
52,26.625,4.0,366.25
53,27.25,4.25,305.375
54,28.25,2.375,161.75
55,29.125,3.375,272.125
56,29.625,2.625,334.125
57,30.125,0.875,332.875
58,30.625,5.625,409.875
59,31.0,3.75,367.5
60,31.5,4.0,361.5
61,32.0,1.25,285.5
62,32.375,3.75,395.125
63,33.125,3.25,262.5
64,33.5,4.625,364.375
65,34.0,2.125,332.625
66,34.625,2.25,318.375
67,35.375,3.25,231.25
68,36.0,3.625,249.75
69,36.5,1.875,335.625
70,37.25,2.625,235.5
71,37.875,3.5,268.75
72,38.5,2.75,302.75
73,39.25,1.625,318.75
74,40.0,4.375,310.0
75,40.625,1.0,322.25
76,41.375,3.125,279.625
77,42.125,2.875,172.75
78,42.875,4.5,317.375
79,43.375,2.25,331.625
80,44.125,5.125,299.5
81,44.75,2.0,236.0
82,45.125,1.5,362.625
83,45.625,3.5,386.5
84,46.5,2.0,264.75
85,47.125,1.625,316.5
86,47.625,4.25,325.375
87,48.375,3.375,235.5
88,49.0,2.0,310.75
89,49.75,2.5,325.5
90,50.375,3.875,282.75
91,51.0,2.375,269.125
92,51.75,0.625,387.5
93,52.5,2.875,272.5
94,53.25,1.0,211.5
95,53.75,5.5,322.5
96,54.5,3.625,227.5
97,55.0,2.375,357.625
98,55.625,3.125,296.0
99,56.25,3.5,280.375
100,56.625,1.0,356.125
101,57.125,1.75,398.875
102,57.75,8.375,345.125
103,58.25,2.5,366.125
104,58.875,3.25,376.125
105,59.625,3.75,249.75
106,60.375,3.125,268.0
107,60.875,5.375,310.875
108,61.625,3.625,244.0
109,62.0,3.625,391.875
110,62.5,3.25,363.625
111,63.25,4.875,223.375
112,64.0,2.25,285.75
113,64.625,2.0,284.25
114,65.375,2.875,244.25
115,65.625,3.25,412.875
116,66.375,4.125,221.75
117,66.875,2.25,316.25
118,67.25,2.25,332.375
119,67.875,2.375,296.875
120,68.75,1.75,206.25
121,69.25,1.125,332.0
122,70.0,1.25,234.125
