episode,total_done,total_col,step,steps
0.0,0.5,6.1,229.0,1
1.0,0.6,2.3,282.9,2
2.0,1.0,4.4,260.9,3
3.0,1.5,1.7,225.3,4
4.0,1.7,4.4,284.9,5
5.0,1.9,3.8,256.6,6
6.0,2.5,6.7,217.9,7
7.0,2.8,4.7,259.0,8
8.0,3.0,4.3,271.4,9
9.0,3.8,4.6,198.8,10
10.0,4.2,3.3,250.9,11
11.0,4.8,3.4,186.2,12
12.0,5.1,5.0,246.8,13
13.0,5.5,2.9,250.9,14
14.0,5.8,2.2,245.1,15
15.0,6.1,3.3,237.9,16
16.0,6.3,3.5,249.0,17
17.0,6.4,4.6,287.8,18
18.0,6.5,3.5,280.4,19
19.0,7.2,2.4,151.3,20
20.0,7.6,2.2,235.4,21
21.0,8.3,5.1,222.9,22
22.0,8.5,7.0,271.7,23
23.0,8.8,6.3,273.2,24
24.0,8.9,3.8,276.0,25
25.0,9.1,3.9,273.2,26
26.0,9.6,4.7,220.9,27
27.0,10.2,4.7,226.7,28
28.0,10.4,5.4,264.5,29
29.0,10.8,3.4,244.3,30
30.0,11.3,3.2,205.0,31
31.0,11.9,2.6,196.4,32
32.0,12.3,1.9,251.5,33
33.0,12.9,2.9,208.0,34
34.0,13.2,3.1,265.0,35
35.0,13.4,3.2,284.1,36
36.0,13.7,3.2,235.3,37
37.0,14.0,4.7,275.4,38
38.0,14.1,3.4,276.7,39
39.0,14.3,5.0,272.1,40
40.0,14.5,3.2,271.7,41
41.0,14.7,2.9,263.6,42
42.0,14.9,3.9,261.9,43
43.0,15.1,2.5,269.7,44
44.0,15.7,3.3,213.9,45
45.0,16.3,4.9,212.7,46
46.0,16.8,4.6,221.9,47
47.0,17.0,3.1,273.2,48
48.0,17.5,3.0,218.4,49
49.0,17.8,3.6,230.0,50
50.0,18.3,3.4,193.1,51
51.0,19.0,1.2,208.0,52
52.0,19.5,3.0,239.0,53
53.0,19.8,3.6,247.7,54
54.0,20.1,4.0,248.5,55
55.0,20.5,4.5,245.4,56
56.0,21.2,3.5,184.7,57
57.0,21.6,1.8,235.0,58
58.0,21.7,2.5,298.8,59
59.0,21.9,5.2,250.7,60
60.0,22.6,3.0,171.7,61
61.0,22.9,5.0,278.7,62
62.0,23.2,2.7,268.2,63
63.0,23.7,3.5,242.0,64
64.0,23.8,3.0,296.8,65
65.0,24.1,2.3,246.0,66
66.0,24.5,5.6,242.6,67
67.0,24.8,4.2,264.1,68
68.0,25.4,4.2,212.4,69
69.0,25.7,1.8,246.9,70
70.0,26.1,0.6,246.7,71
71.0,26.7,1.7,187.3,72
72.0,27.0,3.7,235.5,73
73.0,27.1,2.9,288.1,74
74.0,27.3,6.0,266.8,75
75.0,27.7,5.4,254.0,76
76.0,28.1,4.2,249.4,77
77.0,28.2,2.9,282.4,78
78.0,28.5,3.0,263.1,79
79.0,29.3,3.5,181.3,80
80.0,29.8,1.7,236.6,81
81.0,30.5,2.4,186.5,82
82.0,30.8,2.1,269.4,83
83.0,30.9,1.5,274.9,84
84.0,31.6,1.3,173.1,85
85.0,31.7,5.6,292.0,86
86.0,32.3,5.5,217.0,87
87.0,32.6,3.8,274.8,88
88.0,32.9,2.1,245.0,89
89.0,33.1,5.0,264.4,90
90.0,33.4,2.5,239.0,91
91.0,33.5,4.6,276.7,92
92.0,33.7,1.4,276.6,93
93.0,33.9,3.0,277.9,94
94.0,34.0,4.0,285.9,95
95.0,34.7,5.5,177.3,96
96.0,34.8,2.7,290.1,97
97.0,34.9,2.6,274.3,98
98.0,35.6,4.5,184.0,99
99.0,36.1,2.1,197.8,100
100.0,36.6,4.0,217.9,101
101.0,36.9,3.9,254.5,102
102.0,37.3,3.8,227.7,103
103.0,37.5,2.6,280.3,104
104.0,38.0,2.9,232.9,105
105.0,38.6,2.5,199.5,106
106.0,39.0,4.1,232.1,107
107.0,39.5,2.6,230.3,108
108.0,40.0,1.4,225.5,109
109.0,40.3,3.8,231.6,110
110.0,40.4,3.2,281.5,111
111.0,40.8,1.6,242.0,112
112.0,41.3,3.1,247.9,113
113.0,41.6,5.3,250.3,114
114.0,42.1,2.4,197.7,115
115.0,42.4,1.2,234.2,116
116.0,42.9,1.6,203.6,117
117.0,43.5,1.9,189.8,118
118.0,43.8,7.7,261.4,119
119.0,44.3,1.9,213.1,120
120.0,45.1,3.2,172.1,121
