episode,total_done,total_col,step,steps
0.0,0.05,2.45,441.75,1
1.0,0.05,1.15,450.0,2
2.0,0.1,5.55,439.25,3
3.0,0.2,5.35,442.15,4
4.0,0.2,2.2,450.0,5
5.0,0.2,2.9,450.0,6
6.0,0.2,2.45,450.0,7
7.0,0.2,2.45,450.0,8
8.0,0.2,1.65,450.0,9
9.0,0.2,4.25,450.0,10
10.0,0.3,2.05,446.4,11
11.0,0.3,2.25,450.0,12
12.0,0.3,3.85,450.0,13
13.0,0.35,3.1,443.3,14
14.0,0.45,2.05,443.1,15
15.0,0.55,3.7,435.95,16
16.0,0.6,2.25,442.9,17
17.0,0.6,4.0,450.0,18
18.0,0.7,4.4,427.7,19
19.0,0.75,2.65,436.85,20
20.0,0.95,4.5,430.8,21
21.0,1.35,2.05,422.1,22
22.0,1.7,2.4,409.4,23
23.0,1.95,2.25,426.15,24
24.0,2.15,3.75,424.25,25
25.0,2.45,4.5,409.2,26
26.0,2.8,3.0,395.7,27
27.0,3.0,3.45,416.6,28
28.0,3.4,3.6,403.6,29
29.0,3.8,4.1,408.55,30
30.0,4.15,3.8,403.7,31
31.0,4.8,2.7,328.6,32
32.0,5.3,2.55,378.45,33
33.0,5.8,3.25,369.95,34
34.0,6.3,5.2,377.7,35
35.0,6.9,1.65,367.3,36
36.0,7.6,3.55,320.6,37
37.0,8.25,1.7,298.95,38
38.0,8.9,2.0,332.35,39
39.0,9.55,2.9,360.95,40
40.0,10.05,2.95,350.9,41
41.0,10.75,2.95,314.45,42
42.0,11.6,3.25,270.8,43
43.0,12.35,3.6,303.6,44
44.0,13.15,3.05,295.2,45
45.0,14.05,1.45,276.35,46
46.0,14.9,1.65,279.45,47
47.0,15.75,2.0,238.75,48
48.0,16.55,2.0,273.45,49
49.0,17.5,2.35,246.7,50
50.0,18.15,3.1,288.65,51
51.0,18.95,1.35,280.35,52
52.0,19.75,3.0,274.9,53
53.0,20.6,2.95,216.0,54
54.0,21.45,1.5,229.45,55
55.0,22.3,1.15,214.75,56
56.0,23.25,3.05,215.8,57
57.0,24.15,1.05,230.4,58
58.0,25.05,1.9,192.1,59
59.0,25.8,2.8,231.2,60
60.0,26.65,1.25,203.1,61
61.0,27.5,3.95,234.7,62
62.0,28.45,1.55,177.5,63
63.0,29.35,3.15,203.55,64
64.0,30.3,1.55,188.6,65
