episode,total_done,total_col,step,steps
0.0,0.0,1.875,325.0,1
1.0,0.0,0.75,325.0,2
2.0,0.0,3.375,325.0,3
3.0,0.0,1.375,325.0,4
4.0,0.125,0.5,315.75,5
5.0,0.125,0.375,325.0,6
6.0,0.125,0.875,325.0,7
7.0,0.125,2.0,325.0,8
8.0,0.125,1.375,325.0,9
9.0,0.125,1.0,325.0,10
10.0,0.125,1.25,325.0,11
11.0,0.125,0.125,325.0,12
12.0,0.125,0.0,325.0,13
13.0,0.125,0.0,325.0,14
14.0,0.125,1.0,325.0,15
15.0,0.125,1.875,325.0,16
16.0,0.125,1.25,325.0,17
17.0,0.125,3.0,325.0,18
18.0,0.125,0.5,325.0,19
19.0,0.125,1.25,325.0,20
20.0,0.125,3.375,325.0,21
21.0,0.125,1.625,325.0,22
22.0,0.125,2.375,325.0,23
23.0,0.125,2.875,325.0,24
24.0,0.25,0.875,322.25,25
25.0,0.25,1.125,325.0,26
26.0,0.25,1.125,325.0,27
27.0,0.25,2.125,325.0,28
28.0,0.25,1.375,325.0,29
29.0,0.375,1.75,322.375,30
30.0,0.375,3.0,325.0,31
31.0,0.375,0.5,325.0,32
32.0,0.5,2.375,322.0,33
33.0,0.5,1.375,325.0,34
34.0,0.5,3.0,325.0,35
35.0,0.5,0.875,325.0,36
36.0,0.5,1.5,325.0,37
37.0,0.5,1.875,325.0,38
38.0,0.5,3.125,325.0,39
39.0,0.5,2.75,325.0,40
40.0,0.5,5.75,325.0,41
41.0,0.5,1.875,325.0,42
42.0,0.5,2.0,325.0,43
43.0,0.5,2.5,325.0,44
44.0,0.5,5.125,325.0,45
45.0,0.625,2.125,322.125,46
46.0,0.625,3.5,325.0,47
47.0,0.625,1.0,325.0,48
48.0,0.625,1.375,325.0,49
49.0,0.625,2.625,325.0,50
50.0,0.625,1.375,325.0,51
51.0,0.625,2.375,325.0,52
52.0,0.625,2.5,325.0,53
53.0,0.625,1.0,325.0,54
54.0,0.625,1.125,325.0,55
55.0,0.625,1.625,325.0,56
56.0,0.625,1.0,325.0,57
57.0,0.625,0.75,325.0,58
58.0,0.625,2.875,325.0,59
59.0,0.625,1.375,325.0,60
60.0,0.625,2.875,325.0,61
61.0,0.75,3.25,319.75,62
62.0,0.75,1.125,325.0,63
63.0,0.75,2.75,325.0,64
64.0,0.75,1.5,325.0,65
65.0,0.75,1.5,325.0,66
66.0,0.75,3.125,325.0,67
67.0,0.75,3.75,325.0,68
68.0,0.75,1.125,325.0,69
69.0,0.75,2.25,325.0,70
70.0,0.875,3.25,319.625,71
71.0,0.875,2.125,325.0,72
72.0,0.875,1.5,325.0,73
73.0,0.875,2.5,325.0,74
74.0,0.875,3.375,325.0,75
75.0,0.875,1.375,325.0,76
76.0,0.875,2.625,325.0,77
77.0,0.875,1.375,325.0,78
78.0,0.875,1.375,325.0,79
79.0,1.0,1.0,307.75,80
80.0,1.0,1.75,325.0,81
81.0,1.0,1.0,325.0,82
82.0,1.0,0.75,325.0,83
83.0,1.0,0.75,325.0,84
84.0,1.0,1.625,325.0,85
85.0,1.0,1.375,325.0,86
86.0,1.0,2.125,325.0,87
87.0,1.0,1.125,325.0,88
88.0,1.0,4.25,325.0,89
89.0,1.0,2.75,325.0,90
90.0,1.0,1.625,325.0,91
91.0,1.0,3.125,325.0,92
92.0,1.0,2.625,325.0,93
93.0,1.0,1.875,325.0,94
94.0,1.0,2.0,325.0,95
95.0,1.125,1.125,321.5,96
96.0,1.25,1.375,325.0,97
97.0,1.25,2.625,325.0,98
98.0,1.25,2.0,325.0,99
99.0,1.25,3.875,325.0,100
100.0,1.25,1.625,325.0,101
101.0,1.25,0.375,325.0,102
102.0,1.25,4.375,325.0,103
103.0,1.25,1.5,325.0,104
104.0,1.25,2.25,325.0,105
105.0,1.25,3.25,325.0,106
106.0,1.25,1.0,325.0,107
107.0,1.25,2.0,325.0,108
