episode,total_done,total_col
0.0,0.2,4.5
1.0,0.5,3.9
2.0,1.0,4.7
3.0,1.5,4.6
4.0,1.8,2.7
5.0,2.0,4.6
6.0,2.5,5.9
7.0,3.2,2.7
8.0,3.4,4.4
9.0,3.5,5.9
10.0,3.7,4.7
11.0,4.3,4.1
12.0,4.6,5.5
13.0,4.8,5.9
14.0,5.4,2.6
15.0,5.6,8.1
16.0,6.1,2.2
17.0,6.2,2.6
18.0,6.5,4.3
19.0,6.9,6.7
20.0,7.5,3.0
21.0,7.8,4.5
22.0,8.4,4.2
23.0,8.9,2.9
24.0,9.4,1.7
25.0,9.7,5.9
26.0,10.0,4.6
27.0,10.5,5.3
28.0,11.0,5.7
29.0,11.6,2.5
30.0,12.4,5.8
31.0,13.1,3.7
32.0,13.9,2.5
33.0,14.7,1.9
34.0,15.2,1.9
35.0,15.8,1.8
36.0,16.3,2.2
37.0,17.1,4.3
38.0,17.9,2.2
39.0,18.6,3.3
40.0,19.4,1.7
41.0,19.6,3.1
42.0,20.1,1.7
43.0,20.9,2.6
44.0,21.8,3.8
45.0,22.6,2.1
46.0,23.3,1.8
47.0,24.2,1.7
48.0,25.1,1.2
49.0,25.8,3.3
50.0,26.6,1.0
51.0,27.3,2.4
52.0,28.2,1.7
53.0,29.1,1.9
54.0,30.0,2.3
55.0,30.9,4.0
56.0,31.7,1.5
57.0,32.5,2.5
58.0,33.3,0.6
59.0,34.2,2.3
60.0,35.0,1.8
61.0,35.7,3.0
62.0,36.7,1.4
63.0,37.3,1.0
64.0,38.1,1.6
65.0,39.0,3.2
66.0,39.9,2.4
67.0,40.7,0.9
68.0,41.6,1.5
69.0,42.5,0.7
70.0,43.5,2.4
71.0,44.3,0.8
72.0,45.3,2.3
73.0,46.3,0.7
74.0,47.3,0.3
75.0,48.3,0.9
76.0,49.3,0.5
77.0,50.3,1.7
78.0,51.2,1.5
79.0,52.2,1.1
80.0,53.2,2.9
81.0,54.1,0.7
82.0,55.1,2.0
83.0,56.1,1.8
84.0,57.1,1.2
85.0,58.1,1.8
86.0,58.9,0.9
87.0,59.8,0.5
88.0,60.8,0.8
89.0,61.7,1.1
90.0,62.5,1.0
91.0,63.4,0.7
92.0,64.3,0.4
93.0,65.3,0.8
94.0,66.3,1.7
95.0,67.3,0.6
96.0,68.2,0.7
97.0,69.0,0.5
98.0,70.0,2.2
99.0,70.9,2.2
100.0,71.9,1.2
101.0,72.8,1.4
102.0,73.8,3.3
103.0,74.8,0.5
104.0,75.7,0.3
105.0,76.6,0.5
106.0,77.6,4.5
107.0,78.3,1.3
108.0,79.3,1.5
109.0,80.3,0.5
110.0,81.3,0.7
111.0,82.3,1.2
112.0,83.1,2.6
113.0,84.0,0.2
114.0,85.0,0.9
115.0,86.0,1.2
116.0,86.9,0.9
117.0,87.7,0.6
118.0,88.7,0.4
119.0,89.7,1.1
120.0,90.6,0.9
121.0,91.5,0.6
122.0,92.5,0.4
123.0,93.3,2.1
124.0,94.3,0.4
125.0,95.2,0.1
126.0,96.2,0.1
127.0,97.1,0.0
128.0,98.0,0.4
129.0,98.9,1.4
130.0,99.7,1.1
131.0,100.7,0.7
132.0,101.7,0.8
133.0,102.6,0.0
134.0,103.4,0.1
135.0,104.3,0.4
136.0,105.3,0.8
137.0,106.2,0.3
138.0,107.2,0.1
139.0,108.2,0.4
140.0,109.2,0.1
141.0,110.1,0.3
142.0,111.0,0.0
143.0,112.0,0.2
144.0,113.0,0.0
145.0,114.0,0.6
146.0,114.9,0.1
147.0,115.9,0.1
148.0,116.8,0.9
149.0,117.6,0.2
150.0,118.4,0.1
151.0,119.4,0.6
152.0,120.3,1.8
153.0,121.3,0.1
154.0,122.2,0.3
155.0,123.0,0.5
156.0,123.9,0.1
157.0,124.9,0.0
158.0,125.9,0.1
159.0,126.9,0.3
160.0,127.8,0.3
161.0,128.8,0.0
162.0,129.8,0.3
163.0,130.8,0.9
164.0,131.8,0.3
165.0,132.6,0.6
166.0,133.5,0.5
167.0,134.2,0.2
168.0,135.2,0.3
169.0,136.1,0.0
170.0,137.1,1.3
171.0,138.1,0.5
172.0,139.1,0.0
173.0,139.8,0.0
174.0,140.7,0.3
175.0,141.7,0.1
176.0,142.5,0.3
177.0,143.3,0.4
178.0,144.3,0.5
179.0,145.3,0.0
180.0,146.1,0.5
181.0,147.1,0.2
182.0,147.9,0.6
183.0,148.9,0.6
184.0,149.7,0.0
185.0,150.7,0.2
186.0,151.7,0.7
187.0,152.5,0.4
188.0,153.5,0.3
189.0,154.3,0.3
190.0,155.2,0.0
191.0,156.2,0.0
192.0,157.2,0.0
193.0,157.9,0.0
194.0,158.6,0.0
195.0,159.6,0.3
196.0,160.5,0.0
197.0,161.3,0.0
198.0,162.1,0.6
199.0,163.1,0.2
