episode,total_done,total_col
1,0.3,6.3
2,0.8,5.7
3,1.0,4.1
4,1.4,4.3
5,1.8,3.7
6,2.1,4.8
7,2.7,4.3
8,3.2,4.7
9,3.7,4.5
10,3.8,5.9
11,4.2,6.4
12,4.3,4.6
13,4.8,7.8
14,5.2,5.9
15,5.6,4.1
16,6.3,5.7
17,6.7,5.1
18,6.9,7.7
19,7.1,4.4
20,7.4,5.4
21,7.9,3.3
22,8.2,3.7
23,8.4,3.9
24,8.5,5.0
25,8.9,7.3
26,9.3,5.0
27,10.0,2.1
28,10.3,2.6
29,10.7,7.9
30,10.9,4.4
31,11.3,4.4
32,11.7,3.5
33,11.9,4.7
34,12.5,2.7
35,12.9,3.1
36,13.3,3.3
37,13.6,5.7
38,14.0,5.7
39,14.3,5.1
40,14.4,3.9
41,14.9,3.7
42,15.3,5.0
43,15.6,1.7
44,16.1,4.6
45,16.3,5.2
46,16.6,4.4
47,17.1,4.6
48,17.5,3.1
49,17.6,3.3
50,18.1,3.9
51,18.2,4.9
52,18.6,4.1
53,19.1,4.5
54,19.5,4.1
55,20.0,4.7
56,20.5,2.0
57,21.0,2.7
58,21.0,4.3
59,21.4,5.3
60,21.5,4.8
61,21.7,4.8
62,22.0,4.4
63,22.4,5.2
64,22.7,4.7
65,22.8,4.4
66,23.2,2.9
67,23.9,1.9
68,24.1,5.6
69,24.6,2.6
70,25.1,3.0
71,25.7,4.3
72,26.4,3.3
73,26.8,3.4
74,27.5,4.7
75,28.0,5.8
76,28.5,2.4
77,28.5,2.4
78,28.8,3.0
79,29.2,4.8
80,29.6,4.6
81,29.9,4.4
82,30.6,8.3
83,30.8,5.0
84,31.4,3.8
85,31.9,4.2
86,32.1,2.6
87,32.6,2.2
88,33.2,3.6
89,33.3,2.2
90,33.7,5.5
91,34.1,2.7
92,34.7,1.9
93,35.2,3.1
94,35.6,5.2
95,36.0,2.8
96,36.5,4.5
97,36.9,2.0
98,37.3,1.5
99,38.0,3.2
100,38.3,2.9
101,38.9,1.4
102,39.5,2.5
103,40.1,3.7
104,40.5,3.2
105,40.9,3.0
106,41.5,2.7
107,42.0,3.1
108,42.3,3.2
109,43.0,2.6
110,43.6,4.8
111,44.2,4.2
112,44.6,3.2
113,45.1,3.4
114,45.4,1.6
115,45.9,3.6
116,46.5,2.6
117,46.8,2.5
118,47.2,2.8
119,47.6,3.2
120,48.1,3.5
121,48.6,4.4
122,49.2,2.6
123,49.5,2.0
124,49.9,3.2
125,50.5,2.6
126,51.0,3.3
127,51.5,3.1
128,52.0,3.5
129,52.5,1.4
130,53.3,2.3
131,53.9,2.3
132,54.5,1.2
133,55.1,1.7
134,55.9,2.7
135,56.7,0.9
136,57.2,2.1
137,57.9,1.6
138,58.5,2.1
139,59.2,1.5
140,59.8,1.5
141,60.6,4.7
142,61.2,1.9
143,61.9,2.0
144,62.3,3.9
145,62.8,0.8
146,63.5,1.5
147,64.0,1.7
148,64.4,4.4
149,65.0,3.5
150,65.6,1.3
151,66.0,1.4
152,66.8,1.7
153,67.4,1.6
154,68.1,1.6
155,68.8,1.4
156,69.4,3.2
157,70.3,0.5
158,70.9,2.3
159,71.8,1.2
160,72.3,4.0
161,72.9,3.0
162,73.7,2.4
163,74.5,1.1
164,75.3,3.2
165,75.9,1.5
166,76.5,3.0
167,77.0,2.3
168,77.6,3.0
169,78.1,2.6
170,78.7,3.1
171,79.4,1.5
172,80.1,2.9
173,80.9,1.7
174,81.8,2.9
175,82.4,2.3
176,83.1,4.1
177,83.7,1.8
178,84.3,3.8
179,84.9,4.0
180,85.5,2.4
181,86.3,3.1
182,87.0,3.6
183,87.6,5.1
184,88.1,2.9
185,89.0,1.4
186,89.7,4.2
187,90.2,3.9
188,90.9,3.3
189,91.6,4.0
190,92.4,2.0
191,93.2,1.9
192,93.8,3.7
193,94.5,2.2
194,95.3,4.5
195,96.1,2.5
196,96.6,0.9
197,97.2,3.4
198,97.8,3.9
199,98.7,1.6
200,99.3,2.5
