episode,total_done,total_col,step,steps
0.0,0.0,2.9,300.0,1
1.0,0.1,3.7,285.2,2
2.0,0.3,5.3,284.8,3
3.0,0.6,4.3,273.5,4
4.0,0.6,2.7,300.0,5
5.0,0.8,3.3,275.6,6
6.0,1.0,4.0,272.2,7
7.0,1.1,4.9,289.9,8
8.0,1.2,4.4,288.9,9
9.0,1.5,3.2,274.8,10
10.0,1.7,3.0,277.1,11
11.0,1.8,1.6,274.7,12
12.0,2.0,2.1,280.1,13
13.0,2.3,3.2,269.9,14
14.0,2.4,3.7,297.9,15
15.0,2.5,2.9,287.6,16
16.0,2.7,4.1,288.4,17
17.0,2.7,2.2,300.0,18
18.0,2.8,1.5,287.1,19
19.0,2.9,2.0,287.9,20
20.0,3.1,3.8,291.5,21
21.0,3.5,3.4,247.3,22
22.0,3.7,4.0,284.2,23
23.0,3.9,3.3,278.4,24
24.0,4.1,4.2,272.4,25
25.0,4.4,2.5,281.9,26
26.0,4.6,3.1,273.9,27
27.0,4.6,3.2,300.0,28
28.0,4.9,1.7,245.6,29
29.0,4.9,4.1,300.0,30
30.0,5.1,4.1,283.2,31
31.0,5.6,2.2,256.5,32
32.0,5.8,2.8,278.3,33
33.0,5.9,2.9,290.8,34
34.0,5.9,4.3,300.0,35
35.0,5.9,2.5,300.0,36
36.0,6.2,4.0,254.2,37
37.0,6.4,2.5,285.2,38
38.0,6.6,2.9,266.6,39
39.0,6.7,2.8,286.1,40
40.0,6.7,3.0,300.0,41
41.0,6.8,1.7,289.3,42
42.0,7.0,2.4,278.1,43
43.0,7.0,5.0,300.0,44
44.0,7.1,4.7,287.8,45
45.0,7.2,3.8,291.7,46
46.0,7.5,3.3,275.8,47
47.0,7.5,2.6,300.0,48
48.0,7.5,3.5,300.0,49
49.0,7.9,4.3,275.0,50
50.0,8.1,4.0,277.0,51
51.0,8.2,5.2,279.4,52
52.0,8.6,1.4,267.7,53
53.0,8.7,2.8,294.9,54
54.0,9.0,5.4,266.0,55
55.0,9.4,3.7,261.4,56
56.0,9.7,3.1,258.6,57
57.0,10.0,2.7,271.4,58
58.0,10.3,2.4,266.6,59
59.0,10.7,1.4,246.6,60
60.0,10.7,3.2,300.0,61
61.0,10.9,3.8,285.9,62
62.0,10.9,5.0,300.0,63
63.0,11.0,1.7,280.1,64
64.0,11.1,2.8,286.7,65
65.0,11.2,5.2,281.5,66
66.0,11.5,2.8,250.8,67
67.0,11.6,4.3,291.3,68
68.0,11.8,2.5,275.8,69
69.0,11.9,5.3,290.6,70
70.0,11.9,2.5,300.0,71
71.0,11.9,2.8,300.0,72
72.0,12.0,5.6,290.3,73
73.0,12.0,5.5,300.0,74
74.0,12.3,3.3,267.6,75
75.0,12.6,2.2,255.0,76
76.0,12.8,4.5,271.2,77
77.0,12.9,1.8,299.7,78
78.0,13.0,2.9,281.8,79
79.0,13.3,3.7,270.6,80
80.0,13.3,5.4,300.0,81
81.0,13.3,4.2,300.0,82
82.0,13.6,3.3,279.1,83
83.0,13.6,4.8,300.0,84
84.0,13.9,2.8,271.1,85
85.0,14.1,2.4,276.2,86
86.0,14.2,3.8,299.0,87
87.0,14.5,4.6,252.7,88
88.0,14.6,5.1,293.9,89
89.0,14.7,5.1,293.3,90
90.0,14.8,1.7,276.9,91
91.0,15.3,3.0,225.4,92
92.0,15.6,4.7,294.0,93
93.0,15.8,2.6,273.1,94
94.0,16.0,4.6,283.2,95
95.0,16.3,4.0,278.7,96
96.0,16.4,3.9,279.3,97
97.0,16.5,1.1,295.8,98
98.0,16.9,3.1,262.6,99
99.0,17.0,3.0,299.0,100
100.0,17.1,4.9,278.5,101
101.0,17.4,3.1,270.7,102
102.0,17.7,1.8,264.0,103
103.0,17.9,1.9,287.1,104
104.0,18.2,4.0,243.3,105
105.0,18.3,4.8,295.8,106
106.0,18.7,1.7,270.8,107
107.0,19.0,0.3,287.4,108
108.0,19.2,3.3,281.3,109
109.0,19.4,4.4,287.2,110
110.0,19.5,6.2,298.6,111
111.0,19.6,3.7,294.6,112
112.0,19.7,2.5,277.4,113
113.0,19.8,5.1,280.8,114
114.0,19.8,2.2,300.0,115
115.0,19.9,3.8,278.1,116
116.0,20.0,3.2,293.6,117
117.0,20.3,3.4,262.2,118
118.0,20.5,1.8,269.3,119
119.0,20.8,1.9,272.9,120
120.0,20.9,3.6,300.0,121
121.0,20.9,2.2,300.0,122
122.0,21.0,2.5,297.7,123
123.0,21.1,5.3,294.4,124
124.0,21.3,4.3,280.8,125
125.0,21.5,5.0,290.0,126
126.0,21.5,2.0,300.0,127
127.0,21.8,2.7,268.3,128
128.0,21.9,1.0,298.2,129
129.0,22.1,3.6,287.5,130
130.0,22.3,5.4,281.0,131
131.0,22.6,2.9,261.7,132
132.0,22.8,3.9,272.5,133
133.0,22.8,5.3,300.0,134
134.0,23.0,2.3,284.4,135
135.0,23.1,3.0,283.6,136
136.0,23.1,1.4,300.0,137
137.0,23.2,6.2,286.8,138
138.0,23.3,4.0,292.1,139
139.0,23.4,2.8,285.9,140
140.0,23.6,3.6,276.9,141
141.0,23.7,1.8,299.7,142
142.0,24.0,2.5,281.6,143
143.0,24.2,1.0,290.4,144
144.0,24.5,3.8,265.7,145
145.0,24.6,3.4,299.1,146
146.0,24.7,1.4,294.8,147
147.0,25.0,3.0,266.0,148
148.0,25.0,4.6,300.0,149
149.0,25.3,4.3,265.4,150
150.0,25.4,3.9,287.9,151
151.0,25.6,2.4,287.6,152
152.0,25.7,3.0,276.3,153
153.0,25.8,2.6,282.6,154
154.0,26.1,3.0,282.2,155
155.0,26.2,3.7,285.2,156
156.0,26.3,3.1,298.2,157
157.0,26.4,2.9,299.2,158
158.0,26.9,3.4,263.9,159
159.0,27.0,2.7,295.9,160
160.0,27.2,4.2,275.8,161
161.0,27.4,3.2,266.6,162
162.0,27.5,1.7,278.0,163
163.0,27.7,4.0,290.8,164
164.0,27.9,3.5,284.7,165
165.0,28.1,3.9,273.9,166
166.0,28.1,2.3,300.0,167
167.0,28.4,4.2,270.7,168
168.0,28.4,2.4,300.0,169
169.0,28.5,4.0,280.3,170
170.0,28.6,6.7,285.6,171
171.0,28.6,3.7,300.0,172
172.0,28.9,2.2,261.0,173
173.0,29.1,3.2,286.5,174
174.0,29.4,2.4,276.3,175
175.0,29.7,4.1,281.1,176
176.0,29.8,5.1,287.3,177
177.0,30.2,4.9,226.9,178
178.0,30.3,5.3,290.3,179
179.0,30.7,6.8,255.8,180
180.0,31.0,2.5,265.6,181
181.0,31.1,4.2,291.3,182
182.0,31.2,2.3,297.5,183
183.0,31.4,4.6,282.4,184
184.0,31.6,4.4,291.9,185
185.0,31.8,3.9,281.7,186
186.0,32.1,3.3,258.4,187
187.0,32.2,1.6,278.7,188
188.0,32.5,2.6,270.6,189
189.0,32.6,4.7,285.8,190
190.0,32.8,3.9,279.6,191
191.0,32.8,3.4,300.0,192
192.0,33.2,3.6,253.6,193
193.0,33.4,2.9,266.8,194
194.0,33.5,4.1,299.8,195
195.0,33.5,2.8,300.0,196
196.0,33.8,2.4,276.7,197
197.0,33.8,1.7,300.0,198
198.0,34.2,3.5,257.7,199
199.0,34.4,4.0,277.1,200
