Agent 0,Agent 1
46,43
44,40
47,43
47,44
42,39
48,45
47,44
46,42
47,43
1,1
8,7
7,8
18,15
21,16
18,16
46,39
39,30
46,32
43,36
38,45
34,50
31,57
29,56
29,56
28,53
26,50
26,62
25,64
26,30
29,54
25,58
26,50
26,56
27,50
28,53
28,50
28,61
28,58
28,53
29,60
30,54
31,53
31,49
31,53
31,52
32,52
31,48
31,57
31,55
31,57
30,56
33,45
34,48
31,50
30,42
30,39
29,52
29,53
29,52
29,56
30,51
30,53
29,52
28,53
28,54
28,45
28,56
29,53
30,27
32,48
30,53
31,48
32,49
33,48
34,43
38,31
20,14
17,56
25,56
24,58
23,57
23,58
24,54
25,54
24,50
24,54
24,55
24,51
24,50
25,57
26,48
26,49
25,55
25,55
25,55
24,57
22,61
23,60
24,55
25,55
25,54
25,52
25,54
25,49
25,51
25,55
25,55
25,55
25,52
25,53
25,47
25,46
25,54
25,39
25,47
25,53
24,57
17,1
25,54
25,54
25,55
25,44
25,54
25,56
30,42
24,56
24,23
24,56
24,58
24,57
24,50
24,55
24,54
24,55
25,57
25,56
25,55
25,55
25,55
25,56
25,50
25,55
25,47
25,54
25,53
25,55
25,54
25,56
25,51
25,58
25,55
25,54
25,54
25,52
10,6
24,58
24,60
24,60
24,57
24,58
24,57
24,58
24,53
24,53
24,48
24,59
24,60
24,57
24,58
24,56
24,54
24,55
24,47
24,54
24,55
24,57
24,56
24,53
24,60
24,55
24,54
24,58
24,55
24,56
24,59
24,59
24,57
24,59
24,55
24,58
24,60
24,60
24,56
24,56
24,58
24,54
24,57
24,57
24,54
24,60
24,56
24,54
24,60
24,56
24,58
24,56
24,58
24,57
24,58
24,60
24,56
24,56
24,58
24,58
24,59
24,57
24,55
24,53
24,60
24,57
24,58
24,55
24,58
24,57
24,56
24,59
24,57
24,52
24,58
24,56
24,57
24,56
24,55
24,55
24,58
24,58
24,57
24,58
24,56
24,53
24,57
24,56
24,54
24,57
24,57
24,59
24,60
24,58
24,57
24,52
24,55
24,54
24,56
24,57
24,58
24,59
24,57
24,58
24,58
24,55
24,58
24,45
24,59
24,43
24,41
24,54
24,54
24,60
24,52
24,55
14,3
20,16
21,19
27,24
28,25
36,31
36,31
36,31
35,30
37,32
36,31
35,31
37,32
32,28
37,32
34,29
37,32
37,32
35,30
37,32
37,32
36,32
34,29
36,31
34,30
37,32
36,31
37,32
36,31
35,30
37,32
32,28
37,33
36,31
32,27
37,32
35,30
35,30
36,31
37,33
36,32
37,32
35,30
36,31
37,33
37,32
37,32
37,32
37,32
37,32
37,32
37,32
37,32
37,32
36,31
36,31
37,32
36,32
37,32
35,30
35,31
34,28
35,30
36,32
35,31
37,32
37,33
38,33
37,32
37,33
37,32
37,32
37,32
37,32
37,32
36,32
37,32
37,32
38,33
37,32
37,33
35,30
37,32
38,33
36,32
37,33
37,32
35,30
36,31
37,32
36,31
37,32
37,32
35,31
37,32
36,32
37,32
37,33
37,32
37,32
36,31
35,31
36,31
37,32
37,32
37,33
37,32
37,32
36,31
37,32
8,5
37,31
36,30
36,30
34,31
34,30
29,25
33,29
25,21
31,27
33,29
33,29
34,30
31,28
32,28
32,28
34,30
35,31
34,31
34,30
35,31
34,31
34,31
33,29
34,30
33,29
33,29
31,27
34,30
33,29
33,30
34,30
33,30
32,28
32,29
33,29
34,30
33,29
33,29
35,31
33,29
33,30
35,31
34,30
34,30
35,31
34,30
33,30
35,31
35,31
33,30
34,31
34,30
35,31
34,30
34,31
33,30
34,30
33,29
34,31
34,31
25,22
34,30
34,30
35,31
34,30
35,31
35,31
34,30
35,31
34,30
35,32
32,28
33,29
35,31
35,32
35,31
12,8
34,30
34,30
34,30
35,31
32,29
35,32
33,29
35,31
33,29
33,29
35,31
33,29
33,29
33,29
27,24
34,30
35,31
31,28
35,31
32,28
33,30
35,31
32,28
31,27
32,29
34,30
34,30
31,27
31,28
34,31
35,31
34,30
34,30
33,29
33,29
34,31
32,28
34,31
34,31
33,29
34,30
35,31
