Agent 0,Agent 1
11,15
17,16
20,44
16,28
32,31
33,30
50,44
34,43
49,26
40,27
28,42
42,24
38,39
47,33
32,33
41,29
61,11
35,28
51,48
45,37
31,29
49,24
41,32
41,38
32,43
63,35
42,37
34,41
35,39
40,24
45,33
44,52
40,43
36,40
38,71
34,34
40,52
42,51
31,47
43,42
40,44
57,48
25,45
48,43
42,59
48,28
36,58
33,49
48,49
55,54
47,49
50,47
31,40
50,37
42,47
70,20
33,36
62,28
44,46
37,64
60,25
19,309
13,31
15,13
25,43
26,54
51,50
39,32
46,44
11,104
11,69
37,49
36,34
60,32
46,37
42,39
41,34
52,50
47,41
34,30
37,50
44,34
42,39
54,33
54,33
40,33
24,41
45,45
54,50
32,57
44,46
48,43
55,45
39,35
34,41
48,44
42,49
44,41
46,27
40,24
42,36
63,50
43,34
33,34
60,46
31,48
45,29
41,29
46,42
46,47
34,40
26,42
50,31
35,37
50,19
38,32
39,40
31,27
51,44
48,37
49,44
48,32
59,46
46,55
53,43
46,42
32,34
33,46
43,49
49,37
53,35
37,50
44,37
34,27
46,43
49,30
58,31
29,59
29,35
32,33
44,56
44,41
33,46
50,62
43,34
39,43
57,49
29,35
41,21
34,42
43,42
61,45
35,49
52,45
60,52
48,28
22,35
69,40
36,39
29,27
41,37
39,38
29,42
34,48
40,27
49,43
46,36
39,39
38,46
55,41
47,29
42,31
45,49
43,40
57,76
40,39
33,66
32,58
46,34
46,31
50,36
34,41
31,47
43,32
34,41
27,38
44,31
40,34
42,41
29,29
35,41
35,52
39,38
50,29
31,33
43,36
31,28
31,51
53,53
40,34
38,31
33,36
59,24
46,48
39,32
37,30
29,40
36,46
59,68
64,42
42,34
32,25
34,56
26,38
68,31
31,37
23,36
46,30
50,52
38,36
35,34
54,35
48,19
26,34
35,20
40,28
44,53
41,30
42,41
64,31
50,66
41,45
44,38
50,48
60,45
29,38
35,39
40,31
47,56
39,27
41,25
32,33
54,45
33,41
35,45
32,36
35,53
31,56
47,29
33,36
27,26
46,37
37,32
31,26
40,33
37,35
50,47
54,23
36,55
43,55
35,43
50,56
62,33
49,37
57,59
48,52
49,35
42,35
13,74
47,47
34,57
35,43
47,37
22,39
27,45
40,45
52,33
41,43
41,50
36,23
28,43
46,20
39,52
39,39
54,35
57,39
52,27
43,45
33,40
38,29
43,39
63,35
33,42
45,27
34,37
59,39
28,43
28,38
59,45
39,34
46,41
38,34
27,41
33,45
52,42
30,35
23,39
21,28
34,33
55,28
39,42
51,43
58,46
47,34
33,39
39,52
32,57
46,35
37,23
39,60
24,41
41,51
38,21
63,31
44,40
48,46
33,54
33,37
37,41
68,29
57,28
37,39
39,36
32,43
19,33
