Agent 0,Agent 1
13,9
7,4
11,11
12,11
10,15
7,10
8,11
11,14
13,6
7,6
7,7
6,5
7,0
8,5
9,1
10,2
8,6
16,6
11,9
13,7
15,8
14,10
15,6
13,9
11,5
14,6
9,2
9,3
12,11
10,3
14,12
0,2
5,6
2,7
10,5
9,5
7,7
0,5
5,13
6,10
7,13
10,3
11,9
9,16
9,9
14,6
14,16
12,14
12,21
17,15
11,12
11,15
16,4
9,3
11,14
18,10
15,8
12,11
10,7
13,8
15,12
22,14
12,8
10,0
7,11
11,6
5,7
11,13
15,15
14,10
16,18
19,8
12,8
15,10
18,12
15,11
18,13
14,11
21,10
13,11
12,19
15,19
16,21
11,12
12,20
3,9
0,26
0,13
0,93
0,95
1,98
0,84
11,7
1,0
0,0
1,0
1,0
0,0
0,99
1,0
0,94
1,0
2,0
2,0
2,0
2,0
2,0
1,3
0,3
0,3
3,4
0,2
1,3
2,87
3,61
4,29
5,24
4,12
4,13
5,11
4,10
4,10
4,11
4,12
5,16
5,23
4,14
4,12
4,11
5,11
5,13
5,16
5,25
8,13
9,12
10,13
16,10
14,12
12,7
14,11
14,9
13,7
6,15
8,16
17,9
37,13
3,9
7,14
0,3
9,14
7,14
0,3
3,15
6,17
10,14
9,14
9,12
9,19
10,12
10,11
9,17
13,13
16,10
10,19
12,14
15,13
23,15
18,11
2,18
21,10
16,19
17,9
13,9
3,12
5,18
7,8
4,6
4,10
2,6
3,7
4,10
0,3
5,9
0,3
5,5
4,8
4,10
5,10
3,10
9,8
10,8
8,11
13,5
11,10
2,3
5,6
14,9
14,19
9,15
16,10
13,13
6,13
10,12
8,10
11,9
19,9
8,8
0,4
5,14
6,15
8,13
16,15
7,7
9,7
12,11
11,10
7,6
7,8
7,4
10,8
8,7
8,6
4,5
6,7
10,8
9,13
15,8
6,16
8,8
7,9
10,9
7,4
8,5
11,9
15,8
13,9
17,10
12,17
10,5
11,16
10,9
9,13
14,10
8,17
14,16
10,12
13,20
12,28
11,9
14,9
14,9
16,9
8,11
7,24
15,10
13,10
10,12
7,12
9,10
12,11
11,14
11,13
20,12
16,12
9,13
15,16
0,0
12,12
15,12
6,16
20,14
15,9
1,15
15,15
15,17
13,14
14,18
18,14
5,15
0,0
4,3
6,12
4,3
10,18
9,18
16,15
15,14
13,13
11,10
6,11
11,13
14,14
0,0
5,17
11,14
8,13
17,17
8,17
11,13
4,12
11,12
16,12
11,9
8,14
9,14
12,14
0,2
10,17
13,20
12,17
18,8
18,10
12,12
11,13
14,11
10,3
12,14
20,12
17,13
15,20
13,19
26,14
20,12
21,12
21,14
19,14
9,20
0,4
0,5
22,15
20,19
21,19
8,16
9,12
8,14
6,1
9,0
6,14
6,14
7,12
14,10
13,13
11,12
15,9
11,14
11,20
11,9
0,9
0,8
0,7
1,6
0,0
0,8
1,11
0,0
17,14
15,17
22,18
0,0
0,0
0,0
0,0
0,2
11,22
0,9
0,7
5,5
2,8
11,10
7,9
14,13
9,5
12,7
0,5
7,10
8,8
10,7
10,6
1,8
3,7
2,9
8,7
0,0
2,6
0,0
10,13
0,0
8,11
0,3
3,9
10,7
9,11
11,8
2,9
8,14
12,10
1,7
2,10
6,3
5,12
13,10
8,9
11,9
6,2
10,8
9,4
9,7
14,10
10,13
13,10
6,9
8,11
3,11
9,13
9,11
10,10
8,13
9,14
12,6
9,12
17,10
14,12
11,9
8,13
10,12
14,13
13,10
20,12
17,15
13,17
12,15
15,16
12,13
16,18
14,21
17,18
4,3
15,17
16,20
19,28
17,18
18,15
19,19
20,15
7,17
21,21
22,22
15,22
15,7
14,7
10,7
13,9
11,9
11,8
17,18
0,0
17,22
19,21
15,21
20,21
19,15
17,12
10,5
15,14
19,8
14,17
20,13
13,15
15,17
16,16
14,14
15,14
12,14
13,14
11,4
7,12
16,7
5,13
7,13
16,9
13,13
13,10
7,19
12,17
15,13
20,16
15,22
16,8
13,8
18,12
15,12
14,18
13,12
16,19
12,18
15,26
16,20
15,21
17,26
15,23
21,29
18,25
17,25
18,26
27,19
23,29
22,12
5,15
17,22
22,15
15,23
15,21
14,19
2,2
4,3
0,0
13,20
20,14
4,1
18,14
19,13
15,14
18,22
13,10
13,13
14,8
16,14
13,7
15,14
18,20
14,10
18,13
12,8
15,10
0,0
10,7
11,7
12,13
0,0
10,9
14,8
15,10
13,7
16,8
16,6
11,6
15,13
12,7
0,0
12,7
14,6
15,13
19,13
15,9
12,14
17,14
16,12
7,0
11,4
16,4
12,3
0,0
8,10
18,14
6,14
7,13
7,14
18,7
13,9
14,7
8,5
15,13
13,20
15,19
15,12
16,13
8,14
8,13
11,14
15,6
9,8
0,0
13,9
15,12
20,13
17,10
17,14
17,12
17,13
13,9
15,8
13,10
14,10
13,12
15,15
12,9
15,12
16,13
0,0
17,14
0,0
14,14
17,9
1,7
7,11
10,10
11,11
3,11
0,0
6,12
5,10
8,14
0,4
11,14
9,9
7,8
8,6
11,7
10,8
12,8
9,12
11,10
10,6
10,7
13,9
2,7
9,5
8,8
17,4
13,9
10,5
8,15
14,11
1,0
15,17
1,0
18,12
3,1
3,2
3,2
2,1
6,1
7,15
10,6
14,9
12,7
12,8
12,5
14,7
11,13
10,16
15,16
8,11
6,6
14,8
2,0
2,0
11,4
11,6
9,11
15,6
9,14
13,10
10,5
11,7
3,4
0,9
0,0
14,15
1,11
0,10
6,12
6,9
9,12
11,15
0,6
8,4
15,7
12,11
0,0
0,0
0,0
6,15
0,0
0,0
0,0
0,0
1,0
1,0
7,5
10,12
1,0
7,0
8,13
12,3
0,0
6,0
12,6
7,9
16,13
0,0
7,13
0,0
0,0
0,0
1,0
1,0
2,0
10,15
11,9
14,9
14,14
9,2
14,16
14,10
12,13
12,9
7,12
10,14
12,12
12,13
7,16
4,12
8,7
0,10
10,14
7,13
10,10
0,0
12,13
12,11
1,7
6,14
6,9
9,10
12,13
0,7
8,9
11,11
9,12
8,8
0,0
4,3
0,0
8,5
4,3
4,7
0,0
4,6
4,4
0,0
7,6
3,0
7,8
10,8
12,9
6,6
7,4
11,7
9,11
9,10
7,6
10,7
10,9
11,8
7,4
9,9
7,8
7,6
9,4
6,6
6,8
7,4
7,9
8,4
0,1
10,4
0,0
5,2
5,16
3,9
3,8
6,7
4,9
17,9
4,15
7,8
4,0
8,9
5,2
5,11
7,8
9,9
6,2
11,5
11,18
11,8
8,14
11,9
11,10
8,6
0,0
13,9
7,10
10,8
18,12
2,11
2,0
8,7
9,12
3,7
2,7
6,8
10,15
6,12
5,14
0,0
2,7
2,7
0,7
6,7
4,0
8,7
3,0
6,9
8,11
8,12
2,11
11,6
0,0
8,7
15,10
6,10
13,9
6,11
7,7
3,18
7,8
12,8
6,14
2,1
6,9
5,17
13,8
2,3
3,2
0,0
2,3
1,4
1,4
4,5
6,9
0,12
2,8
6,8
4,6
0,16
5,20
12,9
0,0
4,8
10,10
2,7
0,0
5,8
11,8
4,12
11,16
5,5
7,10
4,4
6,14
4,8
6,10
6,9
9,10
10,16
4,10
1,19
6,6
6,0
0,0
8,10
6,7
0,0
4,5
4,6
8,9
7,9
10,9
8,4
3,2
5,5
4,6
5,3
4,4
4,10
3,17
3,8
4,11
4,10
5,7
8,13
7,14
9,8
7,11
5,7
9,10
8,9
8,11
7,14
8,10
18,13
0,0
13,2
17,8
7,11
24,5
21,5
0,0
0,1
10,4
24,4
22,4
1,0
1,0
1,0
7,2
11,5
7,7
18,4
17,5
16,4
15,5
1,0
19,6
15,5
16,6
13,5
16,5
14,6
19,7
13,7
13,8
15,8
1,0
1,0
17,11
2,9
21,8
11,17
0,0
6,18
1,0
12,12
17,10
13,12
13,9
1,0
14,11
13,8
13,11
17,5
13,2
11,7
13,4
10,7
0,0
13,9
13,6
0,5
19,7
15,9
8,8
16,3
1,6
18,16
21,13
11,20
0,0
6,10
14,15
13,3
11,6
13,11
11,11
14,3
12,5
20,11
0,6
3,11
17,8
8,5
7,10
8,13
0,4
9,12
13,13
1,5
14,11
