Agent 0,Agent 1
0,0
0,0
0,0
499,499
0,43
1,498
500,500
0,0
0,1
499,501
0,500
500,499
0,0
96,97
0,0
0,0
0,500
0,0
0,3
0,0
1,0
0,0
0,0
0,0
12,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,15
0,0
1,0
0,0
0,0
0,0
99,114
0,0
349,135
500,384
0,0
0,0
0,0
1,0
218,8
0,0
1,45
0,0
0,0
0,0
0,0
0,430
500,0
0,0
0,0
0,0
1,0
0,0
0,0
500,0
0,0
414,0
0,0
1,497
0,0
0,0
0,0
10,2
88,55
292,298
496,496
497,497
498,498
497,497
491,490
497,497
500,0
472,472
0,0
0,0
0,0
0,0
0,500
0,0
499,499
498,499
0,0
0,30
498,497
0,0
0,0
0,0
0,0
0,0
0,499
499,6
0,0
0,0
0,0
0,0
497,34
0,0
0,19
276,492
500,500
0,1
0,0
0,499
0,0
0,0
0,0
0,12
489,24
0,0
0,0
467,483
499,0
499,499
66,0
0,0
409,410
0,0
0,0
0,0
0,93
353,4
0,0
0,3
0,0
0,249
0,0
483,1
270,269
0,0
0,0
0,0
0,135
469,469
0,0
0,0
313,0
0,0
0,0
0,8
0,0
0,0
0,102
0,276
0,0
0,0
499,0
456,0
0,0
0,0
0,0
0,44
0,0
0,0
0,0
10,8
106,40
0,483
487,3
472,0
0,11
0,0
0,9
0,12
0,1
0,6
0,0
0,16
0,0
500,0
0,0
439,265
0,0
45,468
0,499
0,499
500,0
239,275
188,321
0,498
0,493
155,348
335,488
0,402
165,440
0,19
440,434
0,0
301,499
0,1
0,0
0,138
82,500
0,500
0,227
0,0
417,499
500,490
483,482
500,499
496,499
0,0
0,2
77,225
443,151
139,2
0,0
0,1
0,2
490,2
0,0
0,23
0,0
500,9
499,101
46,125
0,0
0,331
0,0
0,0
0,34
0,0
484,499
499,500
0,0
0,0
500,0
0,0
0,0
0,499
500,0
0,0
0,0
0,500
444,0
500,0
0,499
474,11
0,1
187,18
332,1
500,0
499,0
440,0
499,0
116,1
471,26
471,0
43,79
499,0
500,0
0,496
472,497
8,0
0,0
17,0
491,413
494,496
0,499
496,491
476,491
0,499
1,0
494,469
499,0
478,497
483,500
3,0
490,490
499,0
472,479
1,0
1,0
1,0
499,0
0,0
499,0
0,0
0,0
494,495
499,499
0,498
500,0
500,0
0,0
20,0
0,500
0,499
0,0
499,0
0,0
499,500
499,0
494,0
0,0
467,468
498,476
0,0
449,449
500,499
500,0
0,0
365,499
0,0
11,1
0,14
242,14
499,0
0,78
0,499
0,499
499,0
0,499
0,153
0,0
0,3
500,0
0,0
0,0
0,416
0,8
0,0
0,0
0,0
499,0
298,0
0,0
0,0
36,30
0,0
0,0
0,0
375,0
0,0
1,0
0,0
403,0
0,1
0,59
0,13
0,231
0,227
0,297
0,249
0,244
255,0
0,1
394,10
0,1
66,48
0,494
0,0
12,0
6,495
487,0
17,0
0,405
228,272
0,500
0,0
0,0
0,489
0,466
0,396
0,0
0,444
0,463
0,500
0,0
365,0
497,0
499,0
42,0
56,438
1,483
17,477
499,0
0,0
0,498
0,498
0,323
16,465
0,498
0,0
149,352
0,498
0,287
21,0
121,497
498,0
0,0
256,499
500,499
0,0
499,498
483,487
498,499
0,500
0,0
499,490
0,0
500,0
497,498
498,498
430,430
498,498
460,460
497,498
499,499
498,499
497,498
498,498
430,430
498,498
460,460
497,498
499,499
498,499
498,494
497,498
498,499
492,493
500,499
500,500
497,496
496,497
498,499
497,474
498,499
498,498
491,491
499,498
499,499
499,498
498,498
498,498
499,499
499,499
498,498
499,499
500,498
497,499
465,492
497,498
498,497
497,498
497,497
498,499
496,496
495,496
496,496
495,497
499,499
500,500
497,498
496,498
497,498
499,499
499,499
498,497
498,499
497,498
500,500
499,500
497,499
498,498
497,498
497,499
0,0
497,497
499,500
495,497
499,498
497,497
498,498
498,497
497,497
496,498
498,498
499,497
491,492
498,499
497,498
497,498
499,499
499,499
490,499
495,497
499,498
497,497
498,498
498,497
497,497
497,497
