episode,total_done,total_col,step
0,0,0,500
1,0,2,500
2,1,3,218
3,2,3,242
4,2,5,500
5,2,7,500
6,2,0,500
7,3,0,26
8,4,2,345
9,5,7,156
10,5,2,500
11,6,7,88
12,6,0,500
13,7,1,118
14,7,3,500
15,7,9,500
16,8,4,110
17,8,0,500
18,8,13,500
19,9,0,88
20,9,0,500
21,10,0,452
22,11,2,97
23,12,3,266
24,13,1,120
25,14,3,77
26,14,0,500
27,15,2,85
28,15,24,500
29,16,1,64
30,16,0,500
31,16,7,500
32,17,1,197
33,17,2,500
34,18,4,81
35,18,1,500
36,19,2,36
37,20,4,94
38,21,2,164
39,22,2,107
40,23,4,42
41,23,0,500
42,24,0,107
43,25,1,134
44,25,6,500
45,25,0,500
46,26,0,143
47,27,6,87
48,28,2,278
49,29,3,69
50,29,2,500
51,30,0,70
52,31,3,181
53,32,1,89
54,33,1,194
55,34,0,95
56,35,0,31
57,36,0,53
58,36,5,500
59,37,2,99
60,37,21,500
61,38,1,22
62,39,1,66
63,39,25,500
64,39,33,500
65,40,2,169
66,40,20,500
67,40,21,500
68,40,0,500
69,41,3,27
70,42,0,225
71,43,4,42
72,44,2,385
73,44,13,500
74,45,2,110
75,46,2,140
76,47,1,64
77,48,1,65
78,49,0,13
79,50,0,36
80,51,2,83
81,51,27,500
82,52,0,171
83,53,4,215
84,54,0,30
85,55,8,265
86,56,1,29
87,57,3,101
88,58,2,101
89,59,21,488
90,59,0,500
91,60,5,107
92,61,7,61
93,61,9,500
94,62,0,45
95,63,0,436
96,64,0,114
97,65,4,98
98,66,0,33
99,67,1,55
100,68,3,127
101,69,2,43
102,70,1,17
103,71,1,415
104,72,4,87
105,73,1,30
106,74,0,16
107,75,0,29
108,76,18,195
109,77,11,43
110,78,1,357
111,79,0,28
112,80,0,399
113,81,1,43
114,82,2,123
115,83,2,187
116,84,1,72
117,85,0,68
118,86,0,102
119,87,0,198
120,88,1,43
121,89,0,16
122,90,1,33
123,91,0,14
124,92,2,52
125,93,1,10
126,94,2,82
127,95,0,83
128,96,0,87
129,97,5,57
130,98,0,339
131,99,0,139
132,100,2,432
133,100,5,500
134,101,2,300
135,102,1,111
136,103,0,101
137,104,1,38
138,105,0,218
139,106,1,222
140,107,0,180
141,108,2,86
142,109,0,35
143,110,2,351
144,111,0,60
145,112,0,15
146,113,0,141
147,114,3,233
148,114,0,500
149,115,0,97
150,116,0,15
151,117,0,151
152,118,1,281
153,119,0,41
154,120,0,85
155,121,1,233
156,122,2,52
157,123,0,81
158,124,1,336
159,125,0,37
160,126,0,17
161,127,0,25
162,128,0,12
163,129,0,97
164,130,0,55
165,131,0,111
166,132,2,36
167,133,0,268
168,134,0,105
169,135,0,20
170,136,1,8
171,136,0,500
172,137,6,178
173,137,3,500
174,138,0,318
175,139,1,224
176,139,0,500
177,140,0,270
178,141,0,24
179,142,0,255
180,142,0,500
181,143,0,114
182,144,0,15
183,145,2,136
184,145,1,500
185,145,0,500
186,145,0,500
187,145,4,500
188,145,2,500
189,146,0,22
190,147,1,64
191,148,0,343
192,149,0,9
193,150,0,26
194,151,0,43
195,152,1,217
196,152,1,500
197,153,0,21
198,154,0,78
199,155,0,68
