episode,total_done,total_col,step
0,1,2,444
1,1,0,500
2,2,2,43
3,2,10,500
4,2,0,500
5,3,4,309
6,3,2,500
7,4,5,385
8,4,2,500
9,4,0,500
10,5,1,371
11,5,2,500
12,6,7,60
13,7,4,136
14,8,6,427
15,9,1,239
16,10,0,130
17,11,2,97
18,11,3,500
19,11,1,500
20,12,4,64
21,12,4,500
22,13,5,251
23,14,2,325
24,14,11,500
25,14,2,500
26,15,14,159
27,16,11,284
28,16,1,500
29,16,3,500
30,16,1,500
31,17,0,357
32,17,0,500
33,18,12,244
34,19,1,26
35,19,8,500
36,20,0,36
37,21,2,115
38,22,0,460
39,22,1,500
40,23,4,162
41,24,2,205
42,25,9,212
43,26,7,161
44,26,5,500
45,27,10,350
46,27,5,500
47,27,9,500
48,28,4,181
49,29,2,134
50,29,3,500
51,29,4,500
52,29,4,500
53,30,2,50
54,31,1,183
55,31,0,500
56,31,0,500
57,32,3,435
58,32,0,500
59,32,10,500
60,33,2,60
61,33,15,500
62,33,0,500
63,34,0,150
64,34,0,500
65,34,4,500
66,34,1,500
67,35,5,201
68,36,0,182
69,37,2,140
70,38,1,133
71,38,0,500
72,39,2,419
73,40,7,355
74,41,3,239
75,42,1,136
76,42,7,500
77,43,2,243
78,43,0,500
79,43,5,500
80,44,4,53
81,44,2,500
82,44,0,500
83,45,2,159
84,46,3,55
85,47,0,110
86,48,7,139
87,49,1,44
88,50,3,457
89,50,16,500
90,50,9,500
91,51,0,398
92,52,1,468
93,53,1,132
94,53,29,500
95,54,4,236
96,54,2,500
97,55,2,335
98,55,0,500
99,56,0,123
100,57,1,478
101,57,6,500
102,57,0,500
103,58,3,379
104,58,15,500
105,59,10,327
106,59,9,500
107,60,5,138
108,60,0,500
109,60,3,500
110,60,15,500
111,61,5,307
112,61,10,500
113,62,1,68
114,63,2,88
115,64,12,145
116,64,5,500
117,64,5,500
118,64,0,500
119,65,5,229
120,66,3,323
121,66,4,500
122,66,1,500
123,67,1,81
124,67,3,500
125,68,1,464
126,69,3,234
127,70,3,203
128,71,7,112
129,72,0,27
130,73,1,214
131,74,4,354
132,75,0,56
133,76,2,204
134,76,10,500
135,76,1,500
136,76,2,500
137,77,18,239
138,77,1,500
139,77,1,500
140,77,2,500
141,77,13,500
142,77,20,500
143,78,5,399
144,78,10,500
145,79,5,192
146,80,2,129
147,80,0,500
148,81,0,51
149,82,5,458
150,83,9,96
151,83,0,500
152,83,2,500
153,83,11,500
154,84,3,482
155,84,3,500
156,85,7,471
157,86,1,77
158,86,5,500
159,86,0,500
160,86,2,500
161,86,1,500
162,86,8,500
163,86,1,500
164,86,3,500
165,87,0,364
166,87,6,500
167,87,10,500
168,88,8,188
169,88,4,500
170,88,10,500
171,88,4,500
172,88,4,500
173,89,3,146
174,89,9,500
175,90,9,164
176,90,9,500
177,90,3,500
178,90,0,500
179,91,5,121
180,91,0,500
181,91,9,500
182,91,2,500
183,92,2,166
184,93,5,280
185,93,0,500
186,93,3,500
187,94,0,131
188,95,4,253
189,95,3,500
190,95,12,500
191,96,1,86
192,96,5,500
193,96,2,500
194,96,1,500
195,96,11,500
196,97,4,115
197,98,2,147
198,99,1,44
199,100,0,194
