episode,total_done,total_col,step
0,1,0,158
1,1,2,300
2,2,1,231
3,3,4,255
4,3,3,300
5,3,1,300
6,3,0,300
7,3,0,300
8,3,0,300
9,3,0,300
10,3,1,300
11,3,5,300
12,3,0,300
13,3,0,300
14,3,6,300
15,4,2,258
16,4,1,300
17,4,1,300
18,4,0,300
19,4,0,300
20,4,3,300
21,4,1,300
22,5,5,62
23,5,2,300
24,5,1,300
25,5,0,300
26,5,0,300
27,5,6,300
28,5,2,300
29,5,2,300
30,5,3,300
31,5,1,300
32,6,10,240
33,6,0,300
34,6,4,300
35,7,6,145
36,8,4,260
37,9,8,237
38,10,0,229
39,10,1,300
40,10,7,300
41,10,0,300
42,10,8,300
43,11,4,192
44,11,0,300
45,12,2,120
46,12,1,300
47,13,2,88
48,14,0,241
49,14,6,300
50,15,2,254
51,15,0,300
52,15,1,300
53,15,4,300
54,16,1,46
55,16,10,300
56,17,3,55
57,17,0,300
58,17,0,300
59,17,4,300
60,17,0,300
61,17,1,300
62,17,0,300
63,18,0,89
64,18,0,300
65,18,0,300
66,18,0,300
67,18,0,300
68,18,2,300
69,18,2,300
70,19,0,48
71,19,1,300
72,20,0,298
73,20,2,300
74,20,3,300
75,21,0,101
76,22,10,148
77,23,1,67
78,24,2,239
79,25,0,88
80,25,0,300
81,26,6,53
82,26,2,300
83,27,1,210
84,28,3,187
85,28,4,300
86,28,1,300
87,29,7,237
88,29,6,300
89,30,1,207
90,30,3,300
91,30,14,300
92,30,5,300
93,30,8,300
94,30,3,300
95,31,2,53
96,31,3,300
97,31,6,300
98,32,1,82
99,32,0,300
100,32,3,300
101,32,0,300
102,33,0,193
103,34,4,235
104,35,2,170
105,35,3,300
106,35,4,300
107,35,0,300
108,35,0,300
109,35,8,300
110,35,0,300
111,35,0,300
112,35,3,300
113,35,10,300
114,36,1,83
115,36,1,300
116,36,7,300
117,36,3,300
118,37,1,190
119,37,1,300
120,38,5,185
121,38,5,300
122,39,0,128
123,40,0,70
124,40,1,300
125,40,0,300
126,41,5,144
127,41,0,300
128,42,0,164
129,43,5,259
130,43,12,300
131,44,4,59
132,44,9,300
133,44,3,300
134,45,0,100
135,45,4,300
136,46,8,102
137,46,10,300
138,47,0,69
139,47,4,300
140,47,0,300
141,48,4,146
142,49,3,244
143,49,0,300
144,50,0,78
145,50,0,300
146,50,7,300
147,51,7,166
148,51,0,300
149,51,4,300
150,51,0,300
151,51,5,300
152,51,0,300
153,52,0,210
154,52,1,300
155,52,0,300
156,52,1,300
157,53,12,257
158,53,4,300
159,54,4,119
160,54,4,300
161,54,2,300
162,55,3,176
163,55,1,300
164,55,1,300
165,55,1,300
166,55,0,300
167,55,2,300
168,56,4,154
169,56,3,300
170,56,4,300
171,57,1,114
172,58,8,151
173,58,2,300
174,58,3,300
175,58,6,300
176,59,0,134
177,59,0,300
178,59,3,300
179,60,3,178
180,60,3,300
181,60,0,300
182,60,0,300
183,60,1,300
184,60,0,300
185,60,0,300
186,60,0,300
187,60,1,300
188,60,11,300
189,61,0,233
190,61,0,300
191,61,0,300
192,62,4,228
193,62,12,300
194,63,0,272
195,63,8,300
196,64,0,145
197,65,0,91
198,66,2,278
199,67,6,250
