episode,total_done,total_col,step
0,0,0,300
1,0,1,300
2,0,2,300
3,0,0,300
4,0,3,300
5,0,0,300
6,0,0,300
7,0,1,300
8,0,0,300
9,0,4,300
10,0,6,300
11,0,4,300
12,0,0,300
13,0,0,300
14,0,0,300
15,0,0,300
16,0,1,300
17,0,0,300
18,0,2,300
19,0,3,300
20,0,5,300
21,0,5,300
22,0,3,300
23,0,0,300
24,0,1,300
25,0,1,300
26,0,1,300
27,0,6,300
28,0,10,300
29,0,18,300
30,0,3,300
31,0,7,300
32,0,2,300
33,0,5,300
34,0,10,300
35,0,7,300
36,0,5,300
37,0,2,300
38,0,1,300
39,0,1,300
40,0,7,300
41,1,0,267
42,1,6,300
43,1,4,300
44,1,4,300
45,2,2,191
46,2,0,300
47,3,2,300
48,3,1,300
49,4,1,232
50,4,5,300
51,4,8,300
52,5,2,270
53,5,0,300
54,5,5,300
55,5,3,300
56,6,0,281
57,7,0,242
58,8,3,175
59,8,23,300
60,8,0,300
61,8,5,300
62,9,0,148
63,10,0,158
64,11,0,141
65,11,0,300
66,12,6,271
67,13,0,190
68,14,2,266
69,15,0,144
70,16,7,182
71,17,3,214
72,18,0,219
73,19,0,149
74,20,0,237
75,21,8,121
76,22,0,181
77,23,14,152
78,24,2,262
79,25,13,236
80,26,0,188
81,27,0,143
82,28,0,103
83,29,10,203
84,30,1,94
85,31,0,197
86,32,1,195
87,33,0,117
88,34,0,181
89,35,13,197
90,36,5,104
91,37,6,266
92,38,17,152
93,39,1,142
94,40,1,70
95,41,0,54
96,42,10,149
97,43,0,78
98,44,1,108
99,45,0,66
100,46,3,109
101,47,6,124
102,48,0,110
103,49,5,117
104,50,0,163
105,51,1,102
106,52,20,105
107,53,0,85
108,54,1,87
109,55,20,164
110,56,0,65
111,57,36,258
112,58,4,159
113,59,0,92
114,60,3,119
115,61,0,59
116,62,0,89
117,63,4,88
118,64,4,188
119,65,1,94
120,66,4,174
121,67,0,74
122,68,0,63
123,69,3,59
124,70,0,95
125,71,0,64
126,72,4,76
127,73,14,94
128,74,0,124
129,75,20,115
130,76,0,89
131,77,2,55
132,78,18,188
133,79,0,95
134,80,11,102
135,81,1,75
136,82,5,58
137,83,0,105
138,84,2,102
139,85,6,55
140,86,2,109
141,87,0,53
142,88,8,144
143,89,0,51
144,90,2,90
145,91,7,120
146,92,21,150
147,93,13,141
148,94,14,107
149,95,0,37
150,96,15,133
151,97,0,55
152,98,0,41
153,99,3,50
154,100,0,47
155,101,21,187
156,102,2,83
157,103,43,164
158,104,6,64
159,105,0,44
160,106,9,68
161,107,12,99
162,108,10,72
163,109,12,71
164,110,4,74
165,111,0,74
166,112,0,36
167,113,13,133
168,114,0,59
169,115,24,141
170,116,3,93
171,117,0,68
172,118,2,50
173,119,1,64
174,120,22,103
175,121,22,91
176,122,2,51
177,123,0,97
178,124,2,85
179,125,1,61
180,126,0,48
181,127,0,161
182,128,2,124
183,129,20,93
184,130,0,128
185,131,0,49
186,132,1,55
187,133,6,93
188,134,14,78
189,135,15,59
190,136,0,39
191,137,0,55
192,138,0,38
193,139,10,125
194,140,10,98
195,141,0,45
196,142,1,56
197,143,0,53
198,144,0,50
199,145,17,78
200,146,17,72
201,147,17,88
202,148,8,92
203,149,0,46
204,150,3,81
205,151,1,69
206,152,1,108
207,153,0,84
208,154,0,100
209,155,9,60
210,156,0,116
211,157,0,95
212,158,2,54
213,159,0,57
214,160,0,31
215,161,33,176
216,162,0,66
217,163,0,31
218,163,0,300
219,164,0,71
220,165,0,58
221,166,0,76
222,167,0,68
223,168,0,117
224,169,0,104
225,170,5,121
226,171,0,59
227,172,0,45
228,173,0,109
229,174,3,277
230,175,3,91
231,176,0,151
232,176,5,300
233,177,4,243
234,178,0,123
235,179,0,183
236,180,0,79
237,181,0,143
238,182,3,94
239,183,0,222
240,184,0,194
241,185,4,84
242,186,1,160
243,186,0,300
244,187,0,134
245,188,0,274
246,189,0,83
247,190,0,83
248,191,0,53
249,191,0,300
250,192,0,45
251,192,0,300
252,193,0,98
253,193,0,300
254,194,12,169
255,195,0,181
256,196,0,261
257,196,0,300
258,197,0,134
259,197,1,300
260,197,0,300
261,198,0,89
262,199,3,123
263,199,0,300
264,200,0,298
265,201,0,59
266,201,0,300
267,201,0,300
268,202,1,71
269,203,0,156
270,204,0,264
271,205,0,141
272,206,1,122
273,207,0,136
274,208,0,134
275,208,0,300
276,208,0,300
277,208,0,300
278,208,0,300
279,208,0,300
280,208,0,300
281,208,0,300
282,208,0,300
283,208,14,300
284,208,0,300
285,208,14,300
286,208,0,300
287,208,2,300
288,209,0,120
289,209,29,300
290,209,0,300
291,209,0,300
292,209,0,300
293,209,0,300
294,209,0,300
295,209,0,300
296,209,0,300
297,209,0,300
298,209,0,300
299,209,0,300
