episode,total_done,total_col,step
0,0,8,500
1,0,0,500
2,1,0,357
3,1,4,500
4,1,6,500
5,1,3,500
6,1,0,500
7,1,0,500
8,1,0,500
9,1,2,500
10,1,0,500
11,1,0,500
12,1,1,500
13,1,7,500
14,1,0,500
15,1,0,500
16,1,2,500
17,1,1,500
18,1,1,500
19,1,3,500
20,1,0,500
21,1,4,500
22,1,2,500
23,1,4,500
24,1,5,500
25,1,1,500
26,1,0,500
27,2,0,410
28,2,6,500
29,2,0,500
30,2,6,500
31,2,0,500
32,2,0,500
33,2,1,500
34,2,0,500
35,2,0,500
36,2,1,500
37,2,0,500
38,2,0,500
39,2,1,500
40,2,0,500
41,2,0,500
42,2,1,500
43,2,0,500
44,2,0,500
45,2,0,500
46,2,0,500
47,2,0,500
48,2,0,500
49,2,5,500
50,2,0,500
51,2,4,500
52,2,0,500
53,2,2,500
54,2,6,500
55,2,0,500
56,2,1,500
57,2,0,500
58,2,0,500
59,2,0,500
60,2,0,500
61,2,0,500
62,2,0,500
63,2,0,500
64,2,0,500
65,2,0,500
66,2,1,500
67,2,0,500
68,2,0,500
69,2,9,500
70,2,12,500
71,2,0,500
72,2,0,500
73,2,0,500
74,2,0,500
75,2,0,500
76,2,2,500
77,2,0,500
78,2,18,500
79,2,0,500
80,2,0,500
81,2,7,500
82,2,0,500
83,2,0,500
84,2,4,500
85,3,0,311
86,3,10,500
87,3,0,500
88,3,1,500
89,3,1,500
90,3,3,500
91,3,7,500
92,3,0,500
93,3,1,500
94,3,8,500
95,4,0,289
96,4,0,500
97,5,0,485
98,5,0,500
99,5,0,500
100,5,3,500
101,5,0,500
102,5,0,500
103,6,0,253
104,6,5,500
105,6,1,500
106,6,0,500
107,6,0,500
108,6,13,500
109,6,2,500
110,6,1,500
111,6,0,500
112,6,9,500
113,6,0,500
114,6,3,500
115,6,1,500
116,6,1,500
117,7,0,269
118,7,0,500
119,7,2,500
120,7,8,500
121,8,1,203
122,9,0,449
123,9,3,500
124,9,1,500
125,9,8,500
126,10,1,494
127,10,0,500
128,11,4,259
129,11,3,500
