episode,total_done,total_col,step
0,0,2,300
1,0,0,300
2,0,3,300
3,0,0,300
4,0,0,300
5,0,0,300
6,0,0,300
7,0,0,300
8,0,0,300
9,0,0,300
10,0,0,300
11,0,4,300
12,0,0,300
13,0,0,300
14,0,0,300
15,0,0,300
16,0,0,300
17,0,0,300
18,0,1,300
19,0,0,300
20,0,0,300
21,0,9,300
22,0,0,300
23,0,0,300
24,0,6,300
25,0,4,300
26,0,0,300
27,0,0,300
28,0,0,300
29,0,1,300
30,0,5,300
31,0,0,300
32,0,3,300
33,0,0,300
34,0,0,300
35,0,0,300
36,0,0,300
37,0,0,300
38,0,0,300
39,0,0,300
40,0,2,300
41,0,0,300
42,0,6,300
43,0,1,300
44,0,0,300
45,0,0,300
46,0,0,300
47,0,0,300
48,0,1,300
49,0,0,300
50,0,2,300
51,0,3,300
52,0,0,300
53,0,0,300
54,0,5,300
55,0,0,300
56,0,3,300
57,0,0,300
58,0,4,300
59,0,10,300
60,0,0,300
61,0,2,300
62,0,3,300
63,0,1,300
64,0,1,300
65,0,0,300
66,0,0,300
67,0,2,300
68,1,0,189
69,1,0,300
70,1,0,300
71,1,0,300
72,1,8,300
73,1,2,300
74,1,1,300
75,1,0,300
76,1,2,300
77,1,2,300
78,1,0,300
79,1,0,300
80,1,7,300
81,1,1,300
82,1,1,300
83,1,10,300
84,1,2,300
85,1,3,300
86,1,4,300
87,1,1,300
88,1,0,300
89,1,0,300
90,1,4,300
91,1,0,300
92,1,0,300
93,1,0,300
94,1,0,300
95,1,0,300
96,1,0,300
97,1,0,300
98,1,3,300
99,1,0,300
100,2,0,286
101,2,0,300
102,2,0,300
103,2,4,300
104,2,5,300
105,2,0,300
106,2,0,300
107,2,0,300
108,2,0,300
109,2,2,300
110,2,0,300
111,3,0,245
112,3,11,300
113,3,5,300
114,3,0,300
115,3,1,300
116,3,0,300
117,3,3,300
118,3,0,300
119,3,0,300
120,3,2,300
121,3,0,300
122,3,0,300
123,3,1,300
124,3,1,300
125,3,0,300
126,3,0,300
127,3,4,300
128,3,3,300
129,3,2,300
130,3,0,300
131,3,1,300
132,3,0,300
133,3,0,300
134,3,1,300
135,3,4,300
136,3,4,300
137,3,1,300
138,3,0,300
139,3,3,300
140,3,0,300
141,3,0,300
142,3,3,300
143,3,0,300
144,3,0,300
145,3,1,300
146,3,7,300
147,3,0,300
148,3,1,300
149,3,1,300
150,3,0,300
151,3,0,300
152,3,0,300
153,3,1,300
154,3,6,300
155,3,14,300
156,3,0,300
157,3,0,300
158,3,1,300
159,3,0,300
160,3,1,300
161,3,1,300
162,4,2,189
163,4,0,300
164,4,0,300
165,4,0,300
166,4,0,300
167,4,1,300
168,4,0,300
169,4,0,300
170,4,1,300
171,4,2,300
172,4,0,300
173,4,0,300
174,4,1,300
175,4,0,300
176,4,0,300
177,4,3,300
178,4,2,300
179,4,0,300
180,4,0,300
181,4,0,300
182,4,6,300
183,4,0,300
184,4,0,300
185,4,2,300
186,4,0,300
187,4,0,300
188,4,0,300
189,4,2,300
190,4,0,300
191,4,0,300
192,4,0,300
193,4,0,300
194,4,9,300
195,4,1,300
196,4,0,300
197,4,1,300
198,4,0,300
199,4,0,300
200,4,1,300
201,4,0,300
202,4,0,300
203,4,0,300
204,4,1,300
205,4,0,300
206,4,0,300
207,4,1,300
208,4,0,300
209,4,0,300
210,4,1,300
211,4,0,300
212,4,0,300
213,4,0,300
214,4,0,300
215,4,1,300
216,4,1,300
217,4,0,300
218,4,0,300
219,4,0,300
220,4,0,300
221,4,0,300
222,4,0,300
223,4,0,300
224,4,0,300
225,4,0,300
226,4,8,300
227,4,4,300
228,4,0,300
229,4,4,300
230,4,0,300
231,5,0,237
232,5,3,300
233,5,0,300
234,5,0,300
235,5,12,300
236,5,1,300
237,5,7,300
238,5,13,300
239,5,0,300
240,5,4,300
241,5,0,300
242,5,0,300
243,5,0,300
244,5,0,300
245,5,1,300
246,5,7,300
247,5,20,300
248,5,0,300
249,5,0,300
250,5,0,300
251,5,0,300
252,5,5,300
253,5,0,300
254,5,0,300
255,5,0,300
256,5,1,300
257,5,4,300
258,5,0,300
259,5,7,300
260,5,0,300
261,5,1,300
262,5,0,300
263,5,3,300
264,5,0,300
265,5,6,300
266,5,1,300
267,5,1,300
268,5,2,300
269,5,0,300
270,5,0,300
271,5,0,300
272,5,1,300
273,5,1,300
274,5,1,300
275,5,0,300
276,5,0,300
277,5,0,300
278,6,0,279
279,6,0,300
280,6,0,300
281,6,0,300
282,6,0,300
283,6,0,300
284,7,0,61
285,8,0,51
286,8,4,300
287,8,0,300
288,8,0,300
289,8,0,300
290,8,0,300
291,8,1,300
292,8,0,300
293,8,0,300
294,8,0,300
295,8,0,300
296,8,0,300
297,8,15,300
298,8,0,300
299,8,0,300
