episode,total_done,total_col,step
0,0,6,500
1,0,6,500
2,1,0,500
3,2,1,202
4,3,1,188
5,3,0,500
6,3,6,500
7,3,0,500
8,4,6,398
9,4,0,500
10,4,1,500
11,4,0,500
12,4,5,500
13,4,4,500
14,4,0,500
15,4,0,500
16,4,5,500
17,5,3,284
18,6,6,224
19,6,14,500
20,7,0,396
21,8,8,207
22,9,3,66
23,10,8,348
24,10,26,500
25,11,4,112
26,12,2,374
27,12,7,500
28,13,3,390
29,14,0,78
30,15,1,40
31,16,3,274
32,17,0,50
33,18,0,356
34,18,5,500
35,19,4,53
36,20,0,392
37,21,1,25
38,22,0,70
39,22,1,500
40,23,2,24
41,24,5,32
42,25,10,485
43,26,1,173
44,27,5,59
45,28,0,27
46,29,0,74
47,30,3,48
48,31,0,318
49,32,1,313
50,33,7,287
51,34,1,48
52,35,1,93
53,36,0,125
54,37,8,100
55,38,1,35
56,39,5,295
57,40,0,40
58,41,8,85
59,42,8,39
60,43,0,265
61,44,0,19
62,45,0,28
63,46,1,65
64,47,3,156
65,48,2,32
66,49,0,21
67,50,2,48
68,51,10,452
69,52,0,63
70,53,4,50
71,54,3,208
72,55,0,46
73,56,5,32
74,57,4,36
75,58,0,60
76,59,0,69
77,60,0,18
78,61,1,39
79,62,0,47
80,63,4,37
81,64,6,48
82,65,0,29
83,66,1,95
84,67,11,42
85,68,6,62
86,69,5,22
87,70,3,70
88,71,1,15
89,72,7,131
90,73,3,24
91,74,1,102
92,75,4,19
93,76,0,64
94,77,1,25
95,78,0,26
96,79,1,368
97,80,6,39
98,81,0,57
99,82,11,56
100,83,0,19
101,84,1,62
102,85,1,12
103,86,4,18
104,87,11,43
105,88,0,120
106,89,18,56
107,90,0,49
108,91,6,36
109,92,2,15
110,93,1,17
111,94,2,27
112,95,5,34
113,96,6,54
114,97,3,36
115,98,0,25
116,99,1,92
117,100,2,21
118,101,0,18
119,102,3,24
120,103,13,87
121,104,1,59
122,105,6,42
123,106,4,22
124,107,3,37
125,108,0,151
126,109,2,13
127,110,3,26
128,111,2,24
129,112,0,11
130,113,1,12
131,114,0,25
132,115,2,60
133,116,3,53
134,117,5,21
135,118,0,9
136,119,0,13
137,120,10,29
138,121,3,56
139,122,9,88
140,123,9,39
141,124,7,203
142,125,6,36
143,126,4,16
144,127,3,98
145,128,2,29
146,129,2,489
147,130,9,204
148,131,2,251
149,132,0,27
150,132,1,500
151,133,5,123
152,134,1,56
153,134,5,500
154,135,0,18
155,135,0,500
156,136,7,138
157,137,1,10
158,137,0,500
159,137,4,500
160,137,0,500
161,137,1,500
162,137,1,500
163,138,2,341
164,139,0,451
165,140,0,51
166,141,0,20
167,142,0,27
168,142,0,500
169,143,1,376
170,144,2,21
171,145,0,251
172,146,0,38
173,147,1,34
174,148,0,109
175,149,0,7
176,150,1,17
177,151,1,140
178,152,0,8
179,153,0,45
180,154,0,17
181,155,0,37
182,155,0,500
183,155,0,500
184,156,0,36
185,157,2,69
186,158,0,456
187,159,0,38
188,160,1,22
189,161,2,142
190,162,0,88
191,162,1,500
192,162,0,500
193,162,0,500
194,163,0,18
195,163,2,500
196,164,0,335
197,164,0,500
198,165,0,365
199,165,0,500
