episode,total_done,total_col,step
0,0,8,500
1,0,0,500
2,1,0,346
3,2,3,485
4,3,7,230
5,3,1,500
6,4,0,105
7,5,1,42
8,5,11,500
9,6,0,53
10,7,2,440
11,7,12,500
12,8,8,447
13,8,7,500
14,9,1,477
15,10,0,479
16,10,7,500
17,10,12,500
18,11,0,104
19,12,0,137
20,12,3,500
21,12,3,500
22,12,5,500
23,13,2,390
24,13,7,500
25,13,0,500
26,13,15,500
27,14,2,354
28,15,0,433
29,16,0,186
30,17,2,179
31,18,5,202
32,18,0,500
33,19,3,126
34,19,2,500
35,19,0,500
36,20,3,214
37,21,1,73
38,21,0,500
39,22,0,285
40,22,0,500
41,22,0,500
42,22,2,500
43,22,2,500
44,23,3,115
45,24,2,116
46,25,3,98
47,25,0,500
48,25,2,500
49,26,0,458
50,27,6,454
51,27,1,500
52,27,0,500
53,28,2,405
54,28,3,500
55,28,0,500
56,29,2,207
57,29,3,500
58,30,8,256
59,31,4,320
60,32,0,74
61,33,2,217
62,33,1,500
63,34,6,86
64,35,4,413
65,35,3,500
66,36,1,83
67,37,1,95
68,38,1,129
69,39,3,182
70,40,1,30
71,40,6,500
72,40,8,500
73,41,5,269
74,42,3,381
75,43,1,458
76,44,2,384
77,44,0,500
78,45,2,28
79,45,2,500
80,46,2,77
81,47,3,49
82,47,1,500
83,47,1,500
84,48,2,256
85,49,1,55
86,49,3,500
87,50,2,433
88,50,1,500
89,50,1,500
90,50,0,500
91,51,1,224
92,52,1,213
93,53,3,191
94,53,7,500
95,53,2,500
96,54,0,144
97,55,1,179
98,56,0,67
99,56,0,500
100,56,2,500
101,57,5,223
102,58,0,78
103,59,10,34
104,60,5,152
105,61,2,20
106,62,0,37
107,62,3,500
108,63,0,222
109,63,3,500
110,64,0,223
111,65,6,101
112,65,4,500
113,66,1,18
114,66,11,500
115,67,3,138
116,68,11,424
117,69,12,105
118,70,5,184
119,70,18,500
120,71,4,64
121,71,6,500
122,72,0,159
123,72,21,500
124,72,18,500
125,73,0,408
126,73,23,500
127,74,2,100
128,74,10,500
129,75,1,65
130,76,7,339
131,76,13,500
132,77,22,413
133,78,13,184
134,78,12,500
135,78,15,500
136,78,10,500
137,79,1,53
138,79,23,500
139,79,23,500
140,79,20,500
141,79,26,500
142,79,27,500
143,79,15,500
144,79,20,500
145,79,24,500
146,80,15,295
147,80,31,500
148,81,12,231
149,81,13,500
150,81,14,500
151,81,1,500
152,82,2,492
153,82,3,500
154,82,8,500
155,83,2,182
156,83,10,500
157,83,4,500
158,83,7,500
159,84,3,486
160,85,3,116
161,86,0,30
162,86,4,500
163,87,3,480
164,87,4,500
165,88,1,324
166,89,2,244
167,90,0,187
168,91,2,146
169,91,7,500
170,92,3,149
171,93,5,278
172,93,3,500
173,93,4,500
174,93,12,500
175,93,1,500
176,94,1,118
177,94,2,500
178,95,7,363
179,95,3,500
180,96,2,201
181,97,2,35
182,98,3,149
183,99,6,458
184,100,13,60
185,100,5,500
186,100,4,500
187,101,5,455
188,102,1,168
189,103,0,140
190,103,0,500
191,103,1,500
192,104,3,254
193,104,2,500
194,105,0,36
195,106,1,240
196,106,0,500
197,107,0,29
198,108,0,29
199,109,1,19
