episode,total_done,total_col,step
0,0,3,300
1,0,8,300
2,0,8,300
3,0,0,300
4,1,0,228
5,1,3,300
6,1,3,300
7,1,4,300
8,1,2,300
9,1,10,300
10,1,5,300
11,1,4,300
12,1,0,300
13,1,1,300
14,1,0,300
15,2,1,140
16,2,5,300
17,2,1,300
18,2,3,300
19,2,0,300
20,2,25,300
21,2,2,300
22,2,9,300
23,3,6,191
24,3,2,300
25,3,8,300
26,3,5,300
27,3,1,300
28,4,0,223
29,5,0,220
30,6,0,102
31,6,0,300
32,6,0,300
33,6,1,300
34,6,0,300
35,7,2,123
36,7,7,300
37,7,0,300
38,7,0,300
39,8,2,77
40,9,1,129
41,9,5,300
42,9,2,300
43,9,1,300
44,10,4,225
45,10,2,300
46,10,19,300
47,10,2,300
48,10,1,300
49,10,0,300
50,10,7,300
51,10,12,300
52,11,0,115
53,11,5,300
54,11,0,300
55,12,12,172
56,12,10,300
57,12,1,300
58,12,9,300
59,13,2,221
60,13,2,300
61,13,3,300
62,13,0,300
63,13,2,300
64,14,3,234
65,15,2,202
66,15,11,300
67,15,1,300
68,16,2,220
69,16,6,300
70,16,0,300
71,16,3,300
72,16,1,300
73,17,1,165
74,17,0,300
75,17,2,300
76,17,0,300
77,17,5,300
78,18,0,239
79,18,16,300
80,18,1,300
81,18,9,300
82,18,6,300
83,19,0,212
84,19,4,300
85,20,1,18
86,20,1,300
87,20,1,300
88,21,6,168
89,22,0,116
90,22,7,300
91,22,3,300
92,22,1,300
93,22,0,300
94,22,2,300
95,22,0,300
96,22,11,300
97,22,0,300
98,23,4,281
99,24,3,55
100,24,2,300
101,24,7,300
102,25,1,165
103,25,0,300
104,25,6,300
105,25,5,300
106,25,0,300
107,25,1,300
108,25,0,300
109,25,2,300
110,25,16,300
111,26,4,115
112,27,2,167
113,27,5,300
114,28,0,71
115,28,0,300
116,29,2,281
117,30,0,99
118,30,3,300
119,30,1,300
120,30,0,300
121,31,8,238
122,32,0,186
123,32,2,300
124,32,1,300
125,32,4,300
126,32,1,300
127,33,4,199
128,34,2,249
129,34,3,300
130,34,0,300
131,34,3,300
132,35,0,59
133,35,0,300
134,36,1,87
135,36,1,300
136,36,5,300
137,36,1,300
138,36,7,300
139,37,1,230
140,38,3,69
141,38,1,300
142,39,6,291
143,40,0,152
144,40,0,300
145,40,2,300
146,40,5,300
147,40,1,300
148,40,2,300
149,40,2,300
150,40,0,300
151,40,0,300
152,40,2,300
153,40,1,300
154,40,2,300
155,40,5,300
156,41,2,104
157,42,1,152
158,43,0,263
159,44,0,287
160,45,2,130
161,45,0,300
162,45,3,300
163,45,0,300
164,45,0,300
165,45,3,300
166,46,0,174
167,46,9,300
168,47,9,75
169,47,1,300
170,47,3,300
171,47,0,300
172,47,0,300
173,47,0,300
174,48,1,190
175,49,3,215
176,49,6,300
177,49,2,300
178,49,2,300
179,49,2,300
180,49,14,300
181,49,0,300
182,50,5,113
183,50,1,300
184,51,0,129
185,51,0,300
186,52,0,177
187,53,11,204
188,53,12,300
189,53,0,300
190,53,1,300
191,53,0,300
192,54,5,87
193,54,2,300
194,54,3,300
195,54,0,300
196,54,6,300
197,54,0,300
198,54,15,300
199,55,2,152
