episode,total_done,total_col
0,0,5
1,0,3
2,1,2
3,2,6
4,2,0
5,2,8
6,3,2
7,4,2
8,4,9
9,4,4
10,4,0
11,4,1
12,5,5
13,5,2
14,6,1
15,6,5
16,7,1
17,7,3
18,7,6
19,8,3
20,9,1
21,9,3
22,10,5
23,11,3
24,11,3
25,11,10
26,11,9
27,12,3
28,13,14
29,14,0
30,15,3
31,16,1
32,17,2
33,18,5
34,19,5
35,20,3
36,21,1
37,22,4
38,23,2
39,24,4
40,25,0
41,25,0
42,26,2
43,27,8
44,28,0
45,29,0
46,30,0
47,31,1
48,32,0
49,33,6
50,34,0
51,34,1
52,35,2
53,36,2
54,37,0
55,38,10
56,38,1
57,38,0
58,38,0
59,39,0
60,40,0
61,41,4
62,42,0
63,42,0
64,43,1
65,44,5
66,45,0
67,46,0
68,47,0
69,48,0
70,49,0
71,50,0
72,51,4
73,52,0
74,53,0
75,54,0
76,55,0
77,56,0
78,57,0
79,58,0
80,59,0
81,60,0
82,61,0
83,62,0
84,63,0
85,64,0
86,65,0
87,66,0
88,67,0
89,68,0
90,69,0
91,70,0
92,71,0
93,72,0
94,73,0
95,74,0
96,75,0
97,76,0
98,77,1
99,78,0
100,79,0
101,80,0
102,81,0
103,82,0
104,83,0
105,84,1
106,85,0
107,86,0
108,87,0
109,88,0
110,89,1
111,90,0
112,90,0
113,91,0
114,92,0
115,93,0
116,94,0
117,95,0
118,96,1
119,97,0
120,98,0
121,99,1
122,100,0
123,101,0
124,102,0
125,103,0
126,104,0
127,105,0
128,106,0
129,107,0
130,108,0
131,109,0
132,110,0
133,111,0
134,112,0
135,113,0
136,114,0
137,115,0
138,116,0
139,117,0
140,118,0
141,119,0
142,120,0
143,121,0
144,122,0
145,123,0
146,124,0
147,125,0
148,126,4
149,127,0
150,128,0
151,129,0
152,130,1
153,131,0
154,132,0
155,133,0
156,134,0
157,135,0
158,136,0
159,137,0
160,138,0
161,139,0
162,140,0
163,141,0
164,142,0
165,142,0
166,143,0
167,143,0
168,144,0
169,145,0
170,146,0
171,147,0
172,148,0
173,148,0
174,149,0
175,150,0
176,150,0
177,150,0
178,151,0
179,152,0
180,152,0
181,153,0
182,153,1
183,154,4
184,154,0
185,155,0
186,156,0
187,156,0
188,157,0
189,157,0
190,158,0
191,159,0
192,160,0
193,160,0
194,160,0
195,161,1
196,162,0
197,162,0
198,162,0
199,163,0
