episode,total_done,total_col
0,0,1
1,1,1
2,1,5
3,1,13
4,1,0
5,1,1
6,2,0
7,3,11
8,4,1
9,4,19
10,4,2
11,4,10
12,5,3
13,5,9
14,5,1
15,6,5
16,6,17
17,6,5
18,6,7
19,6,0
20,7,6
21,7,0
22,7,3
23,7,5
24,8,1
25,8,10
26,9,2
27,9,2
28,9,4
29,9,2
30,10,0
31,10,11
32,10,15
33,11,1
34,11,0
35,11,1
36,11,0
37,11,3
38,11,3
39,11,7
40,12,0
41,12,7
42,13,0
43,14,1
44,14,4
45,14,8
46,14,9
47,14,0
48,14,6
49,14,14
50,14,0
51,14,5
52,14,2
53,14,9
54,14,20
55,14,0
56,15,4
57,15,7
58,15,11
59,15,11
60,15,4
61,15,0
62,15,2
63,15,8
64,15,4
65,16,5
66,17,0
67,17,10
68,17,3
69,18,0
70,19,0
71,20,4
72,20,17
73,21,2
74,21,0
75,22,0
76,22,0
77,22,0
78,23,0
79,24,3
80,24,11
81,25,2
82,25,3
83,26,10
84,26,7
85,26,0
86,26,1
87,26,9
88,26,0
89,27,2
90,28,0
91,29,1
92,29,1
93,29,4
94,30,1
95,30,3
96,30,3
97,31,0
98,32,2
99,32,11
100,33,1
101,34,0
102,35,0
103,35,4
104,35,1
105,36,0
106,37,0
107,37,0
108,38,0
109,39,11
110,40,11
111,41,0
112,41,2
113,42,1
114,43,2
115,43,3
116,44,0
117,45,5
118,45,1
119,45,1
120,46,9
121,47,0
122,47,4
123,47,4
124,47,0
125,47,0
126,47,2
127,48,4
128,48,0
129,49,0
130,49,1
131,49,0
132,49,2
133,50,1
134,50,0
135,50,0
136,51,0
137,52,0
138,53,2
139,54,0
140,55,0
141,56,0
142,57,1
143,58,0
144,58,1
145,59,4
146,60,3
147,61,0
148,61,0
149,61,1
150,61,0
151,62,0
152,62,0
153,63,2
154,63,0
155,63,0
156,64,0
157,64,2
158,65,0
159,66,4
160,67,0
161,68,0
162,69,0
163,70,0
164,70,1
165,71,7
166,71,3
167,72,0
168,72,11
169,72,0
170,73,0
171,73,0
172,73,0
173,74,4
174,75,1
175,76,0
176,77,0
177,77,0
178,77,1
179,77,1
180,77,23
181,77,3
182,78,1
183,78,1
184,79,0
185,80,0
186,80,0
187,81,3
188,82,4
189,83,0
190,84,6
191,84,0
192,85,0
193,86,0
194,86,2
195,86,0
196,87,0
197,87,0
198,88,0
199,88,1
