episode,total_done,total_col,step
0,0,1,300
1,0,4,300
2,0,2,300
3,0,4,300
4,0,3,300
5,0,2,300
6,1,2,151
7,1,9,300
8,1,9,300
9,1,0,300
10,1,0,300
11,1,0,300
12,1,0,300
13,2,0,190
14,2,2,300
15,2,2,300
16,3,4,225
17,3,6,300
18,3,0,300
19,3,0,300
20,3,8,300
21,4,1,184
22,4,3,300
23,5,0,121
24,5,5,300
25,6,4,154
26,6,2,300
27,6,1,300
28,6,2,300
29,6,6,300
30,7,0,254
31,7,6,300
32,7,3,300
33,7,0,300
34,7,8,300
35,7,4,300
36,8,0,111
37,8,1,300
38,8,1,300
39,8,1,300
40,8,2,300
41,8,0,300
42,8,0,300
43,8,2,300
44,8,5,300
45,8,3,300
46,8,1,300
47,8,7,300
48,8,9,300
49,9,8,243
50,9,0,300
51,10,3,94
52,11,1,173
53,11,0,300
54,12,0,270
55,12,6,300
56,13,2,109
57,13,1,300
58,13,8,300
59,13,2,300
60,13,0,300
61,13,2,300
62,13,1,300
63,13,0,300
64,13,7,300
65,13,3,300
66,14,0,149
67,14,3,300
68,14,3,300
69,14,2,300
70,14,4,300
71,14,8,300
72,14,3,300
73,14,5,300
74,15,0,216
75,15,0,300
76,15,8,300
77,15,1,300
78,15,2,300
79,15,0,300
80,15,0,300
81,15,1,300
82,15,8,300
83,15,0,300
84,16,8,193
85,16,0,300
86,16,3,300
87,17,1,119
88,17,4,300
89,17,1,300
90,17,0,300
91,18,3,196
92,19,0,296
93,19,3,300
94,20,4,185
95,20,2,300
96,20,6,300
97,20,0,300
98,21,0,125
99,21,1,300
100,21,1,300
101,21,1,300
102,22,6,210
103,22,0,300
104,22,0,300
105,22,1,300
106,23,0,203
107,24,0,204
108,24,7,300
109,25,0,195
110,25,14,300
111,25,6,300
112,25,10,300
113,25,1,300
114,25,4,300
115,25,5,300
116,25,1,300
117,25,3,300
118,25,0,300
119,26,0,198
120,26,4,300
121,26,0,300
122,26,2,300
123,26,20,300
124,27,2,266
125,27,3,300
126,27,5,300
127,28,4,284
128,28,0,300
129,28,5,300
130,28,8,300
131,28,0,300
132,28,2,300
133,28,9,300
134,28,2,300
135,28,0,300
136,28,0,300
137,29,3,168
138,29,0,300
139,29,0,300
140,29,9,300
141,29,2,300
142,30,4,274
143,30,0,300
144,30,0,300
145,30,0,300
146,31,3,248
147,31,2,300
148,31,10,300
149,31,0,300
150,32,0,179
151,32,0,300
152,32,7,300
153,32,0,300
154,32,3,300
155,32,4,300
156,32,0,300
157,32,0,300
158,32,4,300
159,32,0,300
160,32,5,300
161,33,5,117
162,33,0,300
163,33,6,300
164,33,4,300
165,34,0,121
166,34,5,300
167,34,8,300
168,34,0,300
169,34,1,300
170,34,15,300
171,34,4,300
172,35,1,139
173,35,8,300
174,36,0,179
175,36,6,300
176,37,3,173
177,37,5,300
178,37,5,300
179,38,1,121
180,38,4,300
181,39,5,213
182,39,4,300
183,39,0,300
184,39,0,300
185,39,2,300
186,40,0,105
187,40,1,300
188,40,0,300
189,40,7,300
190,40,0,300
191,40,10,300
192,41,4,218
193,42,1,182
194,42,1,300
195,42,3,300
196,42,11,300
197,42,3,300
198,42,5,300
199,42,5,300
