episode,total_done,total_col,step
0,0,3,500
1,0,4,500
2,0,8,500
3,0,17,500
4,0,6,500
5,0,1,500
6,1,11,424
7,1,0,500
8,1,7,500
9,1,1,500
10,2,0,244
11,3,3,274
12,4,5,254
13,4,2,500
14,5,1,226
15,6,0,97
16,6,0,500
17,7,1,327
18,8,3,261
19,8,4,500
20,8,3,500
21,8,0,500
22,9,7,274
23,10,3,242
24,11,0,149
25,11,7,500
26,12,0,191
27,13,0,179
28,14,0,258
29,14,4,500
30,15,2,105
31,16,2,438
32,17,2,226
33,18,1,369
34,19,0,235
35,19,7,500
36,20,2,117
37,21,0,134
38,21,0,500
39,22,0,71
40,23,0,160
41,24,8,324
42,25,2,106
43,26,0,114
44,27,10,284
45,28,0,212
46,29,0,102
47,30,0,294
48,31,0,64
49,32,0,55
50,33,1,296
51,34,0,131
52,35,0,42
53,36,0,130
54,37,0,72
55,38,0,462
56,39,1,115
57,40,0,72
58,40,0,500
59,41,1,65
60,42,2,144
61,43,0,280
62,44,0,49
63,45,0,227
64,46,0,49
65,47,0,441
66,47,6,500
67,48,0,128
68,49,0,47
69,50,0,103
70,51,2,215
71,52,0,86
72,53,5,71
73,54,0,112
74,55,0,49
75,56,7,125
76,57,0,52
77,58,0,248
78,59,0,52
79,60,0,107
80,61,5,140
81,62,0,50
82,63,0,56
83,64,0,194
84,65,0,125
85,66,0,242
86,67,0,147
87,68,0,280
88,69,0,107
89,70,3,54
90,71,0,119
91,72,0,78
92,73,1,118
93,74,0,42
94,75,0,60
95,76,0,111
96,77,0,71
97,78,0,91
98,79,0,77
99,80,0,52
100,81,0,48
101,82,0,29
102,83,0,78
103,84,2,58
104,85,0,225
105,86,0,87
106,87,0,80
107,88,0,33
108,89,0,58
109,90,0,80
110,91,0,42
111,92,1,257
112,93,0,76
113,94,0,52
114,95,0,74
115,96,0,31
116,97,0,31
117,98,0,66
118,99,3,95
119,100,0,22
120,101,0,47
121,102,0,38
122,103,0,27
123,104,0,130
124,105,0,96
125,106,0,38
126,107,0,54
127,108,0,48
128,109,0,22
129,110,0,33
130,111,0,190
131,112,0,42
132,113,0,21
133,114,0,20
134,115,0,45
135,116,0,21
136,117,0,39
137,118,0,52
138,119,0,37
139,120,0,73
140,121,0,137
141,122,0,133
142,123,0,31
143,124,0,36
144,125,0,42
145,126,0,33
146,127,0,46
147,128,0,40
148,129,0,107
149,130,0,89
150,131,0,145
151,132,0,102
152,133,0,30
153,134,0,63
154,135,0,38
155,136,0,77
156,137,0,216
157,138,0,131
158,139,0,126
159,140,0,27
160,141,0,37
161,142,0,35
162,143,0,12
163,144,0,29
164,145,0,42
165,146,0,79
166,147,0,40
167,148,0,60
168,149,0,63
169,150,0,124
170,151,0,40
171,152,0,27
172,153,0,79
173,154,0,37
174,155,0,54
175,156,0,37
176,157,0,96
177,158,0,24
178,159,0,308
179,160,0,45
180,161,0,21
181,162,0,19
182,163,0,109
183,164,0,59
184,165,0,211
185,166,0,143
186,167,1,103
187,168,0,172
188,169,0,53
189,170,0,50
190,171,0,21
191,172,0,93
192,173,0,68
193,173,0,500
194,174,10,254
195,175,0,387
196,176,0,209
197,176,0,500
198,176,0,500
199,176,0,500
200,177,0,99
201,177,0,500
202,178,0,39
203,179,0,25
204,180,0,125
205,181,0,21
206,182,0,112
207,183,0,356
208,184,0,385
209,185,0,72
210,186,0,194
211,187,0,287
212,188,0,49
213,189,0,115
214,189,0,500
215,190,0,207
216,191,0,213
217,192,0,255
218,193,0,19
219,194,0,197
220,195,0,261
221,195,0,500
222,196,0,34
223,196,0,500
224,197,0,156
225,198,0,87
226,199,0,425
227,200,0,18
228,201,0,138
229,202,0,52
230,202,0,500
231,202,0,500
232,202,0,500
233,202,0,500
234,202,0,500
235,203,0,63
236,203,0,500
237,203,0,500
238,203,0,500
239,203,0,500
240,203,0,500
241,204,0,387
242,205,1,265
243,205,0,500
244,205,1,500
245,205,0,500
246,205,0,500
247,205,0,500
248,205,0,500
249,205,0,500
250,205,0,500
251,205,2,500
252,206,0,195
253,207,0,190
254,207,2,500
255,208,0,130
256,209,0,95
257,209,1,500
258,209,0,500
259,209,0,500
260,209,0,500
261,210,0,36
262,211,0,305
263,211,1,500
264,211,7,500
265,211,7,500
266,212,0,315
267,212,2,500
268,212,4,500
269,212,5,500
270,212,4,500
271,213,57,226
272,213,142,500
273,213,118,500
274,213,0,500
275,213,66,500
276,213,28,500
277,213,30,500
278,214,2,97
279,214,22,500
280,214,38,500
281,215,0,24
282,216,0,28
283,216,5,500
284,217,0,46
285,217,2,500
286,218,0,19
287,219,0,167
