episode,total_done,total_col,step
0,1,2,357
1,1,7,500
2,1,1,500
3,2,0,200
4,3,0,114
5,4,3,343
6,5,13,241
7,6,2,232
8,6,1,500
9,7,9,299
10,7,9,500
11,7,9,500
12,8,4,151
13,8,1,500
14,9,10,390
15,10,1,114
16,11,23,209
17,12,6,75
18,12,3,500
19,13,0,203
20,13,10,500
21,13,11,500
22,14,0,61
23,14,8,500
24,15,0,102
25,15,4,500
26,16,2,161
27,17,2,224
28,17,1,500
29,18,5,117
30,18,0,500
31,18,0,500
32,19,4,310
33,19,0,500
34,20,0,285
35,21,0,391
36,22,0,101
37,23,4,109
38,24,0,317
39,25,0,129
40,26,0,201
41,27,0,87
42,28,0,188
43,29,0,147
44,30,4,108
45,31,0,131
46,32,0,195
47,33,2,119
48,34,11,170
49,35,0,72
50,36,7,76
51,37,2,127
52,37,9,500
53,38,0,48
54,39,1,118
55,39,0,500
56,40,0,167
57,40,11,500
58,41,0,202
59,42,5,259
60,43,0,354
61,44,0,186
62,45,0,223
63,46,0,138
64,47,0,62
65,47,1,500
66,48,0,48
67,49,10,57
68,50,5,157
69,51,0,152
70,52,0,94
71,53,1,223
72,54,1,242
73,55,0,120
74,56,0,119
75,57,0,123
76,58,0,88
77,59,0,287
78,60,0,15
79,61,0,72
80,62,10,165
81,63,0,59
82,64,0,77
83,65,0,258
84,66,0,49
85,67,0,60
86,68,0,331
87,69,0,95
88,69,9,500
89,70,3,82
90,71,0,104
91,72,0,339
92,73,0,71
93,74,0,56
94,75,0,49
95,76,0,152
96,77,0,210
97,78,0,427
98,78,3,500
99,79,0,75
100,80,2,133
101,81,0,346
102,82,0,128
103,83,0,61
104,83,0,500
105,83,0,500
106,83,1,500
107,83,0,500
108,84,1,90
109,84,0,500
110,84,0,500
111,85,0,48
112,86,0,29
113,87,0,102
114,88,1,66
115,89,0,28
116,90,0,196
117,90,0,500
118,91,0,51
119,92,1,50
120,93,0,47
121,93,0,500
122,94,1,125
123,94,0,500
124,95,0,74
125,96,2,38
126,96,0,500
127,97,0,67
128,97,0,500
129,98,0,50
130,98,0,500
131,99,0,177
132,100,0,101
133,100,0,500
134,100,0,500
135,100,0,500
136,101,0,60
137,101,0,500
138,102,0,282
139,103,0,172
140,104,0,79
141,105,0,38
142,106,0,117
143,106,1,500
144,107,5,367
145,108,0,20
146,109,0,61
147,110,0,50
148,111,0,52
149,111,0,500
150,112,0,435
151,113,3,79
152,114,0,23
153,114,0,500
154,114,0,500
155,114,0,500
156,115,0,77
157,116,2,269
158,117,0,13
159,117,0,500
160,117,0,500
161,117,0,500
162,118,0,266
163,119,0,234
164,119,0,500
165,120,0,126
166,121,0,110
167,122,0,129
168,123,0,255
169,123,0,500
170,124,0,358
171,125,0,176
172,126,0,374
173,127,0,331
174,128,0,189
175,129,0,400
176,130,10,127
177,131,0,188
178,132,0,80
179,133,0,43
180,134,0,96
181,135,0,386
182,136,0,483
183,136,0,500
184,137,0,37
185,138,0,105
186,139,0,213
187,140,0,275
188,141,0,59
189,142,0,43
190,143,0,172
191,144,0,399
192,144,0,500
193,144,0,500
194,144,0,500
195,145,0,301
196,145,0,500
197,145,0,500
198,146,0,445
199,146,0,500
200,147,0,164
201,148,0,151
202,148,0,500
203,148,0,500
204,148,0,500
205,149,0,15
206,150,0,250
207,150,0,500
208,151,0,225
209,152,0,482
210,153,0,477
211,154,0,48
212,154,0,500
213,155,0,73
214,156,0,21
215,156,0,500
216,157,0,55
217,158,0,413
218,159,0,39
219,160,0,75
220,161,0,405
221,162,0,66
222,162,0,500
223,162,0,500
224,163,0,153
225,163,0,500
226,163,0,500
227,164,0,229
228,165,0,486
229,166,1,383
230,167,0,398
231,168,0,347
232,169,0,348
233,170,0,361
234,171,0,264
235,172,0,57
236,173,0,48
237,174,0,150
238,175,0,152
239,176,0,12
240,177,0,24
241,178,0,80
242,179,0,54
243,180,0,66
244,180,0,500
245,181,0,149
246,181,0,500
247,182,0,27
248,183,0,327
249,184,0,17
250,185,0,221
251,185,0,500
252,185,0,500
253,185,0,500
254,186,0,444
255,186,0,500
256,186,0,500
257,186,0,500
258,186,0,500
259,186,0,500
260,186,0,500
261,186,0,500
262,186,0,500
263,186,0,500
264,186,0,500
265,186,0,500
266,186,0,500
267,186,10,500
268,187,0,61
269,188,0,291
270,188,0,500
271,188,0,500
272,189,0,171
273,190,0,363
274,190,0,500
275,190,0,500
276,191,0,131
277,191,0,500
278,191,0,500
279,191,0,500
280,191,0,500
281,191,0,500
282,191,0,500
283,191,0,500
284,192,0,42
285,192,0,500
286,192,0,500
287,193,0,138
288,193,0,500
289,193,0,500
290,193,0,500
291,194,0,487
292,195,0,49
293,195,0,500
294,195,0,500
295,196,0,52
296,196,0,500
297,196,0,500
298,196,0,500
299,197,0,19
300,198,2,393
301,198,0,500
302,198,0,500
303,198,0,500
304,198,0,500
305,198,0,500
306,198,0,500
307,198,0,500
308,198,0,500
309,198,0,500
310,198,0,500
311,198,0,500
312,198,0,500
313,198,0,500
314,198,0,500
315,198,0,500
316,198,0,500
317,198,0,500
318,198,0,500
319,198,0,500
320,198,0,500
321,198,0,500
322,199,0,99
323,199,0,500
324,199,0,500
325,199,0,500
326,199,0,500
327,200,0,14
328,201,0,24
329,201,0,500
330,201,0,500
331,201,0,500
332,201,0,500
333,201,0,500
334,201,0,500
335,201,0,500
336,201,0,500
337,202,0,208
338,202,0,500
339,202,0,500
340,202,0,500
341,203,0,401
342,204,0,52
343,204,0,500
344,204,0,500
345,204,2,500
346,204,0,500
347,204,37,500
348,205,0,64
349,206,0,240
350,207,0,105
351,207,2,500
352,207,3,500
353,208,0,409
354,208,0,500
355,209,0,16
356,210,0,81
357,210,0,500
358,211,0,443
359,212,0,236
360,213,0,250
361,213,0,500
362,213,0,500
363,213,0,500
364,213,1,500
365,213,0,500
366,213,0,500
367,214,0,22
368,214,6,500
369,214,0,500
370,214,0,500
371,214,30,500
372,215,0,14
373,215,11,500
374,215,41,500
375,216,0,297
376,217,0,246
377,218,0,63
378,219,0,358
379,220,0,198
380,220,171,500
381,220,99,500
382,221,0,99
383,222,0,14
384,223,0,284
385,224,0,72
386,225,0,241
387,226,0,45
388,227,0,22
389,227,106,500
390,228,0,37
391,229,0,141
392,229,5,500
393,230,0,221
394,230,237,500
395,230,206,500
396,231,0,11
397,231,0,500
398,232,0,63
399,232,0,500
400,232,0,500
401,232,2,500
402,232,0,500
403,233,0,204
404,234,0,446
405,234,24,500
406,234,0,500
407,235,0,231
408,235,0,500
409,236,0,212
410,237,0,63
411,238,0,177
412,238,0,500
413,238,0,500
414,238,0,500
415,238,0,500
416,238,0,500
417,239,0,433
418,239,0,500
419,240,0,171
420,240,98,500
421,240,0,500
422,240,0,500
423,240,0,500
424,241,0,388
425,241,0,500
426,241,0,500
427,242,0,410
428,242,0,500
429,242,0,500
430,242,0,500
431,242,41,500
432,243,0,187
433,243,11,500
434,244,0,36
435,244,0,500
436,244,0,500
437,244,0,500
438,244,0,500
439,244,0,500
440,244,0,500
441,245,0,358
442,245,0,500
443,245,0,500
444,245,0,500
445,246,0,22
446,246,0,500
447,247,0,102
448,247,0,500
449,247,0,500
450,248,0,60
451,249,0,12
452,250,0,281
453,251,0,301
454,251,0,500
455,252,0,133
456,252,0,500
457,252,0,500
458,252,0,500
459,252,0,500
460,252,0,500
461,252,0,500
462,252,1,500
463,252,0,500
464,253,0,13
465,253,0,500
466,253,0,500
467,253,0,500
468,253,0,500
469,253,0,500
470,253,0,500
471,254,0,341
472,255,0,109
473,255,0,500
474,255,0,500
475,255,0,500
476,255,0,500
477,255,0,500
478,256,0,106
479,257,0,490
480,258,0,92
481,259,0,26
482,260,0,12
483,260,0,500
484,260,0,500
485,261,0,321
486,262,0,145
487,262,0,500
488,262,67,500
489,263,0,297
490,264,0,390
491,264,0,500
492,265,0,13
493,266,0,348
494,267,0,199
495,267,0,500
496,267,0,500
497,268,0,108
498,269,0,14
499,269,0,500
500,270,0,171
501,270,0,500
502,270,0,500
503,270,0,500
504,270,0,500
505,270,0,500
506,270,0,500
507,270,0,500
508,270,0,500
509,271,0,422
510,271,0,500
511,271,0,500
512,271,0,500
513,271,0,500
514,272,0,126
515,272,0,500
516,273,0,38
517,274,0,148
518,275,0,228
519,276,0,118
520,276,0,500
521,277,0,489
522,278,0,255
523,279,0,248
524,279,0,500
525,280,0,10
526,281,0,72
527,282,0,257
528,282,0,500
529,283,0,450
530,284,0,89
531,285,0,253
532,285,0,500
533,286,0,214
534,287,0,344
535,287,0,500
536,287,0,500
537,287,0,500
538,287,0,500
539,287,0,500
540,287,0,500
541,287,0,500
542,287,0,500
543,288,0,198
544,288,0,500
545,288,0,500
546,288,0,500
547,288,0,500
548,288,0,500
549,288,0,500
550,288,0,500
551,288,0,500
552,288,0,500
553,288,0,500
554,288,0,500
555,288,0,500
556,288,0,500
557,288,0,500
558,288,0,500
559,288,0,500
560,288,0,500
561,288,0,500
562,288,0,500
563,288,0,500
564,288,0,500
565,288,0,500
566,288,0,500
567,288,0,500
568,288,0,500
569,288,0,500
570,288,0,500
571,288,0,500
572,288,0,500
573,288,0,500
574,288,0,500
575,288,0,500
576,288,0,500
577,288,0,500
578,288,0,500
579,289,0,204
580,289,0,500
581,290,0,156
582,290,10,500
583,290,0,500
584,290,0,500
585,290,0,500
586,290,0,500
587,290,0,500
588,290,0,500
589,290,0,500
590,290,0,500
591,291,0,100
592,291,0,500
593,291,0,500
594,292,0,92
595,292,92,500
596,293,0,166
597,294,0,70
598,294,0,500
599,294,0,500
600,295,0,477
601,295,0,500
602,296,0,119
603,296,0,500
604,296,0,500
605,296,0,500
606,297,0,35
607,298,0,21
608,298,0,500
609,298,0,500
610,299,0,84
611,299,0,500
612,299,0,500
613,299,0,500
614,299,0,500
615,299,0,500
616,299,0,500
617,299,0,500
618,299,0,500
619,299,0,500
620,299,0,500
621,299,0,500
622,299,0,500
623,299,0,500
624,299,0,500
625,299,0,500
626,299,0,500
627,299,0,500
628,299,0,500
629,299,0,500
630,299,0,500
631,299,0,500
632,299,0,500
633,299,0,500
634,299,0,500
635,299,0,500
636,299,0,500
637,299,0,500
638,299,0,500
639,299,24,500
640,299,0,500
641,299,0,500
642,299,0,500
643,299,0,500
644,299,0,500
645,299,0,500
646,299,0,500
647,299,0,500
648,299,0,500
649,299,0,500
650,299,0,500
651,299,0,500
652,299,0,500
653,299,0,500
654,299,0,500
655,299,0,500
656,299,0,500
657,299,0,500
658,299,0,500
659,299,57,500
660,299,0,500
661,299,0,500
662,299,0,500
663,299,0,500
664,299,0,500
665,299,0,500
666,299,0,500
667,299,0,500
