Agent 0,Agent 1,avg,min,max,steps,trend
258.5,255.6,257.05,255.6,258.5,1,361.10264756419394
272.3,307.7,290.0,272.3,307.7,2,363.3919855455849
306.1,313.3,309.70000000000005,306.1,313.3,3,365.63004706932315
304.6,344.7,324.65,304.6,344.7,4,367.8174619164471
297.6,329.7,313.65,297.6,329.7,5,369.95485659656066
329.1,298.6,313.85,298.6,329.1,6,372.04285434783435
390.8,394.2,392.5,390.8,394.2,7,374.08207513700427
353.6,347.9,350.75,347.9,353.6,8,376.0731356593729
442.2,394.3,418.25,394.3,442.2,9,378.01664933880863
352.3,352.0,352.15,352.0,352.3,10,379.91322632774586
349.0,361.4,355.2,349.0,361.4,11,381.7634735071852
368.7,310.4,339.54999999999995,310.4,368.7,12,383.5679944866931
393.6,353.1,373.35,353.1,393.6,13,385.3273896044024
441.8,344.1,392.95000000000005,344.1,441.8,14,387.0422559270116
424.0,390.8,407.4,390.8,424.0,15,388.7131872497854
321.2,373.7,347.45,321.2,373.7,16,390.3407740965547
387.8,389.9,388.85,387.8,389.9,17,391.9256037197162
393.8,395.5,394.65,393.8,395.5,18,393.46826010023295
397.3,399.1,398.20000000000005,397.3,399.1,19,394.9693239476337
303.2,372.0,337.6,303.2,372.0,20,396.42937270001363
354.9,351.7,353.29999999999995,351.7,354.9,21,397.8489805240336
380.3,409.5,394.9,380.3,409.5,22,399.22871831492085
399.3,443.2,421.25,399.3,443.2,23,400.5691536964685
414.6,426.0,420.3,414.6,426.0,24,401.87085102103566
344.3,348.8,346.55,344.3,348.8,25,403.1343713695477
447.6,447.9,447.75,447.6,447.9,26,404.3602725514958
450.0,444.8,447.4,444.8,450.0,27,405.54910910493743
461.4,435.6,448.5,435.6,461.4,28,406.70143229649597
470.7,446.6,458.65,446.6,470.7,29,407.8177901213608
463.2,448.9,456.04999999999995,448.9,463.2,30,408.89872730328756
446.3,439.3,442.8,439.3,446.3,31,409.94478529459775
419.4,412.8,416.1,412.8,419.4,32,410.956502276179
493.8,496.0,494.9,493.8,496.0,33,411.9344131574849
454.2,454.3,454.25,454.2,454.3,34,412.87904957653535
496.7,487.7,492.2,487.7,496.7,35,413.79093989991605
493.1,486.7,489.9,486.7,493.1,36,414.67060922277875
440.3,406.1,423.20000000000005,406.1,440.3,37,415.5185793688414
489.1,428.7,458.9,428.7,489.1,38,416.33536889038794
497.8,494.8,496.3,494.8,497.8,39,417.1214930682683
493.4,493.0,493.2,493.0,493.4,40,417.87746391189864
496.6,496.0,496.3,496.0,496.6,41,418.60379015926094
497.9,496.7,497.29999999999995,496.7,497.9,42,419.3009772769033
468.4,473.9,471.15,468.4,473.9,43,419.96952745994014
448.9,448.7,448.79999999999995,448.7,448.9,44,420.6099396320515
453.2,448.6,450.9,448.6,453.2,45,421.22270944548376
378.0,365.3,371.65,365.3,378.0,46,421.8083292810492
485.7,449.4,467.54999999999995,449.4,485.7,47,422.3672882481264
495.0,447.9,471.45,447.9,495.0,48,422.9000721846597
458.3,465.9,462.1,458.3,465.9,49,423.4071636571595
407.6,441.7,424.65,407.6,441.7,50,423.88904196070257
406.6,436.6,421.6,406.6,436.6,51,424.3461831189315
447.1,445.2,446.15,445.2,447.1,52,424.7790598840548
442.3,442.7,442.5,442.3,442.7,53,425.18814173684734
497.0,498.7,497.85,497.0,498.7,54,425.57389488664984
448.1,448.7,448.4,448.1,448.7,55,425.93678227136917
483.0,481.7,482.35,481.7,483.0,56,426.27726355747814
443.3,443.3,443.3,443.3,443.3,57,426.5957951400157
399.4,398.7,399.04999999999995,398.7,399.4,58,426.8928301425869
449.4,449.1,449.25,449.1,449.4,59,427.1688184173627
448.8,448.5,448.65,448.5,448.8,60,427.4242065450802
448.4,448.4,448.4,448.4,448.4,61,427.6594378350426
448.5,448.2,448.35,448.2,448.5,62,427.874952325119
442.3,442.1,442.20000000000005,442.1,442.3,63,428.07118678174476
449.3,448.9,449.1,448.9,449.3,64,428.2485746999211
449.0,449.2,449.1,449.0,449.2,65,428.4075463032154
448.8,442.4,445.6,442.4,448.8,66,428.548528543761
448.9,448.6,448.75,448.6,448.9,67,428.6719451022575
448.9,448.6,448.75,448.6,448.9,68,428.77821638797025
399.2,398.9,399.04999999999995,398.9,399.2,69,428.8677595387309
356.7,365.1,360.9,356.7,365.1,70,428.94098842093706
381.2,369.5,375.35,369.5,381.2,71,428.9983136295524
451.3,454.8,453.05,451.3,454.8,72,429.0401424881066
416.8,412.9,414.85,412.9,416.8,73,429.06687904869545
433.1,407.9,420.5,407.9,433.1,74,429.0789240919808
440.5,431.8,436.15,431.8,440.5,75,429.0766751271905
430.5,412.8,421.65,412.8,430.5,76,429.0605263921185
395.9,382.1,389.0,382.1,395.9,77,429.0308688531248
349.1,385.5,367.3,349.1,385.5,78,428.98809020513534
409.6,389.4,399.5,389.4,409.6,79,428.93257487164226
404.0,406.9,405.45,404.0,406.9,80,428.86470400470375
447.6,428.8,438.20000000000005,428.8,447.6,81,428.78485548494393
427.2,407.2,417.2,407.2,427.2,82,428.6934039215531
454.6,419.9,437.25,419.9,454.6,83,428.59072065228753
369.7,422.5,396.1,369.7,422.5,84,428.47717374346956
405.6,448.4,427.0,405.6,448.4,85,428.35312798998757
359.5,365.6,362.55,359.5,365.6,86,428.2189449152961
360.7,365.9,363.29999999999995,360.7,365.9,87,428.07498277141553
437.6,395.1,416.35,395.1,437.6,88,427.92159653893253
352.2,349.2,350.7,349.2,352.2,89,427.7591379269997
399.7,407.4,403.54999999999995,399.7,407.4,90,427.58795537333566
404.4,427.6,416.0,404.4,427.6,91,427.40839404422513
424.8,411.4,418.1,411.4,424.8,92,427.22079583451887
409.4,416.6,413.0,409.4,416.6,93,427.02549936763376
407.2,454.3,430.75,407.2,454.3,94,426.8228399955526
443.7,454.8,449.25,443.7,454.8,95,426.6131497988244
447.1,449.3,448.20000000000005,447.1,449.3,96,426.3967575865641
395.1,440.7,417.9,395.1,440.7,97,426.17398889645267
440.3,469.2,454.75,440.3,469.2,98,425.9451659947373
460.5,456.4,458.45,456.4,460.5,99,425.71060787623105
414.6,448.6,431.6,414.6,448.6,100,425.4706302643131
487.7,488.1,487.9,487.7,488.1,101,425.22554561092875
443.2,442.7,442.95,442.7,443.2,102,424.9756630965893
424.6,374.6,399.6,374.6,424.6,103,424.72128863037204
444.6,445.0,444.8,444.6,445.0,104,424.4627248499204
405.7,401.1,403.4,401.1,405.7,105,424.20027112144385
400.0,399.1,399.55,399.1,400.0,106,423.93422353971783
429.7,409.8,419.75,409.8,429.7,107,423.6648749280839
342.9,386.8,364.85,342.9,386.8,108,423.3925148384498
318.4,320.5,319.45,318.4,320.5,109,423.11742955128904
343.4,397.5,370.45,343.4,397.5,110,422.8399020756414
347.8,361.4,354.6,347.8,361.4,111,422.56021214911266
374.1,413.6,393.85,374.1,413.6,112,422.2786362378746
366.3,391.4,378.85,366.3,391.4,113,421.9954475366651
404.1,374.1,389.1,374.1,404.1,114,421.7109159687881
420.6,418.0,419.3,418.0,420.6,115,421.4253081861135
447.4,413.1,430.25,413.1,447.4,116,421.1388875690775
442.7,437.8,440.25,437.8,442.7,117,420.851914226682
448.8,449.4,449.1,448.8,449.4,118,420.56464499649525
402.5,402.2,402.35,402.2,402.5,119,420.2773334446514
425.3,425.6,425.45000000000005,425.3,425.6,120,419.99022986585067
349.0,349.0,349.0,349.0,349.0,121,419.70358128335937
394.9,376.0,385.45,376.0,394.9,122,419.41763144900983
443.8,401.9,422.85,401.9,443.8,123,419.13262084320047
372.3,398.5,385.4,372.3,398.5,124,418.84878667489573
399.2,413.8,406.5,399.2,413.8,125,418.5663628816261
399.2,398.4,398.79999999999995,398.4,399.2,126,418.28558012948815
398.6,397.9,398.25,397.9,398.6,127,418.0066658131445
399.3,399.3,399.3,399.3,399.3,128,417.7298440558237
396.5,399.2,397.85,396.5,399.2,129,417.45533570932065
400.1,398.9,399.5,398.9,400.1,130,417.18335835399597
360.6,360.9,360.75,360.6,360.9,131,416.9141262987765
398.7,349.6,374.15,349.6,398.7,132,416.6478505811551
399.4,397.9,398.65,397.9,399.4,133,416.3847389671908
382.8,382.7,382.75,382.7,382.8,134,416.1249959515084
399.2,400.4,399.79999999999995,399.2,400.4,135,415.8688227572991
398.9,398.5,398.7,398.5,398.9,136,415.61641733631984
